Board # 1Port # 1
s21 unwrapped phase measurement
"Mon, 19 Sep 2016 13:17:03 +0000"
Freq(Hz),phase0 (Deg),phase1 (Deg),phase2 (Deg),phase3 (Deg),phase4 (Deg),phase5 (Deg),phase6 (Deg),phase7 (Deg),phase8 (Deg),phase9 (Deg),phase10 (Deg),phase11 (Deg),phase12 (Deg),phase13 (Deg),phase14 (Deg),phase15 (Deg)
2000000000.0,175.6632,155.7367,128.4034,107.9512,81.11917,60.46192,35.28965,13.17957,12.26638,-7.634939,-33.9263,-54.66197,-81.56544,-102.2628,-126.9256,-149.8501
2001000000.0,174.5555,154.7201,127.3426,106.8717,79.87039,59.15374,34.04041,11.9371,11.25874,-8.788076,-35.17822,-55.93684,-82.90775,-103.6354,-128.2831,-150.9792
2002000000.0,173.8238,153.7674,126.5719,105.9312,78.78372,58.24325,32.98687,10.99361,10.29225,-9.639742,-35.95928,-56.81331,-84.0305,-104.7558,-129.4837,-152.1396
2003000000.0,173.1045,153.0101,125.8345,105.1847,77.73858,57.09757,31.96804,10.05566,9.612359,-10.42808,-36.82511,-57.74471,-85.03184,-105.6692,-130.4216,-152.9006
2004000000.0,172.2656,152.2867,125.0586,104.3479,76.71783,56.12591,30.91965,9.169663,8.7335,-11.37686,-37.73145,-58.68816,-86.27581,-106.8255,-131.5195,-153.9375
2005000000.0,171.6231,151.5891,124.2913,103.554,75.84152,55.19717,30.11107,8.380763,8.030282,-12.09237,-38.43576,-59.35739,-87.08755,-107.8193,-132.33,-154.7746
2006000000.0,170.8675,150.7983,123.5808,102.7411,74.82479,54.28274,29.28001,7.497356,7.077486,-12.96105,-39.36105,-60.38582,-88.27217,-108.7521,-133.2777,-155.6392
2007000000.0,170.4557,150.3395,123.0968,102.1323,74.33221,53.72388,28.82747,7.038287,6.773589,-13.4708,-39.89699,-60.91398,-88.72843,-109.3343,-133.9592,-156.1642
2008000000.0,169.6839,149.652,122.2976,101.4008,73.54732,52.92816,28.06008,6.364447,6.003431,-14.30879,-40.7278,-61.81652,-89.56355,-110.1504,-134.5669,-156.9537
2009000000.0,169.2614,149.1897,121.7606,100.9251,73.04636,52.43218,27.57343,6.030357,5.472878,-14.68635,-41.21691,-62.34259,-90.14301,-110.8082,-135.0301,-157.4056
2010000000.0,168.8257,148.8316,121.2795,100.3686,72.56618,51.88198,27.20624,5.561864,4.917646,-15.24688,-41.90079,-63.02562,-90.74933,-111.3567,-135.5546,-157.9091
2011000000.0,168.4755,148.4528,120.9746,100.1249,72.27136,51.62878,27.03316,5.300411,4.568618,-15.60317,-42.34819,-63.38848,-90.97542,-111.6959,-135.5264,-158.036
2012000000.0,168.2336,148.267,120.4507,99.70008,72.09483,51.37522,26.98504,5.173538,4.250568,-15.91569,-42.79393,-63.74932,-91.32661,-111.9032,-135.9015,-158.3053
2013000000.0,168.0346,148.0409,120.2558,99.38315,71.9514,51.19506,26.8558,5.06764,3.931771,-16.19928,-43.15547,-63.94454,-91.36302,-112.0545,-135.9449,-158.4912
2014000000.0,167.9584,148.0956,120.0292,99.40817,71.98434,51.32595,27.11371,5.149176,3.73688,-16.30533,-43.23326,-64.14614,-91.34909,-112.1108,-135.917,-158.371
