Board # 5Port # 3
s21 unwrapped phase measurement
"Sun, 18 Sep 2016 23:02:24 +0000"
Freq(Hz),phase0 (Deg),phase1 (Deg),phase2 (Deg),phase3 (Deg),phase4 (Deg),phase5 (Deg),phase6 (Deg),phase7 (Deg),phase8 (Deg),phase9 (Deg),phase10 (Deg),phase11 (Deg),phase12 (Deg),phase13 (Deg),phase14 (Deg),phase15 (Deg)
2000000000.0,-117.4236,-136.8543,-165.6514,174.9097,151.0106,129.7427,105.8607,82.49703,78.47243,59.13406,31.64732,12.38547,-11.59354,-32.77723,-56.27844,-80.62518
2001000000.0,-117.4559,-137.0125,-165.6199,174.9433,151.0098,129.7402,105.8594,82.52557,78.26698,58.96308,31.5266,12.12936,-11.65353,-32.88954,-56.49568,-80.78665
2002000000.0,-117.5196,-137.0708,-165.6447,174.9396,151.0624,129.9192,106.0005,82.49451,78.24209,58.86897,31.46613,12.18831,-11.60091,-32.82559,-56.5088,-80.78745
2003000000.0,-117.5587,-137.1917,-165.6452,174.8843,151.0686,129.9663,105.9056,82.51344,78.12766,58.72121,31.40912,12.08633,-11.67614,-32.89812,-56.66394,-80.96655
2004000000.0,-118.0625,-137.5969,-165.9653,174.6775,150.7655,129.5925,105.4679,82.16994,77.70105,58.30718,31.16566,11.78541,-12.09831,-33.33981,-57.05244,-81.27296
2005000000.0,-118.3772,-137.9042,-166.24,174.285,150.3201,129.259,105.1888,81.88462,77.31068,57.95092,30.78369,11.39868,-12.48698,-33.71195,-57.64128,-81.68748
2006000000.0,-119.0155,-138.6646,-166.7374,173.7697,149.8265,128.7668,104.4855,81.17697,76.72843,57.27695,30.21077,10.77043,-13.29652,-34.37957,-58.33974,-82.39679
2007000000.0,-119.4675,-139.1805,-167.167,173.3493,149.2798,128.2268,103.8618,80.60052,76.12841,56.63973,29.84575,10.25242,-13.84249,-34.93051,-59.06124,-83.05608
2008000000.0,-120.3936,-140.1765,-167.9063,172.4404,148.3366,127.2869,102.8037,79.62262,75.28609,55.7125,29.0163,9.385758,-14.94951,-35.96253,-60.15426,-84.03172
2009000000.0,-121.1659,-140.9582,-168.5491,171.7416,147.412,126.4396,101.8774,78.6063,74.40341,54.87529,28.03576,8.521689,-15.8976,-36.96275,-61.21107,-84.94366
2010000000.0,-122.2084,-141.8626,-169.4558,170.9168,146.2274,125.4908,100.6303,77.53756,73.43875,53.86255,27.25582,7.438867,-17.1174,-38.10557,-62.35622,-86.12708
2011000000.0,-123.0013,-142.856,-170.2614,169.8103,145.16,124.2829,99.44088,76.43476,72.42752,52.90406,26.37165,6.585845,-18.27292,-39.26526,-63.72371,-87.27718
2012000000.0,-124.0987,-143.8538,-171.1874,168.9256,143.9563,123.0706,98.21175,75.21828,71.41345,51.78741,25.42404,5.393302,-19.62846,-40.49199,-65.05293,-88.44223
2013000000.0,-125.0729,-144.883,-172.2314,167.7969,142.581,121.7977,96.78513,73.89704,70.31057,50.64943,24.41471,4.298409,-20.95926,-41.87293,-66.33611,-89.76751
2014000000.0,-126.0363,-145.7639,-173.1282,166.8597,141.4486,120.5753,95.69427,72.9559,69.47375,49.57576,23.47846,3.235574,-22.18611,-43.09025,-67.67873,-90.798
2015000000.0,-127.1013,-146.9121,-174.074,165.7655,140.1295,119.4294,94.36136,71.68048,68.33839,48.52906,22.33191,2.080131,-23.59001,-44.39772,-69.01105,-92.09499
2016000000.0,-128.0846,-147.8699,-175.0992,164.7554,138.8726,118.1531,93.09438,70.62495,67.27585,47.57383,21.37227,0.9348283,-24.84357,-45.68075,-70.1829,-93.32355
2017000000.0,-128.9889,-148.9066,-176.017,163.685,137.6879,116.8083,91.88389,69.47572,66.29482,46.46714,20.31631,-0.09131641,-26.15723,-47.05766,-71.44466,-94.42311
2018000000.0,-129.8436,-149.8292,-176.8858,162.6911,136.6008,115.8326,90.93571,68.53983,65.42249,45.60164,19.40681,-1.207294,-27.30372,-48.04218,-72.60122,-95.43812
2019000000.0,-130.7206,-150.6585,-177.7344,161.7957,135.4745,114.8097,89.91628,67.61727,64.51801,44.66883,18.3664,-2.203101,-28.46249,-49.17362,-73.69542,-96.40009
2020000000.0,-131.4756,-151.366,-178.5563,160.9902,134.6893,114.0296,89.20894,66.8046,63.62057,43.84771,17.48387,-3.028767,-29.51457,-50.17194,-74.42612,-97.28247
2021000000.0,-132.1039,-152.16,-179.3456,160.2004,133.8146,112.9877,88.22969,65.92585,62.83616,42.95195,16.63274,-4.071492,-30.35292,-51.03349,-75.42966,-98.14147
2022000000.0,-132.6203,-152.6733,-179.825,159.622,133.2382,112.5824,87.61406,65.39207,62.3375,42.53671,16.17545,-4.52163,-30.99486,-51.65485,-75.94667,-98.58711
2023000000.0,-133.1075,-152.9997,-180.2448,159.2648,132.672,112.0033,87.36855,65.09434,61.93238,41.94524,15.55013,-5.044576,-31.51132,-52.04599,-76.39552,-99.00922
2024000000.0,-133.4524,-153.4135,-180.7605,158.7523,132.2414,111.5576,86.86435,64.60482,61.42553,41.53182,15.06736,-5.472598,-31.96703,-52.64102,-76.71375,-99.57072
2025000000.0,-133.8443,-153.7591,-181.1308,158.3436,131.8827,111.1796,86.61754,64.22291,60.99187,41.1106,14.62335,-6.035114,-32.47361,-53.07681,-77.0769,-99.9706
2026000000.0,-134.0525,-153.9601,-181.4011,158.0105,131.6827,110.9668,86.6076,64.1417,60.76009,40.86612,14.24372,-6.380446,-32.65853,-53.29274,-77.44229,-100.0668
2027000000.0,-134.0013,-153.8578,-181.4579,158.0653,131.7471,111.0241,86.63589,64.21015,60.6146,40.76846,14.19965,-6.400828,-32.59562,-53.36218,-77.29671,-100.0274
2028000000.0,-133.9964,-153.8923,-181.5959,158.0624,131.817,111.1555,86.77386,64.40586,60.55289,40.73647,13.94563,-6.466507,-32.71418,-53.36812,-77.10165,-100.0772
2029000000.0,-134.0181,-153.8307,-181.4976,158.0684,131.9955,111.1109,87.13421,64.55929,60.56865,40.82592,13.81785,-6.528235,-32.44308,-53.26509,-76.93016,-99.96798
2030000000.0,-133.7632,-153.7003,-181.5022,158.2578,132.2895,111.457,87.3901,64.91222,60.64818,40.78747,13.93736,-6.371291,-32.26094,-53.07146,-76.56381,-99.68221
2031000000.0,-133.5568,-153.2736,-181.1954,158.4998,132.6826,111.8601,87.99432,65.37666,60.84873,41.01682,14.11223,-6.127512,-31.84722,-52.62127,-76.15765,-99.20889
2032000000.0,-133.2162,-152.9404,-181.0043,158.7526,133.3288,112.384,88.56227,65.90772,61.10249,41.32896,14.38784,-5.916266,-31.40959,-52.23082,-75.6038,-98.79296
2033000000.0,-132.8861,-152.4878,-180.725,159.2423,133.9352,112.9636,89.14899,66.51839,61.45855,41.69669,14.62304,-5.558857,-30.85582,-51.68526,-74.94512,-98.18255
2034000000.0,-132.5156,-152.1483,-180.2803,159.6617,134.601,113.6851,90.10711,67.15783,61.87807,42.14404,14.89672,-5.204992,-30.15101,-50.9365,-74.25233,-97.66993
2035000000.0,-132.1008,-151.6385,-179.8804,160.3046,135.4487,114.471,91.06518,68.03691,62.17344,42.51253,15.33541,-4.616353,-29.38847,-50.24819,-73.36973,-96.80087
2036000000.0,-131.6157,-151.3342,-179.5397,160.6515,136.0621,115.0391,91.49033,68.53089,62.46129,42.82592,15.56345,-4.161001,-28.72855,-49.74078,-72.88622,-96.4512
2037000000.0,-131.2833,-151.0133,-179.1945,160.9459,136.792,115.6116,92.24786,69.14196,62.72946,43.0585,15.80255,-3.881779,-28.13799,-49.08717,-72.26306,-95.96912
2038000000.0,-131.0139,-150.5108,-178.7706,161.5506,137.5616,116.4383,93.14288,69.81813,63.12324,43.46127,16.25228,-3.417169,-27.44404,-48.47366,-71.53185,-95.27374
2039000000.0,-130.4805,-150.1152,-178.3245,162.1549,138.3214,117.1962,93.81935,70.41202,63.46388,43.91576,16.76142,-2.890727,-26.64846,-47.80993,-70.76435,-94.72794
2040000000.0,-130.2711,-149.9281,-178.0925,162.3815,138.7833,117.6472,94.17406,70.80013,63.48933,43.997,16.83119,-2.626151,-26.24158,-47.345,-70.49508,-94.35739
2041000000.0,-129.9217,-149.4751,-177.6446,162.9188,139.5054,118.2675,94.74173,71.32795,63.80893,44.36069,17.22293,-2.078019,-25.57685,-46.83788,-69.97305,-93.99843
2042000000.0,-129.8905,-149.3952,-177.5912,162.9964,139.7613,118.5639,95.05833,71.51051,63.88237,44.51055,17.40635,-2.028474,-25.41191,-46.57888,-69.72787,-93.73284
2043000000.0,-129.7468,-149.3607,-177.3957,163.158,139.99,118.8968,95.17189,71.60735,63.8058,44.42074,17.41342,-1.95305,-25.3084,-46.50873,-69.63383,-93.62527
2044000000.0,-129.948,-149.4098,-177.3453,163.184,140.0079,118.83,95.20135,71.70411,63.67395,44.1875,17.40905,-1.99482,-25.13396,-46.37849,-69.75911,-93.66119
2045000000.0,-130.0815,-149.5845,-177.4345,163.0852,140.0411,118.8856,95.11156,71.61164,63.62732,44.05241,17.23784,-2.118352,-25.33927,-46.52469,-69.85898,-93.87328
