Freq(Hz),s21 unwrapped phase(Deg)
2000000000.0,-138.138
2001000000.0,-138.3824
2002000000.0,-138.3185
2003000000.0,-138.53
2004000000.0,-138.9306
2005000000.0,-139.294
2006000000.0,-139.9426
2007000000.0,-140.3082
2008000000.0,-141.1976
2009000000.0,-141.8916
2010000000.0,-142.7779
2011000000.0,-143.6656
2012000000.0,-144.6015
2013000000.0,-145.5292
2014000000.0,-146.3947
2015000000.0,-147.2846
2016000000.0,-148.2046
2017000000.0,-149.0764
2018000000.0,-149.9608
2019000000.0,-150.7154
2020000000.0,-151.3654
2021000000.0,-151.9836
2022000000.0,-152.5038
2023000000.0,-152.8512
2024000000.0,-153.2109
2025000000.0,-153.5879
2026000000.0,-153.7654
2027000000.0,-153.7318
2028000000.0,-153.8001
2029000000.0,-153.773
2030000000.0,-153.6142
2031000000.0,-153.3304
2032000000.0,-153.0506
2033000000.0,-152.818
2034000000.0,-152.5313
2035000000.0,-152.0476
2036000000.0,-151.7776
2037000000.0,-151.6024
2038000000.0,-151.3111
2039000000.0,-150.9223
2040000000.0,-150.8077
2041000000.0,-150.4626
2042000000.0,-150.4436
2043000000.0,-150.5376
2044000000.0,-150.71
2045000000.0,-150.859
2046000000.0,-151.1144
2047000000.0,-151.4152
2048000000.0,-151.8934
2049000000.0,-152.6086
2050000000.0,-153.218
2051000000.0,-153.7303
2052000000.0,-154.5813
2053000000.0,-155.4118
2054000000.0,-156.3715
2055000000.0,-157.1665
2056000000.0,-157.7437
2057000000.0,-158.6568
2058000000.0,-159.6062
2059000000.0,-160.4672
2060000000.0,-161.05
2061000000.0,-162.0872
2062000000.0,-162.572
2063000000.0,-163.2363
2064000000.0,-163.7085
2065000000.0,-164.2728
2066000000.0,-164.6313
2067000000.0,-164.8036
2068000000.0,-165.2068
2069000000.0,-165.3109
2070000000.0,-165.3239
2071000000.0,-165.4341
2072000000.0,-165.254
2073000000.0,-165.173
2074000000.0,-165.0558
2075000000.0,-164.7605
2076000000.0,-164.4891
2077000000.0,-164.1452
2078000000.0,-163.9356
2079000000.0,-163.8924
2080000000.0,-163.4682
2081000000.0,-163.352
2082000000.0,-163.0511
2083000000.0,-162.911
2084000000.0,-162.7289
2085000000.0,-162.8163
2086000000.0,-162.9965
2087000000.0,-163.213
2088000000.0,-163.2364
2089000000.0,-163.647
2090000000.0,-164.0872
2091000000.0,-164.4882
2092000000.0,-165.0998
2093000000.0,-165.5602
2094000000.0,-166.3494
2095000000.0,-167.0488
2096000000.0,-167.8169
2097000000.0,-168.4928
2098000000.0,-169.2195
2099000000.0,-169.9868
