!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:34:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,0.96315175,-81.001495,-148.95755,-144.85417,-328.15326
1000727272.7273,0.96578461,-83.848015,-149.77353,-144.34811,-327.13794
1001454545.4545,0.97114313,-84.363976,-175.45482,-144.53766,-326.22287
1002181818.1818,0.97010893,-80.206337,-167.66748,-143.97623,-325.90768
1002909090.9091,0.97244579,-81.518967,-172.46275,-143.37914,-324.87436
1003636363.6364,0.97398305,-84.126656,-139.78661,-143.17676,-324.37451
1004363636.3636,0.97503757,-79.822525,-168.95782,-142.84453,-323.85046
1005090909.0909,0.97471452,-77.887642,-173.52461,-141.77065,-322.90216
1005818181.8182,0.97753096,-81.34407,-137.43748,-141.79211,-322.36066
1006545454.5455,0.98013079,-75.115303,-161.02316,-141.47536,-321.54544
1007272727.2727,0.98484117,-78.494888,-152.45477,-141.571,-320.70547
1008000000,0.98556489,-78.747185,-167.41093,-140.81604,-319.8526
1008727272.7273,0.98637575,-78.803963,-165.98932,-140.42931,-319.32874
1009454545.4545,0.98951536,-78.304573,-169.45134,-140.08058,-318.38745
1010181818.1818,0.98846233,-80.493065,179.37485,-139.24948,-317.80444
1010909090.9091,0.9875651,-78.301003,-175.68159,-138.55344,-317.31519
1011636363.6364,0.99134099,-82.579849,160.97522,-138.18492,-316.2348
1012363636.3636,0.99024051,-79.288017,170.91667,-137.30286,-315.60162
1013090909.0909,0.98946369,-80.023048,176.84734,-136.59547,-315.06924
1013818181.8182,0.99114698,-80.113434,-175.9481,-136.63036,-314.78094
1014545454.5455,0.99294579,-87.777573,163.55748,-135.93045,-313.76251
1015272727.2727,0.99495399,-81.989311,172.10599,-135.72087,-313.17908
1016000000,0.99704432,-80.920761,168.03806,-135.17116,-312.25269
1016727272.7273,0.99758208,-81.540062,169.77013,-134.56163,-311.56042
1017454545.4545,0.99657983,-79.980316,176.46989,-134.04919,-311.24954
1018181818.1818,1.0023251,-80.722534,168.73602,-134.05901,-310.18616
1018909090.9091,1.0032004,-78.322044,-177.89128,-133.1967,-309.18454
1019636363.6364,1.0042183,-78.243324,162.04907,-132.55438,-308.36887
1020363636.3636,1.0045149,-77.856163,175.3548,-131.77829,-307.55283
1021090909.0909,1.0080576,-78.54055,162.48798,-131.51389,-306.6445
1021818181.8182,1.0007555,-78.763908,167.89275,-130.15494,-306.6348
1022545454.5455,1.003513,-82.299126,150.97011,-129.60147,-305.57892
1023272727.2727,1.0082422,-81.294724,163.04243,-129.26903,-304.38959
1024000000,1.0078489,-82.64418,138.78496,-128.59767,-303.78976
1024727272.7273,1.0071167,-80.883957,146.39784,-127.69642,-303.01593
