!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:21:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,0.90799689,-80.863808,177.29895,-133.88727,-328.81122
1000727272.7273,0.91165197,-89.817673,100.25414,-133.4437,-327.56622
1001454545.4545,0.91636521,-84.057915,-164.98962,-133.59274,-326.72629
1002181818.1818,0.91655946,-84.309669,145.72894,-132.82109,-325.8757
1002909090.9091,0.91699791,-84.94397,136.31084,-132.39413,-325.33417
1003636363.6364,0.91842544,-87.588768,-148.79071,-131.84915,-324.46075
1004363636.3636,0.92088747,-83.05793,142.07332,-131.99347,-324.10062
1005090909.0909,0.92340785,-86.62252,158.58994,-131.22037,-322.76343
1005818181.8182,0.92566609,-87.417259,176.75618,-130.90517,-321.96582
1006545454.5455,0.929322,-90.948776,-149.54596,-131.09251,-321.41446
1007272727.2727,0.93373507,-86.657791,-170.57318,-130.50882,-319.9032
1008000000,0.93354475,-80.930664,174.50261,-129.95895,-319.36237
1008727272.7273,0.93633139,-84.534859,139.39005,-129.88184,-318.71945
1009454545.4545,0.93685234,-85.262321,127.55127,-129.39322,-318.09949
1010181818.1818,0.93583989,-79.386337,168.35062,-128.67293,-317.53949
1010909090.9091,0.93655682,-82.312691,137.82323,-128.19081,-316.88364
1011636363.6364,0.93697745,-86.88752,168.1123,-127.46714,-316.02792
1012363636.3636,0.93840528,-85.391762,148.1873,-126.95494,-315.19662
1013090909.0909,0.93810225,-83.854393,149.43024,-126.25444,-314.50433
1013818181.8182,0.93883717,-85.878075,144.7177,-126.08549,-314.17761
1014545454.5455,0.9391768,-97.787758,91.121658,-125.41533,-313.38776
1015272727.2727,0.94217855,-93.438171,144.17078,-124.96194,-312.31024
