!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:28:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,-48.422375,0.17204009,-30.788237,49.872002,0.35644373
1000727272.7273,-48.470078,0.17423481,-30.835873,49.897839,0.36263674
1001454545.4545,-47.674847,0.17466721,-30.861029,49.849525,0.38426188
1002181818.1818,-48.165035,0.17307197,-30.899797,49.79784,0.33331355
1002909090.9091,-48.117107,0.17397356,-30.938625,49.843639,0.35964406
1003636363.6364,-47.980713,0.17610155,-30.95785,49.790287,0.33845237
1004363636.3636,-47.288452,0.17643532,-30.971035,49.795116,0.37942874
1005090909.0909,-47.250671,0.17609626,-31.015541,49.783241,0.37488645
1005818181.8182,-46.696087,0.17461833,-31.024889,49.781792,0.40674847
1006545454.5455,-45.637825,0.17467725,-31.040646,49.745621,0.45491067
1007272727.2727,-45.778446,0.17591268,-31.074902,49.770638,0.45882803
1008000000,-45.988838,0.18005511,-31.081791,49.799099,0.45876908
1008727272.7273,-45.780094,0.17909619,-31.126764,49.783955,0.46521559
1009454545.4545,-45.386097,0.1850152,-31.158394,49.827251,0.50842309
1010181818.1818,-45.465443,0.18190515,-31.193369,49.84058,0.5077194
1010909090.9091,-45.408913,0.18555966,-31.219437,49.828171,0.5072546
1011636363.6364,-45.500717,0.18566367,-31.252121,49.797977,0.48974088
1012363636.3636,-45.006512,0.18688795,-31.271988,49.804131,0.52551037
1013090909.0909,-45.697304,0.1846353,-31.316418,49.834961,0.49112296
1013818181.8182,-45.745029,0.18949127,-31.344984,49.833832,0.48773611
1014545454.5455,-45.264595,0.18751483,-31.362238,49.851616,0.52406567
1015272727.2727,-44.858963,0.19156459,-31.402451,49.853214,0.55151761
1016000000,-45.419559,0.19013648,-31.418518,49.836575,0.50938058
1016727272.7273,-45.59203,0.18913735,-31.44742,49.867104,0.50748581
1017454545.4545,-45.48103,0.18959484,-31.489191,49.89941,0.5219124
1018181818.1818,-44.90015,0.19243918,-31.516953,49.892761,0.55803156
1018909090.9091,-45.64941,0.19127297,-31.54262,49.918098,0.51493758
1019636363.6364,-45.001095,0.19874582,-31.578585,49.836494,0.53702068
1020363636.3636,-45.154552,0.19637071,-31.601936,49.850456,0.53094763
1021090909.0909,-45.24514,0.19732536,-31.640011,49.882107,0.53317785
1021818181.8182,-45.335114,0.19450745,-31.646563,49.870922,0.52472413
1022545454.5455,-45.080563,0.19804601,-31.662048,49.923496,0.55145025
1023272727.2727,-44.994221,0.20210309,-31.694683,49.923508,0.5570668
1024000000,-45.32505,0.20405312,-31.737949,49.956764,0.53973043
1024727272.7273,-45.064762,0.20674518,-31.751196,49.910767,0.55048883
1025454545.4545,-45.251278,0.20625541,-31.802645,49.950378,0.54378349
1026181818.1818,-44.719582,0.20880008,-31.822559,49.947277,0.57809663
1026909090.9091,-44.749714,0.20748177,-31.847635,49.93573,0.57483685
1027636363.6364,-44.995087,0.21354516,-31.901226,49.960171,0.56103235
1028363636.3636,-45.118778,0.21635951,-31.947815,50.001865,0.55471957
1029090909.0909,-45.284096,0.21260913,-31.980757,50.032799,0.54344344
1029818181.8182,-45.632774,0.21976791,-32.023693,50.004131,0.52284348
1030545454.5455,-45.510155,0.22501281,-32.052689,50.037968,0.52911222
1031272727.2727,-46.010681,0.22500907,-32.103397,50.02882,0.49989173
1032000000,-46.247852,0.22566058,-32.163475,50.030823,0.48626763
1032727272.7273,-46.913445,0.22300546,-32.195553,50.010723,0.4510828
1033454545.4545,-46.391872,0.22166044,-32.253448,49.991112,0.47895882
1034181818.1818,-46.93446,0.2231265,-32.252354,50.002056,0.45007598
1034909090.9091,-46.64724,0.22312625,-32.301502,50.015949,0.46500391
1035636363.6364,-46.420628,0.22199976,-32.347466,50.033855,0.47646052
1036363636.3636,-46.81123,0.22081365,-32.390659,50.034649,0.45534447
1037090909.0909,-46.391171,0.21992829,-32.411003,50.021393,0.47874716
1037818181.8182,-46.134151,0.22600059,-32.445534,50.007092,0.49349606
1038545454.5455,-45.505192,0.22041756,-32.491875,50.046795,0.52875608
1039272727.2727,-45.669312,0.22196656,-32.503918,49.986553,0.52039951
1040000000,-45.482021,0.22017173,-32.522224,50.025654,0.53150982
1040727272.7273,-45.202129,0.2181479,-32.554794,50.035713,0.54844904
1041454545.4545,-44.955845,0.22287573,-32.576107,50.052677,0.56305498
1042181818.1818,-44.938503,0.22319904,-32.610996,50.061817,0.56331486
1042909090.9091,-44.682098,0.22365464,-32.633732,50.115086,0.5725323
1043636363.6364,-44.543968,0.22477154,-32.659866,50.100101,0.58475196
1044363636.3636,-44.594173,0.2236729,-32.68787,50.14909,0.57098448
1045090909.0909,-44.781303,0.22859406,-32.714275,50.158371,0.55546701
1045818181.8182,-44.565464,0.22508605,-32.730984,50.183834,0.56303453
1046545454.5455,-44.998344,0.22841683,-32.761749,50.20472,0.52511233
1047272727.2727,-44.249866,0.23299022,-32.814926,50.214916,0.57557869
1048000000,-44.172447,0.23119971,-32.825481,50.239532,0.57190794
1048727272.7273,-44.896397,0.2314592,-32.86414,50.279915,0.49732476
1049454545.4545,-44.755833,0.23408358,-32.897537,50.28978,0.50248945
1050181818.1818,-44.828697,0.23912568,-32.943012,50.302418,0.48938212
1050909090.9091,-44.483513,0.23789531,-32.970627,50.315605,0.50873876
1051636363.6364,-45.181355,0.23708132,-33.017487,50.311005,0.45658058
1052363636.3636,-45.486782,0.2379979,-33.047367,50.315086,0.43035719
1053090909.0909,-45.030884,0.24413046,-33.09528,50.337666,0.44955266
1053818181.8182,-45.506939,0.2433743,-33.15189,50.314999,0.4288868
1054545454.5455,-45.397423,0.24241851,-33.143803,50.342381,0.41633168
1055272727.2727,-45.119659,0.24787499,-33.22591,50.345863,0.43605945
1056000000,-45.15905,0.24760209,-33.256752,50.381313,0.40223235
1056727272.7273,-45.224682,0.24294567,-33.286198,50.378712,0.39893049
1057454545.4545,-45.363255,0.24710876,-33.336514,50.370293,0.39484271
1058181818.1818,-45.451221,0.24778865,-33.38525,50.39513,0.36214942
1058909090.9091,-45.354469,0.24636482,-33.401428,50.413479,0.35056955
1059636363.6364,-45.727783,0.24683499,-33.458488,50.404232,0.32588854
1060363636.3636,-46.367981,0.24619842,-33.499176,50.402134,0.26633584
1061090909.0909,-46.89521,0.24362686,-33.525963,50.359016,0.27745122
1061818181.8182,-46.479,0.25193623,-33.577255,50.377144,0.29055592
1062545454.5455,-45.678303,0.2509335,-33.605278,50.446682,0.27092358
1063272727.2727,-45.584343,0.25049937,-33.63937,50.424385,0.31411374
1064000000,-46.28957,0.25096592,-33.682049,50.38435,0.2984553
1064727272.7273,-46.425488,0.25210217,-33.754417,50.418598,0.23331037
1065454545.4545,-46.456078,0.24839009,-33.741173,50.419132,0.2288551
1066181818.1818,-46.295456,0.24654555,-33.798534,50.425617,0.23563334
1066909090.9091,-46.17128,0.24467085,-33.837925,50.412144,0.27131188
1067636363.6364,-45.684719,0.25368708,-33.867973,50.443626,0.27513915
1068363636.3636,-46.377491,0.25156072,-33.909267,50.416935,0.24159016
1069090909.0909,-45.258213,0.24866028,-33.909145,50.460838,0.29724729
1069818181.8182,-45.635204,0.25488874,-33.971329,50.440895,0.28500807
1070545454.5455,-45.289417,0.25400665,-34.036388,50.473839,0.27226788
1071272727.2727,-45.112434,0.25475538,-34.062538,50.485439,0.27476221
1072000000,-44.757526,0.2577197,-34.095066,50.516666,0.26629376
1072727272.7273,-44.756596,0.25274929,-34.146843,50.532978,0.23230588
1073454545.4545,-44.727539,0.25713462,-34.176281,50.537064,0.22780313
1074181818.1818,-44.035858,0.25659364,-34.218098,50.593006,0.21881151
1074909090.9091,-44.651184,0.25456667,-34.261402,50.560223,0.18074909
1075636363.6364,-44.175938,0.25557831,-34.276955,50.592316,0.18975359
1076363636.3636,-44.016891,0.25161088,-34.331352,50.61974,0.13196971
1077090909.0909,-45.053864,0.25240943,-34.383152,50.540035,0.15516937
1077818181.8182,-43.737782,0.2508792,-34.402119,50.640011,0.13674819
1078545454.5455,-44.60516,0.24968734,-34.432533,50.584938,0.090767786
1079272727.2727,-44.063286,0.24726321,-34.482712,50.62706,0.063836351
1080000000,-44.227028,0.25094998,-34.525291,50.611557,0.092023723
1080727272.7273,-44.08094,0.25145093,-34.550148,50.624962,0.071278535
1081454545.4545,-44.394028,0.24956188,-34.580318,50.600601,0.085074149
1082181818.1818,-44.295387,0.25096384,-34.625084,50.610523,0.061213605
1082909090.9091,-43.634258,0.24759966,-34.673527,50.662209,0.017912125
1083636363.6364,-44.395203,0.24741463,-34.707291,50.606007,0.02556661
1084363636.3636,-43.912659,0.24544355,-34.72131,50.640465,0.034988098
1085090909.0909,-44.480171,0.24460487,-34.778221,50.600563,0.0071607688
1085818181.8182,-43.927193,0.24324998,-34.834808,50.640278,0.0087247705
1086545454.5455,-44.364082,0.2437299,-34.851585,50.607323,0.041428264
1087272727.2727,-44.634689,0.24681775,-34.904522,50.589336,0.027009543
1088000000,-44.61805,0.24130207,-34.926292,50.590771,-0.019330615
1088727272.7273,-44.254475,0.24371274,-34.958694,50.61618,-0.020235028
1089454545.4545,-44.229763,0.24663471,-34.987877,50.618225,-0.0085835243
1090181818.1818,-44.114166,0.23880729,-35.010906,50.622982,0.067220479
1090909090.9091,-44.001717,0.24163231,-35.050426,50.634689,0.013708866
1091636363.6364,-43.856682,0.24150845,-35.099121,50.645424,-0.015081506
