!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:23:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,0.37724689,-99.393906,146.14668,-444.05164,907.39404
1000727272.7273,0.3805998,-83.728439,171.13522,-453.24606,909.45551
1001454545.4545,0.38615999,-94.575623,86.978714,-455.0394,902.57007
1002181818.1818,0.38688472,-93.2407,-40.735023,-458.75708,904.25183
1002909090.9091,0.39040911,-92.53904,105.32918,-460.44165,900.32312
1003636363.6364,0.39110163,-127.97663,168.38307,-460.38464,899.27472
1004363636.3636,0.39391777,-90.49971,-174.92986,-464.70734,898.29254
1005090909.0909,0.3976585,-93.807068,-106.43145,-470.95862,897.28033
1005818181.8182,0.40093789,-81.204834,-162.37442,-474.56732,895.05035
1006545454.5455,0.40380335,-84.246262,-179.56934,-479.53253,894.3017
1007272727.2727,0.41240162,-85.379738,168.76382,-487.4884,887.33368
1008000000,0.41416785,-78.260674,170.97592,-489.79083,886.32275
1008727272.7273,0.41638425,-79.818619,165.78754,-491.02301,884.00696
1009454545.4545,0.41880566,-85.463997,156.54187,-498.93436,885.51654
1010181818.1818,0.42082769,-79.735863,137.554,-501.60318,884.31561
1010909090.9091,0.42419827,-81.316437,168.68037,-506.89459,882.78027
1011636363.6364,0.4298631,-83.119392,-175.71776,-514.65637,879.4325
1012363636.3636,0.43098563,-85.17662,159.47107,-518.73444,880.17395
1013090909.0909,0.42794836,-85.041313,173.82675,-522.14026,886.28052
1013818181.8182,0.42949882,-84.373688,164.6266,-523.29987,884.76288
1014545454.5455,0.43200979,-80.955643,-176.75745,-531.45264,885.7005
1015272727.2727,0.43997991,-86.611145,161.17987,-540.39777,879.32483
1016000000,0.43945664,-80.892799,170.96091,-543.48138,881.61151
1016727272.7273,0.44247058,-82.906883,153.26564,-548.43152,879.91406
1017454545.4545,0.43738347,-80.424561,138.55421,-550.33441,887.94763
1018181818.1818,0.44511378,-82.115433,142.2569,-556.45953,880.15375
1018909090.9091,0.44729,-81.23246,140.30431,-561.37665,879.46155
1019636363.6364,0.44897529,-82.717819,122.59231,-563.44263,878.08923
1020363636.3636,0.44883317,-83.608994,122.77056,-566.61267,879.7406
1021090909.0909,0.45345828,-82.909035,138.14441,-572.06909,875.79547
1021818181.8182,0.4511553,-82.448753,126.60421,-576.13995,880.78174
1022545454.5455,0.45344263,-82.536339,129.93037,-580.50525,879.49231
1023272727.2727,0.45935708,-85.351974,140.92487,-589.87952,875.19885
1024000000,0.46245036,-82.580177,155.42113,-596.85266,873.70111
1024727272.7273,0.46483389,-83.559746,134.65231,-604.99561,873.53003
1025454545.4545,0.46488932,-83.617592,134.09682,-608.43408,874.74463
1026181818.1818,0.47032896,-84.732849,136.24406,-616.42603,870.07349
1026909090.9091,0.47086829,-78.897438,128.09998,-623.49274,871.78632
1027636363.6364,0.47570559,-82.494461,132.84842,-643.01526,871.36908
1028363636.3636,0.4751637,-82.700562,130.46899,-651.12189,874.62225
1029090909.0909,0.47343007,-82.037178,95.761581,-659.37128,879.578
1029818181.8182,0.47212762,-82.116379,111.62754,-660.36914,881.76642
1030545454.5455,0.473553,-81.745003,105.92512,-672.50549,883.15631
1031272727.2727,0.46745518,-81.710075,107.03142,-679.91187,894.3147
1032000000,0.46958059,-84.835457,115.5282,-687.67609,893.22083
1032727272.7273,0.46502542,-83.18396,81.163048,-687.21393,900.03479
1033454545.4545,0.46299824,-84.438644,84.278999,-695.15271,905.32343
1034181818.1818,0.4583174,-85.866127,95.834427,-694.88269,912.56787
1034909090.9091,0.45411682,-84.077873,118.38819,-700.92798,920.91571
1035636363.6364,0.45546216,-88.473434,78.591248,-700.50842,918.64917
1036363636.3636,0.45349345,-89.395172,110.30638,-706.75842,923.52417
1037090909.0909,0.45408744,-88.981209,132.45302,-713.06427,924.25507
1037818181.8182,0.45382467,-82.063248,95.838951,-715.56,925.33893
1038545454.5455,0.44971299,-85.526176,134.06236,-716.08307,932.21484
1039272727.2727,0.44760063,-84.285606,154.43983,-722.6095,937.46063
1040000000,0.44837707,-86.987869,98.790833,-719.99005,935.47113
1040727272.7273,0.44189155,-86.416855,101.44291,-725.86908,947.95807
1041454545.4545,0.4436062,-86.649231,59.51894,-719.83655,943.40527
1042181818.1818,0.43931073,-80.966759,83.168785,-719.47339,950.5719
1042909090.9091,0.43639535,-91.959709,75.592445,-727.54535,957.85266
1043636363.6364,0.43952045,-92.425507,52.436596,-728.44818,952.71472
1044363636.3636,0.43268174,-98.567436,92.70623,-719.48071,961.95996
1045090909.0909,0.43622401,-90.555336,-62.763477,-723.35052,956.9621
1045818181.8182,0.43169877,-87.653908,138.18045,-720.13715,963.86182
1046545454.5455,0.43128955,-103.47567,111.91748,-717.9458,963.91803
1047272727.2727,0.43286034,-82.325638,116.43401,-722.09674,962.42096
1048000000,0.43633845,-83.59034,138.39677,-723.45087,956.79358
