!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:30:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,-40.612526,0.069242291,0.36403704,50.278557,0.89206296
1000727272.7273,-40.57122,0.070663601,0.3518213,50.269257,0.89947367
1001454545.4545,-40.554657,0.070535496,0.39375654,50.284203,0.89689094
1002181818.1818,-40.486324,0.06934581,0.36803898,50.297619,0.90049368
1002909090.9091,-40.635986,0.06982822,0.36976305,50.274078,0.89076543
1003636363.6364,-40.437508,0.069596298,0.37312755,50.282009,0.9109447
1004363636.3636,-40.562302,0.068228781,0.3729108,50.256939,0.90395397
1005090909.0909,-40.661842,0.06846755,0.37334579,50.2644,0.8907057
1005818181.8182,-40.53051,0.069140665,0.37045389,50.26862,0.90426087
1006545454.5455,-40.321095,0.066833943,0.37021407,50.278091,0.92555451
1007272727.2727,-40.56303,0.073791437,0.3742187,50.277008,0.89812142
1008000000,-40.164505,0.069652848,0.37628418,50.301395,0.93695569
1008727272.7273,-40.194515,0.068213932,0.39569145,50.318726,0.92779446
1009454545.4545,-40.337685,0.072882503,0.37499553,50.308346,0.91427916
1010181818.1818,-40.140579,0.072839595,0.36684343,50.302803,0.93937135
1010909090.9091,-40.195526,0.069696702,0.3707734,50.317688,0.92801815
1011636363.6364,-40.131443,0.074457802,0.36800316,50.319374,0.93513626
1012363636.3636,-40.451054,0.073455796,0.37431481,50.316959,0.89815629
1013090909.0909,-40.305782,0.06708876,0.36064133,50.318424,0.91468078
1013818181.8182,-40.174614,0.07064756,0.35224459,50.320709,0.92951244
1014545454.5455,-40.447025,0.069248766,0.37486342,50.30558,0.90244311
1015272727.2727,-40.120419,0.070781313,0.36864263,50.316483,0.93741399
1016000000,-40.225697,0.068627886,0.38569477,50.312553,0.92611641
1016727272.7273,-40.168076,0.069003753,0.36488181,50.315315,0.93208104
1017454545.4545,-40.081406,0.070976362,0.38704437,50.322975,0.93997598
1018181818.1818,-40.016846,0.070057869,0.40635279,50.331707,0.9448846
1018909090.9091,-39.908794,0.066622473,0.40449503,50.329189,0.95900202
1019636363.6364,-39.725155,0.073653392,0.39000326,50.349392,0.97509968
1020363636.3636,-39.684555,0.07166592,0.4098686,50.358589,0.97702509
1021090909.0909,-39.456226,0.073087558,0.41777697,50.382469,0.99794716
1021818181.8182,-39.43306,0.075126484,0.43414143,50.398785,0.99480283
1022545454.5455,-39.090225,0.07403183,0.44274768,50.408207,1.0376061
1023272727.2727,-39.072285,0.078333274,0.44596869,50.448971,1.023641
1024000000,-39.008415,0.076687932,0.43073303,50.500088,1.0095172
1024727272.7273,-39.184162,0.078955919,0.43788296,50.503857,0.98239064
