!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Monday, March 14, 2016 14:44:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,0.90484709,0.032492187
1001000000,0.90410203,0.028783623
1002000000,0.90333408,0.025013005
1003000000,0.9025417,0.021183874
1004000000,0.9017235,0.017301971
1005000000,0.90087676,0.013370551
1006000000,0.9000017,0.0093928548
1007000000,0.89909565,0.0053731119
1008000000,0.89815825,0.0013156807
1009000000,0.89718872,-0.0027764421
1010000000,0.89618522,-0.0068991981
1011000000,0.89514691,-0.011049595
1012000000,0.89407343,-0.015224605
1013000000,0.89296466,-0.019421041
1014000000,0.89181918,-0.023634555
1015000000,0.89063537,-0.027863683
1016000000,0.88941687,-0.032104943
1017000000,0.88815862,-0.036355544
1018000000,0.88686371,-0.040612411
1019000000,0.88552904,-0.0448725
1020000000,0.88415658,-0.049134482
1021000000,0.88274533,-0.053394526
1022000000,0.88129681,-0.057650603
1023000000,0.87980855,-0.061900098
1024000000,0.87828344,-0.066141285
1025000000,0.87671918,-0.070371009
1026000000,0.87511873,-0.074587762
1027000000,0.87347966,-0.078788571
1028000000,0.87180358,-0.082971588
1029000000,0.87009102,-0.087135263
1030000000,0.86834311,-0.091277383
1031000000,0.86655873,-0.095395498
1032000000,0.86473924,-0.09948796
1033000000,0.86288601,-0.1035531
1034000000,0.86099899,-0.10758889
1035000000,0.85907811,-0.11159403
1036000000,0.85712582,-0.11556603
1037000000,0.85514164,-0.11950396
1038000000,0.853127,-0.12340616
1039000000,0.85108221,-0.12727036
1040000000,0.84900862,-0.13109623
1041000000,0.8469069,-0.13488117
1042000000,0.84477854,-0.13862498
1043000000,0.84262419,-0.14232561
1044000000,0.84044379,-0.14598145
1045000000,0.83823949,-0.149592
1046000000,0.83601362,-0.15315555
1047000000,0.83376431,-0.15667103
1048000000,0.83149529,-0.16013768
1049000000,0.82920659,-0.16355395
1050000000,0.82689923,-0.16691844
1051000000,0.82457483,-0.17023157
1052000000,0.82223451,-0.1734913
1053000000,0.81987864,-0.17669673
1054000000,0.81751043,-0.17984745
1055000000,0.81512946,-0.18294264
1056000000,0.81273711,-0.18598083
1057000000,0.81033593,-0.18896259
1058000000,0.8079263,-0.19188644
1059000000,0.80550933,-0.19475143
1060000000,0.80308706,-0.19755749
1061000000,0.80066067,-0.20030472
1062000000,0.79823089,-0.2029909
1063000000,0.79579961,-0.20561722
1064000000,0.79336888,-0.20818254
1065000000,0.79093897,-0.21068652
1066000000,0.78851193,-0.21312882
1067000000,0.7860893,-0.21550958
1068000000,0.78367132,-0.2178279
1069000000,0.78126079,-0.22008421
1070000000,0.77885872,-0.22227809
1071000000,0.77646625,-0.22440989
1072000000,0.77408469,-0.22647868
1073000000,0.771716,-0.22848551
1074000000,0.7693615,-0.23042972
1075000000,0.76702207,-0.23231129
1076000000,0.76469928,-0.23413062
1077000000,0.76239473,-0.2358879
1078000000,0.76010948,-0.23758323
1079000000,0.75784522,-0.2392168
1080000000,0.75560373,-0.24078895
1081000000,0.75338548,-0.24230006
1082000000,0.75119263,-0.24375072
1083000000,0.74902558,-0.24514046
1084000000,0.74688578,-0.24647036
1085000000,0.74477565,-0.24774122
1086000000,0.74269503,-0.24895304
1087000000,0.74064595,-0.25010613
1088000000,0.73862964,-0.25120181
1089000000,0.73664725,-0.25224033
1090000000,0.73469996,-0.25322226
1091000000,0.73278916,-0.2541486
1092000000,0.73091519,-0.25501958
1093000000,0.72907978,-0.25583664
1094000000,0.72728485,-0.25660026
1095000000,0.72552979,-0.25731093
1096000000,0.72381675,-0.25797004
