!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Monday, March 14, 2016 13:57:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,1.2216296,0.058290977
1001000000,1.2194802,0.052631561
1002000000,1.2173203,0.046941385
1003000000,1.215149,0.04122363
1004000000,1.2129658,0.035483219
1005000000,1.2107668,0.029723277
1006000000,1.2085534,0.02394628
1007000000,1.2063214,0.018156424
1008000000,1.204071,0.01235786
1009000000,1.2018014,0.006552733
1010000000,1.1995112,0.00074450509
1011000000,1.1971979,-0.0050634835
1012000000,1.1948633,-0.010869647
1013000000,1.1925064,-0.01666983
1014000000,1.1901265,-0.022461627
1015000000,1.1877208,-0.028242575
1016000000,1.1852927,-0.03401041
1017000000,1.1828394,-0.039762456
1018000000,1.1803619,-0.045496676
1019000000,1.1778586,-0.051210351
1020000000,1.1753304,-0.056901813
1021000000,1.1727769,-0.062568389
1022000000,1.1701989,-0.068207689
1023000000,1.1675954,-0.073818445
1024000000,1.1649691,-0.079399139
1025000000,1.1623169,-0.084946483
1026000000,1.1596423,-0.090459831
1027000000,1.1569426,-0.095936604
1028000000,1.1542201,-0.10137578
1029000000,1.1514748,-0.10677548
1030000000,1.1487082,-0.11213456
1031000000,1.1459192,-0.11745036
1032000000,1.1431091,-0.12272257
1033000000,1.1402787,-0.12794942
1034000000,1.1374284,-0.13312954
1035000000,1.1345587,-0.13826162
1036000000,1.131672,-0.14334452
1037000000,1.1287674,-0.14837584
1038000000,1.1258459,-0.15335619
1039000000,1.1229084,-0.15828346
1040000000,1.119956,-0.16315725
1041000000,1.1169896,-0.16797556
1042000000,1.1140106,-0.17273866
1043000000,1.1110194,-0.17744444
1044000000,1.1080168,-0.1820921
1045000000,1.1050036,-0.18668145
1046000000,1.1019835,-0.19121191
1047000000,1.0989528,-0.19568112
1048000000,1.0959169,-0.20009069
1049000000,1.0928744,-0.20443834
1050000000,1.0898272,-0.20872347
1051000000,1.0867759,-0.21294677
1052000000,1.0837229,-0.21710648
1053000000,1.0806673,-0.22120169
1054000000,1.0776126,-0.22523323
1055000000,1.0745577,-0.22919977
1056000000,1.0715048,-0.23310125
1057000000,1.0684559,-0.23693722
1058000000,1.0654116,-0.24070805
1059000000,1.0623727,-0.24441199
1060000000,1.0593401,-0.24805006
1061000000,1.056316,-0.25162187
1062000000,1.0533011,-0.25512627
1063000000,1.0502962,-0.25856438
1064000000,1.0473034,-0.26193589
1065000000,1.0443233,-0.26523998
1066000000,1.041357,-0.26847717
1067000000,1.0384068,-0.27164748
1068000000,1.035472,-0.27475062
1069000000,1.0325556,-0.27778712
1070000000,1.0296577,-0.28075692
1071000000,1.0267802,-0.28366032
1072000000,1.0239236,-0.28649697
1073000000,1.0210898,-0.28926754
1074000000,1.0182799,-0.29197264
1075000000,1.0154941,-0.29461196
1076000000,1.0127344,-0.2971859
1077000000,1.0100018,-0.29969469
1078000000,1.0072979,-0.30213904
1079000000,1.0046225,-0.30451927
1080000000,1.0019779,-0.30683583
1081000000,0.99936527,-0.30908889
1082000000,0.99678528,-0.3112793
1083000000,0.99423826,-0.31340769
1084000000,0.99172598,-0.31547397
1085000000,0.98925024,-0.31747931
1086000000,0.98681056,-0.31942391
1087000000,0.9844088,-0.32130861
1088000000,0.98204583,-0.32313454
1089000000,0.97972268,-0.32490179
1090000000,0.97744048,-0.32661113
1091000000,0.97519964,-0.32826346
1092000000,0.97300118,-0.32985961
1093000000,0.97084552,-0.33140025
1094000000,0.96873498,-0.3328864
1095000000,0.96666867,-0.33431819
1096000000,0.96464866,-0.33569765
1097000000,0.96267515,-0.33702472
1098000000,0.96074826,-0.33830041
1099000000,0.95886964,-0.33952573
1100000000,0.95703977,-0.34070194
1101000000,0.95525926,-0.34182972
1102000000,0.95352936,-0.34291002
1103000000,0.95184886,-0.34394392
1104000000,0.95022047,-0.34493229
1105000000,0.94864351,-0.34587601
1106000000,0.94711876,-0.34677714
1107000000,0.94564658,-0.3476353
1108000000,0.9442277,-0.34845248
1109000000,0.94286203,-0.34922922
1110000000,0.94155073,-0.34996691
1111000000,0.94029289,-0.35066625
1112000000,0.93909055,-0.35132927
1113000000,0.93794233,-0.35195619
1114000000,0.93685019,-0.35254899
1115000000,0.93581223,-0.3531079
1116000000,0.93483096,-0.35363457
1117000000,0.93390423,-0.35412964
1118000000,0.9330343,-0.35459533
1119000000,0.93221945,-0.35503212
1120000000,0.9314602,-0.35544044
1121000000,0.93075728,-0.3558225
1122000000,0.93011034,-0.35617948
1123000000,0.92951918,-0.35651207
1124000000,0.92898297,-0.35682133
1125000000,0.92850298,-0.35710913
1126000000,0.92807823,-0.35737598
1127000000,0.92770815,-0.35762334
1128000000,0.92739332,-0.35785258
1129000000,0.92713308,-0.35806412
1130000000,0.92692661,-0.35825965
1131000000,0.92677397,-0.35844022
1132000000,0.92667508,-0.35860714
1133000000,0.92662865,-0.35876107
1134000000,0.92663544,-0.35890388
1135000000,0.92669374,-0.35903609
1136000000,0.92680365,-0.35915869
1137000000,0.92696428,-0.35927314
1138000000,0.92717546,-0.35938057
1139000000,0.92743576,-0.35948139
1140000000,0.92774564,-0.3595776
1141000000,0.92810309,-0.35966945
1142000000,0.9285084,-0.35975823
1143000000,0.92895991,-0.35984483
1144000000,0.92945766,-0.35993057
1145000000,0.93000019,-0.3600159
1146000000,0.93058699,-0.36010224
1147000000,0.93121672,-0.36019009
1148000000,0.93188876,-0.36028063
1149000000,0.93260229,-0.36037478
1150000000,0.93335593,-0.36047298
1151000000,0.93414897,-0.36057642
1152000000,0.93497956,-0.36068574
1153000000,0.93584782,-0.36080217
1154000000,0.93675184,-0.36092564
1155000000,0.93769056,-0.36105764
1156000000,0.93866372,-0.36119822
1157000000,0.93966877,-0.3613486
1158000000,0.94070518,-0.361509
1159000000,0.94177169,-0.36167991
1160000000,0.94286716,-0.36186293
1161000000,0.94399077,-0.36205757
1162000000,0.94514024,-0.36226466
1163000000,0.94631416,-0.36248466
1164000000,0.94751292,-0.36271837
1165000000,0.94873333,-0.36296543
1166000000,0.94997513,-0.36322707
1167000000,0.95123595,-0.36350328
1168000000,0.95251602,-0.36379442
1169000000,0.95381296,-0.36410058
1170000000,0.95512557,-0.36442271
1171000000,0.95645231,-0.36476019
1172000000,0.95779204,-0.36511382
1173000000,0.95914346,-0.36548319
1174000000,0.96050519,-0.36586946
1175000000,0.96187478,-0.36627147
1176000000,0.9632526,-0.36669025
1177000000,0.96463585,-0.36712515
1178000000,0.96602404,-0.36757681
1179000000,0.96741509,-0.36804494
1180000000,0.96880829,-0.36852932
1181000000,0.97020179,-0.36903
1182000000,0.97159469,-0.36954701
1183000000,0.97298467,-0.37007993
1184000000,0.97437167,-0.37062851
1185000000,0.97575313,-0.37119272
1186000000,0.97712874,-0.37177238
1187000000,0.97849715,-0.37236714
1188000000,0.97985619,-0.37297672
1189000000,0.98120528,-0.37360057
1190000000,0.98254287,-0.37423846
1191000000,0.98386788,-0.37488991
1192000000,0.98517948,-0.3755551
1193000000,0.98647577,-0.37623268
1194000000,0.98775589,-0.37692258
1195000000,0.98901862,-0.37762454
1196000000,0.99026322,-0.37833744
1197000000,0.99148834,-0.37906143
1198000000,0.99269271,-0.37979534
1199000000,0.99387586,-0.3805393
1200000000,0.99503613,-0.38129199
1201000000,0.99617267,-0.38205296
1202000000,0.99728537,-0.38282216
1203000000,0.99837232,-0.38359773
1204000000,0.9994328,-0.38438019
1205000000,1.0004663,-0.38516816
1206000000,1.0014721,-0.38596126
1207000000,1.0024488,-0.38675839
1208000000,1.0033964,-0.38755932
1209000000,1.0043142,-0.38836291
1210000000,1.0052007,-0.3891685
1211000000,1.006056,-0.38997546
1212000000,1.0068792,-0.39078286
1213000000,1.0076704,-0.3915903
1214000000,1.0084282,-0.39239627
1215000000,1.0091528,-0.39320078
1216000000,1.0098433,-0.39400265
1217000000,1.0104996,-0.3948009
1218000000,1.0111214,-0.39559522
1219000000,1.0117083,-0.39638451
1220000000,1.01226,-0.39716801
1221000000,1.0127765,-0.39794537
1222000000,1.0132573,-0.3987149
1223000000,1.0137019,-0.39947635
1224000000,1.0141113,-0.40022948
1225000000,1.0144851,-0.40097296
1226000000,1.0148226,-0.40170595
1227000000,1.0151241,-0.40242806
1228000000,1.0153902,-0.40313867
1229000000,1.0156206,-0.40383637
1230000000,1.0158153,-0.40452105
1231000000,1.0159743,-0.40519232
1232000000,1.0160984,-0.40584859
1233000000,1.0161875,-0.40648979
1234000000,1.0162418,-0.40711555
1235000000,1.0162621,-0.40772477
1236000000,1.0162485,-0.40831712
1237000000,1.0162009,-0.40889177
1238000000,1.0161206,-0.40944865
1239000000,1.0160068,-0.40998644
1240000000,1.0158613,-0.4105055
1241000000,1.0156842,-0.41100502
1242000000,1.015476,-0.41148466
1243000000,1.0152367,-0.41194379
1244000000,1.0149676,-0.41238198
1245000000,1.0146693,-0.41279894
1246000000,1.0143425,-0.41319442
1247000000,1.0139867,-0.41356787
1248000000,1.013604,-0.41391894
1249000000,1.0131946,-0.41424781
