!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Tuesday, March 15, 2016 19:29:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,0.93668228,-0.64992172
1001000000,0.93335813,-0.65360838
1002000000,0.92932755,-0.65121883
1003000000,0.92867488,-0.65061677
1004000000,0.92552823,-0.6503849
1005000000,0.92104441,-0.65244097
1006000000,0.92148358,-0.65097255
1007000000,0.91822183,-0.65175903
1008000000,0.91627699,-0.65136147
1009000000,0.91343099,-0.64902794
1010000000,0.91123009,-0.65085793
1011000000,0.91093302,-0.65008146
1012000000,0.90771973,-0.65174311
1013000000,0.90790123,-0.64936894
1014000000,0.90118885,-0.65008426
1015000000,0.90089595,-0.65023351
1016000000,0.89723665,-0.65243196
1017000000,0.89735597,-0.65192848
1018000000,0.89536041,-0.64890271
1019000000,0.89323127,-0.65093172
1020000000,0.89077681,-0.64991701
1021000000,0.88941216,-0.64954293
1022000000,0.88932925,-0.64964652
1023000000,0.88732845,-0.64921403
1024000000,0.88309634,-0.64834535
1025000000,0.88384819,-0.65047771
1026000000,0.87967062,-0.64990431
1027000000,0.88035601,-0.64903599
1028000000,0.87486947,-0.64844811
1029000000,0.87272209,-0.64580888
1030000000,0.87545604,-0.64521188
1031000000,0.8752591,-0.64548534
1032000000,0.87052536,-0.64575183
1033000000,0.87225461,-0.64207911
1034000000,0.8696332,-0.64320499
1035000000,0.86969507,-0.64265341
1036000000,0.86524785,-0.64053142
1037000000,0.86738396,-0.64087456
1038000000,0.86754495,-0.64081705
1039000000,0.86463547,-0.64117849
1040000000,0.86625683,-0.64043111
1041000000,0.86416692,-0.63972974
1042000000,0.86402506,-0.64117891
1043000000,0.86509681,-0.640104
1044000000,0.86374766,-0.6416285
1045000000,0.86023623,-0.64254856
1046000000,0.86170149,-0.64125913
1047000000,0.85892135,-0.64076877
1048000000,0.85911226,-0.64137673
1049000000,0.85766363,-0.63960183
1050000000,0.85752827,-0.64105594
1051000000,0.85646641,-0.64186835
1052000000,0.85500073,-0.64168853
1053000000,0.85610485,-0.643848
1054000000,0.85458446,-0.64310318
1055000000,0.85169584,-0.64446205
1056000000,0.85294306,-0.64269674
1057000000,0.85207325,-0.64463991
1058000000,0.85243374,-0.64526695
1059000000,0.85098571,-0.64305896
1060000000,0.84886438,-0.64497876
1061000000,0.84680921,-0.64528286
1062000000,0.84738189,-0.6427505
1063000000,0.84617549,-0.64492571
1064000000,0.84517765,-0.64838964
1065000000,0.84372097,-0.64792717
1066000000,0.84615099,-0.64531076
1067000000,0.84317523,-0.64812011
1068000000,0.843014,-0.64614433
1069000000,0.84213263,-0.64697754
1070000000,0.83991778,-0.64541829
1071000000,0.84102303,-0.64537746
1072000000,0.84096593,-0.64766854
1073000000,0.83829826,-0.64986253
1074000000,0.83855575,-0.64940387
1075000000,0.84028709,-0.65036577
1076000000,0.83823889,-0.65068036
1077000000,0.83723634,-0.65170753
1078000000,0.83791345,-0.6528163
1079000000,0.83776903,-0.65346408
1080000000,0.83987653,-0.65529096
1081000000,0.8366577,-0.65745205
1082000000,0.83668303,-0.65769249
1083000000,0.83347899,-0.66021562
1084000000,0.83262032,-0.66166449
1085000000,0.82945096,-0.66260278
1086000000,0.83015841,-0.66221529
1087000000,0.82671648,-0.66426933
1088000000,0.82426709,-0.66769606
1089000000,0.8212654,-0.66579473
1090000000,0.82405931,-0.6700573
1091000000,0.81904495,-0.67297661
1092000000,0.81653762,-0.66834635
1093000000,0.8144545,-0.67197186
1094000000,0.81269538,-0.67040831
1095000000,0.80900252,-0.67197365
1096000000,0.80768383,-0.67314881
1097000000,0.80579251,-0.67168957
1098000000,0.80603659,-0.67382312
1099000000,0.80166811,-0.67227387
1100000000,0.79861987,-0.67068964
1101000000,0.79940176,-0.67309362
1102000000,0.79603273,-0.67399824
1103000000,0.79728997,-0.67264998
1104000000,0.79366165,-0.67527246
1105000000,0.79127073,-0.67164278
1106000000,0.79124814,-0.67224473
1107000000,0.78963524,-0.6760478
1108000000,0.78798622,-0.6715641
1109000000,0.78607529,-0.67506069
1110000000,0.78346628,-0.67306751
1111000000,0.7803852,-0.67636245
1112000000,0.77837557,-0.67372495
1113000000,0.77708507,-0.6750626
1114000000,0.77489972,-0.67607725
1115000000,0.77280408,-0.67510021
1116000000,0.76872277,-0.67617887
1117000000,0.76950055,-0.67445618
1118000000,0.76826113,-0.67417854
1119000000,0.76652116,-0.67246407
1120000000,0.76529938,-0.67178065
1121000000,0.76382226,-0.67223644
1122000000,0.76127809,-0.67096263
1123000000,0.7589469,-0.66889995
1124000000,0.75792176,-0.66973448
1125000000,0.75543869,-0.67018425
1126000000,0.75581366,-0.67013168
1127000000,0.75568277,-0.66767275
1128000000,0.75318199,-0.66757268
1129000000,0.75049055,-0.66655755
1130000000,0.75310844,-0.66681111
1131000000,0.75169593,-0.66707176
1132000000,0.74949712,-0.66651928
1133000000,0.74961483,-0.66495484
1134000000,0.74756128,-0.66486257
1135000000,0.7490859,-0.66342765
1136000000,0.74668211,-0.66479349
1137000000,0.74517101,-0.66604364
1138000000,0.74636573,-0.66629308
1139000000,0.74590325,-0.6675573
1140000000,0.74156487,-0.66652858
1141000000,0.74193645,-0.66609699
1142000000,0.74073869,-0.66553932
1143000000,0.738352,-0.66755825
1144000000,0.73883706,-0.66522741
1145000000,0.73744959,-0.66688681
1146000000,0.73921949,-0.66526729
1147000000,0.73555136,-0.66752815
1148000000,0.73689705,-0.66515833
1149000000,0.73544407,-0.6686911
1150000000,0.73458338,-0.66403759
1151000000,0.73388362,-0.66498053
1152000000,0.73343945,-0.66550732
1153000000,0.73299736,-0.6681242
1154000000,0.73189348,-0.66689283
1155000000,0.73365879,-0.67157102
1156000000,0.73310059,-0.66894013
1157000000,0.73227507,-0.67119205
1158000000,0.73362511,-0.67193353
1159000000,0.72897089,-0.67439049
1160000000,0.72946769,-0.67309332
1161000000,0.72712064,-0.67449015
1162000000,0.72486925,-0.67700738
1163000000,0.72078496,-0.67976934
1164000000,0.72285891,-0.67889535
1165000000,0.72045916,-0.67762369
1166000000,0.71720058,-0.6812346
1167000000,0.71554756,-0.68182713
1168000000,0.71618044,-0.68224913
1169000000,0.70919013,-0.68042845
1170000000,0.71011078,-0.68155617
1171000000,0.70604396,-0.6810379
1172000000,0.70427805,-0.67969745
1173000000,0.70289248,-0.68178153
1174000000,0.70254153,-0.68128282
1175000000,0.6983577,-0.68265361
1176000000,0.69947255,-0.6824531
1177000000,0.69510818,-0.68437755
1178000000,0.69394809,-0.68306369
1179000000,0.69357717,-0.68232054
1180000000,0.68929255,-0.68161356
1181000000,0.68786186,-0.68232089
1182000000,0.68545979,-0.68169457
1183000000,0.68283808,-0.68075186
1184000000,0.68150514,-0.68091059
1185000000,0.67866647,-0.67823112
