!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Monday, March 14, 2016 14:13:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,0.81364304,-0.62303847
1001000000,0.80546182,-0.62640691
1002000000,0.79728609,-0.62972152
1003000000,0.78911626,-0.63297832
1004000000,0.78095263,-0.6361742
1005000000,0.77279478,-0.63930821
1006000000,0.76464403,-0.64238048
1007000000,0.75650042,-0.64538699
1008000000,0.74836487,-0.64832717
1009000000,0.74023783,-0.65120083
1010000000,0.73211944,-0.65400565
1011000000,0.72401071,-0.65673959
1012000000,0.71591181,-0.65940279
1013000000,0.70782423,-0.66199374
1014000000,0.69974768,-0.6645115
1015000000,0.69168341,-0.6669544
1016000000,0.68363339,-0.66932386
1017000000,0.675596,-0.67161614
1018000000,0.66757375,-0.67383301
1019000000,0.65956616,-0.6759727
1020000000,0.65157604,-0.67803454
1021000000,0.64360189,-0.68001866
1022000000,0.63564622,-0.68192393
1023000000,0.62770933,-0.6837492
1024000000,0.61979324,-0.68549752
1025000000,0.61189687,-0.68716395
1026000000,0.60402298,-0.68875301
1027000000,0.59617108,-0.69026011
1028000000,0.58834243,-0.69168657
1029000000,0.58053786,-0.69303393
1030000000,0.57275981,-0.69430101
1031000000,0.56500733,-0.69548666
1032000000,0.55728263,-0.69659263
1033000000,0.54958516,-0.69761795
1034000000,0.54191738,-0.69856286
1035000000,0.53427899,-0.69942755
1036000000,0.52667207,-0.70021254
1037000000,0.51909679,-0.70091712
1038000000,0.511554,-0.70154244
1039000000,0.50404519,-0.70208806
1040000000,0.49657041,-0.70255512
1041000000,0.48913151,-0.70294309
1042000000,0.48172849,-0.70325309
1043000000,0.47436273,-0.70348459
1044000000,0.46703497,-0.70363766
1045000000,0.45974627,-0.70371449
1046000000,0.45249808,-0.70371431
1047000000,0.4452894,-0.70363706
1048000000,0.43812245,-0.70348513
1049000000,0.430998,-0.70325708
1050000000,0.4239158,-0.70295423
1051000000,0.41687807,-0.70257735
1052000000,0.40988508,-0.70212692
1053000000,0.40293619,-0.70160288
1054000000,0.39603382,-0.70100701
1055000000,0.38917875,-0.70033842
1056000000,0.38237011,-0.69959873
1057000000,0.37561026,-0.69878942
1058000000,0.36889887,-0.69790983
1059000000,0.36223742,-0.69696051
1060000000,0.35562557,-0.6959433
1061000000,0.34906489,-0.69485843
1062000000,0.3425549,-0.69370604
1063000000,0.33609685,-0.69248718
1064000000,0.32969201,-0.69120342
1065000000,0.32333955,-0.68985462
1066000000,0.3170408,-0.68844181
1067000000,0.31079593,-0.686966
1068000000,0.30460584,-0.68542707
1069000000,0.29847056,-0.68382728
1070000000,0.29239073,-0.68216604
1071000000,0.28636664,-0.68044508
1072000000,0.28039902,-0.67866462
1073000000,0.27448809,-0.67682594
1074000000,0.26863417,-0.67493004
1075000000,0.26283801,-0.67297709
1076000000,0.25709906,-0.67096817
1077000000,0.25141856,-0.66890377
1078000000,0.24579586,-0.66678488
1079000000,0.24023233,-0.66461349
1080000000,0.23472738,-0.66238898
1081000000,0.22928204,-0.66011256
1082000000,0.22389568,-0.65778565
1083000000,0.21856871,-0.65540797
1084000000,0.21330149,-0.6529808
1085000000,0.20809415,-0.65050566
1086000000,0.20294675,-0.64798212
1087000000,0.19785976,-0.64541179
1088000000,0.1928326,-0.64279592
1089000000,0.18786614,-0.64013422
1090000000,0.18296,-0.63742882
1091000000,0.17811431,-0.63467914
1092000000,0.17332874,-0.63188654
1093000000,0.16860379,-0.62905133
1094000000,0.16393919,-0.62617588
1095000000,0.15933527,-0.62325889
1096000000,0.15479173,-0.62030244
1097000000,0.1503083,-0.61730701
1098000000,0.14588496,-0.61427265
1099000000,0.14152184,-0.61120057
1100000000,0.13721888,-0.60809195
1101000000,0.13297576,-0.60494691
1102000000,0.12879223,-0.60176641
1103000000,0.12466859,-0.59855062
1104000000,0.12060425,-0.59530115
1105000000,0.11659925,-0.59201759
1106000000,0.11265308,-0.58870161
1107000000,0.10876603,-0.58535248
1108000000,0.10493743,-0.58197212
1109000000,0.1011674,-0.57856071
1110000000,0.097455427,-0.57511818
1111000000,0.093801357,-0.57164574
1112000000,0.09020514,-0.56814402
1113000000,0.086666122,-0.5646134
1114000000,0.083183974,-0.56105471
1115000000,0.07975895,-0.55746728
1116000000,0.07639049,-0.55385315
1117000000,0.073077947,-0.55021167
1118000000,0.069821283,-0.54654402
1119000000,0.066620104,-0.54285055
1120000000,0.063474119,-0.53913087
1121000000,0.060383383,-0.53538615
1122000000,0.057346795,-0.53161693
1123000000,0.054364748,-0.52782267
1124000000,0.051436175,-0.52400458
1125000000,0.04856132,-0.52016318
1126000000,0.045739625,-0.51629776
1127000000,0.042970572,-0.51240945
1128000000,0.040253919,-0.50849861
1129000000,0.03758936,-0.50456476
1130000000,0.034976516,-0.50060886
1131000000,0.03241501,-0.49663073
1132000000,0.029904459,-0.49263099
1133000000,0.027444649,-0.4886094
1134000000,0.025035132,-0.48456675
1135000000,0.02267549,-0.48050284
1136000000,0.020365601,-0.47641766
1137000000,0.018104777,-0.47231182
1138000000,0.015892709,-0.46818519
1139000000,0.013729147,-0.46403769
1140000000,0.011614336,-0.45987013
1141000000,0.0095472857,-0.45568186
1142000000,0.0075278138,-0.45147336
1143000000,0.0055555115,-0.44724467
1144000000,0.00363046,-0.44299594
1145000000,0.0017520137,-0.43872696
1146000000,-8.0034879e-005,-0.43443757
1147000000,-0.001865913,-0.43012863
1148000000,-0.0036057571,-0.42579931
1149000000,-0.0053001577,-0.42145044
1150000000,-0.0069489474,-0.41708094
1151000000,-0.0085523222,-0.41269165
1152000000,-0.010110889,-0.40828258
1153000000,-0.011624777,-0.40385327
1154000000,-0.013094145,-0.39940399
