!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Tuesday, March 15, 2016 13:51:16
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,1.0093989,-0.45039171
1001000000,1.0065931,-0.45130768
1002000000,1.0068243,-0.45240965
1003000000,1.0054442,-0.4513562
1004000000,1.005998,-0.45467803
1005000000,1.0062858,-0.45483688
1006000000,1.005906,-0.45691374
1007000000,1.004156,-0.45504045
1008000000,1.005302,-0.45610896
1009000000,1.0041547,-0.45767257
1010000000,1.0031894,-0.45906118
1011000000,1.0027902,-0.45865548
1012000000,1.0040151,-0.46217185
1013000000,1.0014787,-0.45874825
1014000000,1.0023011,-0.46307951
1015000000,1.000897,-0.46591824
1016000000,1.0006924,-0.46708351
1017000000,0.99783856,-0.46524835
1018000000,0.99647528,-0.46677646
1019000000,0.99459022,-0.47005185
1020000000,0.99453408,-0.46728674
1021000000,0.9905864,-0.46746382
1022000000,0.9908731,-0.47024533
1023000000,0.98673481,-0.4670659
1024000000,0.98620576,-0.46717858
1025000000,0.98708463,-0.46680832
1026000000,0.98627764,-0.46787557
1027000000,0.98421156,-0.46869642
1028000000,0.98629034,-0.46928504
1029000000,0.98279434,-0.46910742
1030000000,0.98343068,-0.46946722
1031000000,0.98323935,-0.4690643
1032000000,0.98208737,-0.4709529
1033000000,0.97973841,-0.47148785
1034000000,0.97972983,-0.46949908
1035000000,0.9785102,-0.47245705
1036000000,0.97655761,-0.46978194
1037000000,0.97674346,-0.47093812
1038000000,0.97445679,-0.47160107
1039000000,0.97174293,-0.47228774
1040000000,0.97261328,-0.46894175
1041000000,0.97242558,-0.47284696
1042000000,0.97101289,-0.47226334
1043000000,0.96748781,-0.47238216
1044000000,0.96821845,-0.46880236
1045000000,0.96813518,-0.47224551
1046000000,0.96712244,-0.46805659
1047000000,0.9659735,-0.46920872
1048000000,0.96590507,-0.47034967
1049000000,0.96484065,-0.4700934
1050000000,0.96421677,-0.46915561
1051000000,0.96459371,-0.47041079
1052000000,0.961927,-0.47145212
1053000000,0.96044624,-0.47090381
1054000000,0.95857263,-0.46891379
1055000000,0.95989549,-0.47284627
1056000000,0.9570989,-0.47171697
1057000000,0.95619798,-0.47115713
1058000000,0.95348912,-0.47071391
1059000000,0.95445263,-0.47081149
1060000000,0.95418686,-0.46868035
1061000000,0.95293719,-0.46861258
1062000000,0.95206743,-0.46875626
1063000000,0.9534384,-0.46853265
1064000000,0.95067769,-0.46753353
1065000000,0.95017111,-0.46663922
1066000000,0.94910038,-0.46606386
1067000000,0.9510954,-0.46617603
1068000000,0.94646919,-0.46753719
1069000000,0.94690299,-0.46452951
1070000000,0.94475222,-0.46363676
1071000000,0.94442332,-0.46281838
1072000000,0.94326317,-0.4656558
1073000000,0.94326103,-0.46258003
1074000000,0.94303203,-0.46260709
1075000000,0.94345844,-0.46123207
1076000000,0.94082934,-0.46065164
1077000000,0.9424141,-0.4605543
1078000000,0.93912458,-0.45869383
1079000000,0.93908334,-0.45957911
1080000000,0.94273788,-0.45922163
1081000000,0.93902677,-0.45650885
1082000000,0.94111109,-0.45742401
1083000000,0.93862063,-0.45808858
1084000000,0.93836594,-0.45668322
1085000000,0.93800741,-0.45685038
1086000000,0.93771553,-0.45777085
1087000000,0.93888837,-0.45617142
1088000000,0.93865329,-0.45535523
1089000000,0.93843299,-0.45400012
1090000000,0.94036078,-0.45526248
1091000000,0.93749154,-0.45380425
1092000000,0.93792075,-0.45486441
1093000000,0.93730265,-0.45528427
1094000000,0.93676078,-0.45360652
1095000000,0.93505019,-0.45189673
1096000000,0.93793708,-0.4523443
1097000000,0.93743879,-0.45396563
1098000000,0.93724889,-0.45277673
1099000000,0.93742806,-0.4517197
1100000000,0.93609178,-0.4513925
1101000000,0.93705988,-0.45192885
1102000000,0.93579805,-0.45139384
1103000000,0.93642479,-0.44928381
1104000000,0.93486154,-0.45192528
1105000000,0.93596172,-0.44962314
1106000000,0.93840235,-0.45029479
1107000000,0.93665254,-0.45070899
1108000000,0.93557382,-0.4509134
1109000000,0.93590635,-0.44979689
1110000000,0.93634856,-0.45114136
1111000000,0.93598479,-0.4495497
1112000000,0.93997025,-0.44806895
1113000000,0.93453866,-0.44821283
1114000000,0.93804932,-0.45067742
1115000000,0.93839937,-0.44816518
1116000000,0.93480116,-0.44899714
1117000000,0.93656558,-0.449301
1118000000,0.93543905,-0.44855705
1119000000,0.93668878,-0.44955114
1120000000,0.93722218,-0.44965184
1121000000,0.94013327,-0.44891313
1122000000,0.93951511,-0.44567537
1123000000,0.9397831,-0.44925374
1124000000,0.93730479,-0.45003465
1125000000,0.94012976,-0.45031327
1126000000,0.93763608,-0.45061818
1127000000,0.9391703,-0.45186666
1128000000,0.9367044,-0.45569766
