Freq [GHz],"dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'","dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'"
0.01,,,,,,,,,,,,,,,,-0.000444107,-0.000335291,-0.000746997,-0.000417766,-0.000308897,-0.000672053,-0.000880206,-0.000759304,-0.000866546,-0.001114989,-0.001199514,-0.001029968,-0.001224296,-0.00114394,-0.001329839
0.011,,,,,,,,,,,,,,,,-0.00089199,-0.000783365,-0.001210816,-0.000908183,-0.000767867,-0.001132123,-0.001360617,-0.001222919,-0.00133677,-0.001619692,-0.001696353,-0.001497902,-0.001732116,-0.001626978,-0.00186088
0.012,,,,,,,,,,,,,,,,-0.00131123,-0.001201845,-0.001646565,-0.001366084,-0.001195914,-0.001564143,-0.001813028,-0.001658807,-0.001779452,-0.002095511,-0.002165777,-0.001939604,-0.002211813,-0.002082622,-0.00235831
0.013,,,,,,,,,,,,,,,,-0.001694959,-0.001583834,-0.002047278,-0.001783918,-0.001585934,-0.001961126,-0.002230214,-0.002059941,-0.002187508,-0.002534935,-0.002600456,-0.002348122,-0.002656041,-0.002504009,-0.00281541
0.014,,,,,,,,,,,,,,,,-0.002038746,-0.001924927,-0.002408436,-0.002156885,-0.001933413,-0.002318521,-0.002607434,-0.002421723,-0.002556289,-0.002933044,-0.002995557,-0.002718881,-0.003060014,-0.002886734,-0.003228267
0.015,,,,,,,,,,,,,,,,-0.002340208,-0.002222807,-0.00272758,-0.002482488,-0.002236005,-0.002633832,-0.002942048,-0.002741611,-0.002883214,-0.003287107,-0.003348371,-0.003049317,-0.003421111,-0.003228453,-0.003595266
0.016,,,,,,,,,,,,,,,,-0.002598642,-0.002476862,-0.003003939,-0.0027601,-0.00249313,-0.002906255,-0.003233147,-0.003018755,-0.0031674,-0.003596193,-0.003657934,-0.003338529,-0.003738486,-0.003528512,-0.003916605
0.017,,,,,,,,,,,,,,,,-0.002814675,-0.002687819,-0.003238082,-0.002990563,-0.00270559,-0.003136327,-0.003481201,-0.003253646,-0.003409314,-0.003860799,-0.003924671,-0.003586938,-0.004012701,-0.003787587,-0.004193858
0.018,,,,,,,,,,,,,,,,-0.002989947,-0.002857422,-0.003431598,-0.003175828,-0.002875235,-0.00332561,-0.003687736,-0.003447809,-0.00361046,-0.004082519,-0.004150077,-0.003795983,-0.004245392,-0.004007364,-0.004429599
0.019,,,,,,,,,,,,,,,,-0.003126832,-0.002988153,-0.003586817,-0.003318646,-0.00300467,-0.003476416,-0.003855051,-0.003603521,-0.003773102,-0.004263747,-0.00433643,-0.003967852,-0.004438979,-0.004190263,-0.004627082
0.02,,,,,,,,,,,,,,,,-0.003228208,-0.003082986,-0.00370658,-0.003422303,-0.003097004,-0.003591574,-0.00398598,-0.00372358,-0.003900029,-0.004407425,-0.004486552,-0.00410525,-0.004596422,-0.004339196,-0.004789987
0.021,,,,,,,,,,,,,,,,-0.00329726,-0.003145198,-0.003794039,-0.003490407,-0.003155653,-0.00367423,-0.004083693,-0.003811106,-0.003994355,-0.004516843,-0.004603603,-0.004211208,-0.004721009,-0.00445738,-0.004922209
0.022,,,,,,,,,,,,,,,,-0.003337328,-0.003178211,-0.003852505,-0.003526716,-0.003184174,-0.003727695,-0.004151534,-0.003869392,-0.004059368,-0.004595467,-0.004690927,-0.004288932,-0.004816202,-0.004548179,-0.005027703
