!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Tuesday, March 15, 2016 19:44:20
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,0.97681892,-0.4174512
1001000000,0.9701575,-0.41768065
1002000000,0.97081983,-0.41932485
1003000000,0.96910018,-0.4208279
1004000000,0.96846122,-0.42346993
1005000000,0.96451485,-0.42312285
1006000000,0.96395451,-0.42471462
1007000000,0.96257681,-0.42351767
1008000000,0.96078753,-0.42533171
1009000000,0.95737237,-0.42404708
1010000000,0.957672,-0.4245365
1011000000,0.95650625,-0.42659596
1012000000,0.95551628,-0.42542595
1013000000,0.95568019,-0.42789078
1014000000,0.95374137,-0.42817158
1015000000,0.95222151,-0.42720154
1016000000,0.9509148,-0.42958775
1017000000,0.9509573,-0.43033645
1018000000,0.95286417,-0.42891407
1019000000,0.94757396,-0.43097043
1020000000,0.94985294,-0.43346289
1021000000,0.94780689,-0.43341607
1022000000,0.95080549,-0.43620637
1023000000,0.94742662,-0.4358342
1024000000,0.94760311,-0.43780127
1025000000,0.94705683,-0.44040778
1026000000,0.94507825,-0.440851
1027000000,0.94469774,-0.44265223
1028000000,0.94134808,-0.44286513
1029000000,0.9394362,-0.44551986
1030000000,0.9402411,-0.44538632
1031000000,0.94041055,-0.44888446
1032000000,0.93956208,-0.44858831
1033000000,0.93985111,-0.4466387
1034000000,0.9404909,-0.44867733
1035000000,0.93879366,-0.44925824
1036000000,0.93560594,-0.45087674
1037000000,0.93678641,-0.45238248
1038000000,0.93613982,-0.45366713
1039000000,0.93481749,-0.45467621
1040000000,0.9366414,-0.45457676
1041000000,0.93517148,-0.45627558
1042000000,0.9345296,-0.46126583
1043000000,0.93591762,-0.46086368
1044000000,0.93242198,-0.46343827
1045000000,0.93153501,-0.46500364
1046000000,0.93027043,-0.46661001
1047000000,0.93000078,-0.46950957
1048000000,0.9289639,-0.46964821
1049000000,0.92780751,-0.47341311
1050000000,0.92893338,-0.47188547
1051000000,0.92748952,-0.47402683
1052000000,0.92546326,-0.47743827
1053000000,0.92632228,-0.4778291
1054000000,0.92518348,-0.47982025
1055000000,0.9234454,-0.48116788
1056000000,0.92414266,-0.48210689
1057000000,0.92601901,-0.48473457
1058000000,0.92372996,-0.48659554
1059000000,0.92200929,-0.48827684
1060000000,0.92080116,-0.4881295
1061000000,0.91784453,-0.49258327
1062000000,0.91898888,-0.49102354
1063000000,0.91713297,-0.49670303
1064000000,0.9178825,-0.50144726
1065000000,0.91419107,-0.50501525
1066000000,0.91578782,-0.50440645
1067000000,0.91438055,-0.5053035
1068000000,0.91160309,-0.50607061
1069000000,0.91219336,-0.50920457
1070000000,0.90974617,-0.51190901
1071000000,0.90874588,-0.51155269
1072000000,0.90825999,-0.51461488
1073000000,0.90851825,-0.51944292
1074000000,0.90654629,-0.52257651
1075000000,0.90845913,-0.52349752
1076000000,0.90598196,-0.52541578
1077000000,0.90505171,-0.52861941
1078000000,0.90243363,-0.532709
1079000000,0.90279037,-0.53483367
1080000000,0.90563917,-0.53985208
1081000000,0.90214372,-0.5440985
1082000000,0.90017241,-0.54576075
1083000000,0.89708531,-0.54961234
1084000000,0.8950963,-0.55550599
1085000000,0.89117122,-0.55851382
1086000000,0.89028502,-0.56169552
1087000000,0.88717884,-0.56380934
1088000000,0.88445544,-0.56883919
1089000000,0.88031739,-0.56948352
1090000000,0.87904751,-0.57502419
1091000000,0.87556183,-0.57988691
1092000000,0.87158549,-0.57912648
1093000000,0.8689515,-0.58250326
1094000000,0.86354584,-0.58653909
1095000000,0.86037076,-0.58784992
1096000000,0.85868293,-0.5915693
1097000000,0.85541922,-0.5917716
1098000000,0.8544805,-0.59326982
1099000000,0.84836543,-0.59557414
1100000000,0.84635413,-0.59675032
1101000000,0.8429997,-0.60147274
1102000000,0.83937043,-0.60480791
1103000000,0.83851302,-0.60723186
1104000000,0.83402157,-0.61088681
1105000000,0.83341998,-0.61044538
1106000000,0.82921308,-0.61412877
1107000000,0.82493156,-0.617791
1108000000,0.82244867,-0.61891001
1109000000,0.81798637,-0.62093437
1110000000,0.81597018,-0.62460595
1111000000,0.80842668,-0.62804109
1112000000,0.80690157,-0.62911868
1113000000,0.80127257,-0.63572556
1114000000,0.79822469,-0.63799906
1115000000,0.79312372,-0.63730043
1116000000,0.78908861,-0.64268517
1117000000,0.78228241,-0.64421177
1118000000,0.78083354,-0.64433688
1119000000,0.7756561,-0.64750797
1120000000,0.77276278,-0.64906514
1121000000,0.76821589,-0.65202701
1122000000,0.76480192,-0.65348446
1123000000,0.76101249,-0.65435821
1124000000,0.75681907,-0.65713221
1125000000,0.75069022,-0.66028303
1126000000,0.74631286,-0.66195023
1127000000,0.74411523,-0.66478676
1128000000,0.73968536,-0.66681451
1129000000,0.73304695,-0.66721964
1130000000,0.73242861,-0.67071795
1131000000,0.7280308,-0.67503858
1132000000,0.72151494,-0.6763981
1133000000,0.71606708,-0.67929041
1134000000,0.71129602,-0.68121403
1135000000,0.70866382,-0.68327558
1136000000,0.70320064,-0.68815506
1137000000,0.69734752,-0.69143349
1138000000,0.69309056,-0.69323438
1139000000,0.68940878,-0.69929504
1140000000,0.67876393,-0.69857061
1141000000,0.6744349,-0.70327431
1142000000,0.66851962,-0.70548886
1143000000,0.66111714,-0.70901316
1144000000,0.65692312,-0.71020496
1145000000,0.64855993,-0.7129311
1146000000,0.64314175,-0.71412957
1147000000,0.6356681,-0.72116625
1148000000,0.62874794,-0.72063553
1149000000,0.6237663,-0.72659236
1150000000,0.6143226,-0.72667152
1151000000,0.60961765,-0.72926247
1152000000,0.60484397,-0.73136765
1153000000,0.59547681,-0.736929
1154000000,0.58902675,-0.73788458
1155000000,0.580495,-0.74424595
1156000000,0.57397497,-0.7452299
1157000000,0.56686658,-0.75085342
1158000000,0.55893767,-0.75402254
1159000000,0.5468291,-0.7584272
1160000000,0.538248,-0.760598
1161000000,0.5285722,-0.76287019
1162000000,0.51845962,-0.76674932
1163000000,0.50282812,-0.76917392
1164000000,0.49699986,-0.77213037
1165000000,0.48479789,-0.77257603
1166000000,0.47122052,-0.77756906
1167000000,0.45857468,-0.77874684
1168000000,0.4488484,-0.7820583
1169000000,0.43168324,-0.78119415
1170000000,0.42057207,-0.78344309
1171000000,0.40553689,-0.78403908
1172000000,0.39238745,-0.78251439
1173000000,0.37759075,-0.78363103
1174000000,0.36417335,-0.78568351
1175000000,0.34814352,-0.78354561
1176000000,0.33412039,-0.78250325
1177000000,0.31858212,-0.78109658
1178000000,0.3024922,-0.78027123
1179000000,0.28861606,-0.7772879
1180000000,0.27009484,-0.77469301
1181000000,0.25223193,-0.76937968
1182000000,0.23668835,-0.76721662
1183000000,0.2196503,-0.76084864
1184000000,0.20122623,-0.76045424
1185000000,0.18532747,-0.75086939
1186000000,0.16523746,-0.7467472
1187000000,0.14915016,-0.73928934
1188000000,0.12780365,-0.73361552
1189000000,0.1098225,-0.72463101
