!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Monday, March 14, 2016 14:39:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG)
1000000000,1.2384131,0.20165662
1001000000,1.2364527,0.19108962
1002000000,1.2343677,0.1806078
1003000000,1.2321585,0.17021444
1004000000,1.2298295,0.15991431
1005000000,1.2273818,0.14970884
1006000000,1.224821,0.13960059
1007000000,1.2221473,0.12959367
1008000000,1.2193637,0.11969053
1009000000,1.2164758,0.10989313
1010000000,1.2134839,0.10020371
1011000000,1.2103909,0.090626396
1012000000,1.2072003,0.081161425
1013000000,1.2039177,0.07181251
1014000000,1.2005429,0.062580578
1015000000,1.1970792,0.053468175
1016000000,1.1935328,0.044476394
1017000000,1.1899036,0.035608098
1018000000,1.186197,0.026863899
1019000000,1.1824145,0.018246137
1020000000,1.1785607,0.0097554671
1021000000,1.174638,0.0013937558
1022000000,1.1706505,-0.0068385322
1023000000,1.1666003,-0.014938751
1024000000,1.1624939,-0.022907542
1025000000,1.15833,-0.030743213
1026000000,1.1541165,-0.038445253
1027000000,1.1498532,-0.046012364
1028000000,1.1455455,-0.053444158
1029000000,1.1411954,-0.060740493
1030000000,1.1368083,-0.067900769
1031000000,1.1323857,-0.074923813
1032000000,1.1279318,-0.081810676
1033000000,1.1234504,-0.088560119
1034000000,1.1189439,-0.095172949
1035000000,1.1144161,-0.10164861
1036000000,1.1098707,-0.10798704
1037000000,1.1053107,-0.11418878
1038000000,1.1007395,-0.12025455
1039000000,1.0961599,-0.12618341
1040000000,1.0915762,-0.13197756
1041000000,1.0869911,-0.13763632
1042000000,1.082408,-0.14316091
1043000000,1.0778296,-0.14855179
1044000000,1.0732595,-0.15380986
1045000000,1.0687003,-0.15893574
1046000000,1.0641576,-0.16393054
1047000000,1.0596303,-0.16879494
1048000000,1.0551252,-0.17353109
1049000000,1.0506436,-0.17813919
1050000000,1.0461884,-0.1826207
1051000000,1.0417635,-0.18697776
1052000000,1.0373714,-0.1912109
1053000000,1.0330142,-0.19532122
1054000000,1.0286958,-0.19931208
1055000000,1.0244186,-0.20318344
1056000000,1.0201842,-0.20693797
1057000000,1.015998,-0.21057746
1058000000,1.0118605,-0.21410356
1059000000,1.0077742,-0.21751764
1060000000,1.0037428,-0.22082323
1061000000,0.99976778,-0.22402112
1062000000,0.99585223,-0.2271132
1063000000,0.99199694,-0.23010305
1064000000,0.98820651,-0.23299222
1065000000,0.98448157,-0.23578285
1066000000,0.98082441,-0.23847716
1067000000,0.97723782,-0.24107844
1068000000,0.9737221,-0.24358825
1069000000,0.970281,-0.24600972
1070000000,0.96691549,-0.24834539
1071000000,0.96362716,-0.25059786
1072000000,0.96041781,-0.25276962
1073000000,0.9572897,-0.25486386
1074000000,0.95424408,-0.2568832
1075000000,0.95128179,-0.25882992
1076000000,0.94840431,-0.26070753
1077000000,0.94561338,-0.26251853
1078000000,0.94290966,-0.26426637
1079000000,0.94029462,-0.26595396
1080000000,0.93776941,-0.26758391
1081000000,0.93533468,-0.26915953
1082000000,0.93299139,-0.27068383
1083000000,0.93073952,-0.27215987
1084000000,0.92858011,-0.27359051
1085000000,0.92651451,-0.27497947
1086000000,0.92454189,-0.27632937
1087000000,0.92266333,-0.2776435
1088000000,0.92087913,-0.27892518
1089000000,0.91918933,-0.28017756
1090000000,0.91759378,-0.28140393
1091000000,0.91609234,-0.28260711
1092000000,0.91468495,-0.28379038
1093000000,0.91337121,-0.28495708
1094000000,0.91215163,-0.28611073
1095000000,0.91102433,-0.28725344
1096000000,0.90999019,-0.28838944
1097000000,0.9090476,-0.28952134
1098000000,0.90819573,-0.29065228
1099000000,0.90743417,-0.29178527
1100000000,0.90676171,-0.29292387
1101000000,0.90617794,-0.29407072
1102000000,0.90568101,-0.2952289
1103000000,0.90526962,-0.29640132
1104000000,0.90494281,-0.29759151
1105000000,0.90469915,-0.29880163
1106000000,0.9045366,-0.30003539
1107000000,0.90445322,-0.30129477
1108000000,0.90444809,-0.30258325
1109000000,0.90451926,-0.30390316
1110000000,0.90466446,-0.30525711
1111000000,0.90488106,-0.30664799
1112000000,0.90516782,-0.30807826
1113000000,0.90552223,-0.3095507
1114000000,0.90594244,-0.31106758
1115000000,0.90642518,-0.31263104
1116000000,0.90696859,-0.31424391
1117000000,0.90756929,-0.31590787
1118000000,0.90822554,-0.31762564
1119000000,0.90893447,-0.31939906
1120000000,0.90969205,-0.3212299
1121000000,0.91049701,-0.32312068
1122000000,0.91134524,-0.32507256
1123000000,0.91223443,-0.32708794
1124000000,0.9131602,-0.32916778
1125000000,0.91412085,-0.33131447
1126000000,0.91511208,-0.33352855
1127000000,0.91613054,-0.33581203
1128000000,0.91717392,-0.33816612
1129000000,0.91823751,-0.3405917
1130000000,0.9193182,-0.3430897
1131000000,0.92041236,-0.34566152
1132000000,0.92151654,-0.34830755
1133000000,0.92262644,-0.35102844
1134000000,0.92373961,-0.35382566
1135000000,0.92485118,-0.35669869
1136000000,0.92595756,-0.3596482
1137000000,0.9270553,-0.36267453
1138000000,0.92814022,-0.36577758
1139000000,0.92920822,-0.36895755
1140000000,0.93025655,-0.37221405
1141000000,0.9312799,-0.37554696
1142000000,0.93227524,-0.37895608
1143000000,0.93323803,-0.38244027
1144000000,0.93416506,-0.38599959
1145000000,0.93505162,-0.38963303
1146000000,0.93589419,-0.39333954
1147000000,0.93668872,-0.39711809
1148000000,0.93743128,-0.40096739
1149000000,0.93811822,-0.40488657
1150000000,0.93874526,-0.40887383
1151000000,0.93930894,-0.41292742
1152000000,0.93980479,-0.41704586
1153000000,0.94022989,-0.4212276
1154000000,0.94057989,-0.42547008
1155000000,0.94085127,-0.4297716
1156000000,0.94104069,-0.4341298
1157000000,0.94114411,-0.4385424
1158000000,0.94115794,-0.44300681
1159000000,0.94107908,-0.44752032
1160000000,0.94090408,-0.45208055
1161000000,0.94062996,-0.45668456
1162000000,0.94025284,-0.46132904
1163000000,0.93976891,-0.4660109
1164000000,0.93917674,-0.47072741
1165000000,0.93847197,-0.47547463
1166000000,0.93765271,-0.48024961
1167000000,0.93671519,-0.4850485
1168000000,0.93565756,-0.48986807
1169000000,0.93447709,-0.49470404
1170000000,0.93317133,-0.49955305
1171000000,0.93173701,-0.50441092
1172000000,0.93017322,-0.50927353
1173000000,0.92847699,-0.51413709
1174000000,0.92664707,-0.51899725
1175000000,0.92468053,-0.52384901
1176000000,0.92257679,-0.52868915
1177000000,0.92033339,-0.53351235
1178000000,0.91794932,-0.5383147
1179000000,0.91542381,-0.54309136
1180000000,0.91275471,-0.54783803
1181000000,0.90994191,-0.55254942
1182000000,0.90698403,-0.55722147
1183000000,0.90388042,-0.56184888
1184000000,0.90063095,-0.56642717
1185000000,0.8972348,-0.57095128
1186000000,0.89369249,-0.57541645
1187000000,0.89000338,-0.57981813
1188000000,0.88616788,-0.58415103
1189000000,0.88218606,-0.58841038
1190000000,0.87805885,-0.59259087
1191000000,0.87378627,-0.59668809
1192000000,0.86937022,-0.6006971
1193000000,0.86481071,-0.60461289
1194000000,0.86010921,-0.60843039
1195000000,0.85526735,-0.61214548
1196000000,0.85028636,-0.61575216
1197000000,0.84516805,-0.61924684
1198000000,0.83991408,-0.62262416
1199000000,0.83452737,-0.62587994
1200000000,0.82900876,-0.62900877
1201000000,0.82336152,-0.63200659
1202000000,0.81758851,-0.63486922
1203000000,0.81169152,-0.6375916
1204000000,0.80567402,-0.64016986
1205000000,0.79953879,-0.6425994
1206000000,0.79328948,-0.6448763
1207000000,0.78692919,-0.64699638
1208000000,0.78046143,-0.64895594
1209000000,0.77389002,-0.65075105
1210000000,0.76721847,-0.65237772
1211000000,0.76045102,-0.65383232
1212000000,0.7535916,-0.65511155
1213000000,0.74664509,-0.65621245
1214000000,0.73961514,-0.6571312
1215000000,0.73250663,-0.65786487
1216000000,0.72532421,-0.65841079
1217000000,0.7180723,-0.65876561
1218000000,0.71075612,-0.6589278
1219000000,0.70338053,-0.65889335
1220000000,0.69595087,-0.65866101
1221000000,0.68847209,-0.65822858
1222000000,0.68094957,-0.65759379
1223000000,0.67338854,-0.65675461
1224000000,0.66579485,-0.65571028
1225000000,0.65817398,-0.6544587
1226000000,0.65053123,-0.65299851
1227000000,0.64287263,-0.65132862
1228000000,0.63520336,-0.64944869
1229000000,0.62753004,-0.64735776
1230000000,0.61985815,-0.6450547
1231000000,0.61219329,-0.6425398
1232000000,0.60454184,-0.63981301
1233000000,0.59690946,-0.63687396
1234000000,0.58930236,-0.63372332
1235000000,0.58172625,-0.63036114
1236000000,0.57418752,-0.6267885
1237000000,0.56669194,-0.62300599
1238000000,0.55924553,-0.61901468
1239000000,0.55185401,-0.61481506
1240000000,0.54452372,-0.61040974
1241000000,0.53726083,-0.60580015
1242000000,0.53007054,-0.60098749
1243000000,0.52295941,-0.59597439
1244000000,0.51593256,-0.59076256
1245000000,0.50899649,-0.58535433
1246000000,0.50215644,-0.57975292
1247000000,0.49541801,-0.57396042
1248000000,0.48878706,-0.56797987
1249000000,0.48226914,-0.56181473
1250000000,0.47586963,-0.55546826
1251000000,0.4695932,-0.54894358
1252000000,0.46344596,-0.54224455
1253000000,0.45743254,-0.53537494
1254000000,0.45155838,-0.52833819
1255000000,0.44582778,-0.5211392
1256000000,0.44024613,-0.51378179
1257000000,0.43481773,-0.50627047
1258000000,0.42954728,-0.49860966
1259000000,0.42443907,-0.49080443
1260000000,0.41949782,-0.48285916
