Freq(GHz),S11 Log Mag(dB)
1.5,0.066222355
1.501,0.042008027
1.502,0.029527357
1.503,0.015955925
1.504,0.018311501
1.505,-0.0031664933
1.506,-0.028056158
1.507,0.0007702529
1.508,0.0072109429
1.509,0.0013448321
1.51,0.024483953
1.511,0.029213497
1.512,-0.0084553249
1.513,0.0021847726
1.514,0.00085236796
1.515,0.0024858129
1.516,-0.01040409
1.517,-0.03947578
1.518,-0.026882643
1.519,-0.063511565
1.52,-0.049009994
1.521,-0.077920571
1.522,-0.067470402
1.523,-0.098792113
1.524,-0.056238275
1.525,-0.10253738
1.526,-0.047313504
1.527,-0.076130614
1.528,-0.11728656
1.529,-0.12492389
1.53,-0.13586201
1.531,-0.070566148
1.532,-0.12327164
1.533,-0.098094307
1.534,-0.12411334
1.535,-0.10109317
1.536,-0.11727429
1.537,-0.09170422
1.538,-0.092565499
1.539,-0.0895463
1.54,-0.097255431
1.541,-0.094448276
1.542,-0.081932053
1.543,-0.074661329
1.544,-0.089629248
1.545,-0.10066172
1.546,-0.060929015
1.547,-0.080080368
1.548,-0.091543093
1.549,-0.054615371
1.55,-0.056973994
1.551,-0.062471014
1.552,-0.063780949
1.553,-0.047029547
1.554,-0.063934974
1.555,-0.060988501
1.556,-0.037288856
1.557,-0.075689405
1.558,-0.041066069
1.559,-0.065695465
1.56,-0.072342418
1.561,-0.059026081
1.562,-0.093499929
1.563,-0.0066941041
1.564,-0.081286244
1.565,-0.042870998
1.566,-0.037155617
1.567,-0.047366932
1.568,-0.058078974
1.569,-0.062839523
1.57,-0.032803278
1.571,-0.080748782
1.572,-0.033976704
1.573,-0.042886987
1.574,-0.019236047
1.575,-0.030345114
1.576,-0.050155766
1.577,-0.031070493
1.578,-0.023331409
1.579,-0.033309899
1.58,-0.047552533
1.581,-0.012539514
1.582,-0.0032160298
1.583,-0.033868026
1.584,0.041931875
1.585,-0.056974478
1.586,0.0054710461
1.587,-0.051305965
1.588,-0.035888229
1.589,-0.0042163879
1.59,-0.058565952
1.591,-0.02721522
1.592,-0.070616685
1.593,0.0039010413
1.594,-0.044481553
1.595,-0.044497181
1.596,-0.017679119
1.597,-0.043046158
1.598,-0.0081794737
1.599,-0.060878195
1.6,-0.028750343
1.601,-0.050596524
1.602,-0.02461417
1.603,-0.042776965
1.604,-0.05360416
1.605,-0.019638486
1.606,-0.03237107
1.607,-0.00094719185
1.608,-0.013010624
1.609,-0.054591328
1.61,-0.0061032712
1.611,-0.0060869139
1.612,-0.0014752535
1.613,-0.0053051836
1.614,-0.029014176
1.615,0.010685625
1.616,0.0027384982
1.617,0.010587699
1.618,0.028370274
1.619,0.044886898
1.62,0.034951899
1.621,0.046163317
1.622,0.091421656
1.623,0.055159718
1.624,0.085505582
1.625,0.08726313
1.626,0.099894799
1.627,0.088729538
1.628,0.11226042
1.629,0.12590824
1.63,0.14130898
1.631,0.15626749
1.632,0.18570657
1.633,0.17964271
1.634,0.15243842
1.635,0.16185203
1.636,0.211659
1.637,0.18933934
1.638,0.20437858
1.639,0.25292614
1.64,0.24243784
1.641,0.26534009
1.642,0.24467596
1.643,0.26706964
1.644,0.32657447
1.645,0.30432576
1.646,0.30820587
1.647,0.31268567
1.648,0.31143653
1.649,0.34912363
1.65,0.33404973
1.651,0.35353217
1.652,0.38677108
1.653,0.3961812
1.654,0.4070549
1.655,0.38829896
1.656,0.42231807
1.657,0.36487296
1.658,0.41373336
1.659,0.42396364
1.66,0.4390308
1.661,0.43188071
1.662,0.43233281
1.663,0.42299604
1.664,0.4310506
1.665,0.39951965
1.666,0.46659017
1.667,0.45248359
1.668,0.41741246
1.669,0.42517182
1.67,0.41272742
1.671,0.41817689
1.672,0.43649179
1.673,0.43142819
1.674,0.44380376
1.675,0.41198885
1.676,0.40445644
1.677,0.40248731
1.678,0.38588232
1.679,0.40160593
1.68,0.36660701
1.681,0.39390716
1.682,0.37263039
1.683,0.33613712
1.684,0.38070926
1.685,0.37548542
1.686,0.35842574
1.687,0.34206682
1.688,0.31044799
1.689,0.31711423
1.69,0.3243348
1.691,0.32022125
1.692,0.27895051
1.693,0.31227073
1.694,0.30057958
1.695,0.30570501
1.696,0.25046933
1.697,0.25601044
1.698,0.26280138
1.699,0.24343856
1.7,0.23849848
1.701,0.20639278
1.702,0.23160085
1.703,0.21098737
1.704,0.16908254
1.705,0.16446686
1.706,0.17177524
1.707,0.21700449
1.708,0.13504553
1.709,0.19612138
1.71,0.1701638
1.711,0.13334814
1.712,0.12490451
1.713,0.12116452
1.714,0.091404065
1.715,0.081088766
1.716,0.094394498
1.717,0.037292976
1.718,0.054656446
1.719,0.013199085
1.72,0.0083125746
1.721,-0.0036314048
1.722,-0.0056671537
1.723,-0.027539821
1.724,-0.088295229
1.725,-0.087693892
1.726,-0.047084369
1.727,-0.1346205
1.728,-0.10514259
1.729,-0.11663309
1.73,-0.15123603
1.731,-0.14682803
1.732,-0.17457876
1.733,-0.1978718
1.734,-0.26822126
1.735,-0.23991594
1.736,-0.27594578
1.737,-0.29029122
1.738,-0.28852293
1.739,-0.28129938
1.74,-0.31527403
1.741,-0.3209013
1.742,-0.32582539
1.743,-0.36113656
1.744,-0.38432497
1.745,-0.41228589
1.746,-0.40702736
1.747,-0.40452427
1.748,-0.4418385
1.749,-0.43192923
1.75,-0.43795589
1.751,-0.45948419
1.752,-0.45421717
1.753,-0.50567067
1.754,-0.50235814
1.755,-0.47765437
1.756,-0.49458903
1.757,-0.48473468
1.758,-0.53658134
1.759,-0.52848768
1.76,-0.51053536
1.761,-0.54739296
1.762,-0.53065413
1.763,-0.56696868
1.764,-0.57727808
1.765,-0.59231138
1.766,-0.55987781
1.767,-0.56829274
1.768,-0.60643363
1.769,-0.56757921
1.77,-0.62268025
1.771,-0.58095109
1.772,-0.63132912
1.773,-0.55152023
1.774,-0.62760878
1.775,-0.67226326
1.776,-0.64593989
1.777,-0.67628497
1.778,-0.68954134
1.779,-0.63868237
1.78,-0.64708781
1.781,-0.65887892
1.782,-0.64455187
1.783,-0.6371749
1.784,-0.61745495
1.785,-0.6412161
1.786,-0.65428704
1.787,-0.66737819
1.788,-0.64125371
1.789,-0.62305737
1.79,-0.61187452
1.791,-0.63291138
1.792,-0.61465669
1.793,-0.57035238
1.794,-0.57378912
1.795,-0.59523302
1.796,-0.56222045
1.797,-0.61406392
1.798,-0.58453363
1.799,-0.57983923
1.8,-0.60706478
1.801,-0.56558281
1.802,-0.52766258
1.803,-0.54950237
1.804,-0.60101205
1.805,-0.59288144
1.806,-0.60320711
1.807,-0.60464227
1.808,-0.6439237
1.809,-0.62074679
1.81,-0.59370947
1.811,-0.61390376
1.812,-0.57758611
1.813,-0.57052517
1.814,-0.6228947
1.815,-0.62026232
1.816,-0.60439408
1.817,-0.60681766
1.818,-0.63726491
1.819,-0.63551205
1.82,-0.62353706
1.821,-0.63266438
1.822,-0.64801407
1.823,-0.56816506
1.824,-0.63335186
1.825,-0.64787012
1.826,-0.62000817
1.827,-0.632384
1.828,-0.63002503
1.829,-0.64196569
1.83,-0.67658395
1.831,-0.66356581
1.832,-0.65385449
1.833,-0.63882494
1.834,-0.66242689
1.835,-0.69106293
