"Freq [GHz]","dB(S(1,1)) []"
1.5,-2.47019886993261
1.501,-2.46353275523029
1.502,-2.45698704759935
1.503,-2.45056239648054
1.504,-2.44425943014688
1.505,-2.43807875583896
1.506,-2.43202095990253
1.507,-2.42608660792779
1.508,-2.42027624489097
1.509,-2.4145903952981
1.51,-2.40902956333085
1.511,-2.40359423299419
1.512,-2.39828486826652
1.513,-2.39310191325161
1.514,-2.38804579233265
1.515,-2.38311691032815
1.516,-2.37831565265026
1.517,-2.3736423854648
1.518,-2.36909745585316
1.519,-2.36468119197635
1.52,-2.36039390324095
1.521,-2.35623588046711
1.522,-2.35220739605784
1.523,-2.34830870417087
1.524,-2.34454004089196
1.525,-2.34090162440992
1.526,-2.33739365519359
1.527,-2.33401631617057
1.528,-2.33076977290722
1.529,-2.32765417379091
1.53,-2.32466965021329
1.531,-2.32181631675568
1.532,-2.31909427137557
1.533,-2.31650359559476
1.534,-2.314044354689
1.535,-2.3117165978789
1.536,-2.30952035852239
1.537,-2.30745565430835
1.538,-2.30552248745142
1.539,-2.30372084488839
1.54,-2.30205069847526
1.541,-2.30051200518594
1.542,-2.29910470731158
1.543,-2.29782873266136
1.544,-2.29668399476379
1.545,-2.29567039306942
1.546,-2.29478781315395
1.547,-2.29403612692252
1.548,-2.29341519281487
1.549,-2.29292485601056
1.55,-2.29256494863583
1.551,-2.29233528997019
1.552,-2.29223568665404
1.553,-2.29226593289695
1.554,-2.29242581068594
1.555,-2.29271508999449
1.556,-2.2931335289918
1.557,-2.29368087425255
1.558,-2.29435686096654
1.559,-2.29516121314882
1.56,-2.29609364385
1.561,-2.29715385536663
1.562,-2.29834153945127
1.563,-2.2996563775232
1.564,-2.30109804087847
1.565,-2.30266619090041
1.566,-2.3043604792696
1.567,-2.30618054817362
1.568,-2.30812603051705
1.569,-2.3101965501305
1.57,-2.31239172197982
1.571,-2.31471115237482
1.572,-2.31715443917742
1.573,-2.3197211720095
1.574,-2.32241093245999
1.575,-2.32522329429182
1.576,-2.32815782364804
1.577,-2.33121407925715
1.578,-2.33439161263806
1.579,-2.33768996830427
1.58,-2.34110868396701
1.581,-2.34464729073813
1.582,-2.34830531333169
1.583,-2.35208227026492
1.584,-2.35597767405832
1.585,-2.3599910314349
1.586,-2.36412184351788
1.587,-2.36836960602862
1.588,-2.37273380948222
1.589,-2.37721393938292
1.59,-2.38180947641835
1.591,-2.38651989665224
1.592,-2.39134467171663
1.593,-2.3962832690024
1.594,-2.40133515184919
1.595,-2.40649977973359
1.596,-2.41177660845651
1.597,-2.41716509032936
1.598,-2.42266467435857
1.599,-2.42827480642953
1.6,-2.43399492948868
1.601,-2.43982448372454
1.602,-2.44576290674772
1.603,-2.45180963376906
1.604,-2.45796409777714
1.605,-2.46422572971369
1.606,-2.47059395864864
1.607,-2.4770682119529
1.608,-2.48364791547039
1.609,-2.49033249368859
1.61,-2.49712136990761
1.611,-2.50401396640815
1.612,-2.51100970461789
1.613,-2.51810800527664
1.614,-2.52530828860017
1.615,-2.53260997444279
1.616,-2.54001248245816
1.617,-2.54751523225936
1.618,-2.55511764357712
1.619,-2.5628191364172
1.62,-2.57061913121588
1.621,-2.57851704899468
1.622,-2.58651231151362
1.623,-2.59460434142268
1.624,-2.60279256241306
1.625,-2.611076399366
1.626,-2.61945527850118
1.627,-2.62792862752343
1.628,-2.63649587576841
1.629,-2.64515645434693
1.63,-2.65390979628833
1.631,-2.66275533668227
1.632,-2.67169251281978
1.633,-2.68072076433286
1.634,-2.68983953333306
1.635,-2.69904826454905
1.636,-2.70834640546281
1.637,-2.7177334064451
1.638,-2.72720872088945
1.639,-2.73677180534585
1.64,-2.74642211965241
1.641,-2.75615912706697
1.642,-2.76598229439712
1.643,-2.77589109212978
1.644,-2.78588499455931
1.645,-2.79596347991541
1.646,-2.80612603048928
1.647,-2.81637213275983
1.648,-2.82670127751861
1.649,-2.83711295999391
1.65,-2.84760667997423
1.651,-2.85818194193117
1.652,-2.86883825514123
1.653,-2.87957513380718
1.654,-2.89039209717891
1.655,-2.90128866967326
1.656,-2.91226438099365
1.657,-2.9233187662489
1.658,-2.93445136607151
1.659,-2.94566172673576
1.66,-2.95694940027474
1.661,-2.96831394459751
1.662,-2.97975492360558
1.663,-2.99127190730884
1.664,-3.00286447194142
1.665,-3.01453220007715
1.666,-3.02627468074459
1.667,-3.03809150954182
1.668,-3.04998228875109
1.669,-3.06194662745328
1.67,-3.07398414164177
1.671,-3.08609445433696
1.672,-3.09827719569976
1.673,-3.11053200314566
1.674,-3.12285852145839
1.675,-3.13525640290359
1.676,-3.14772530734277
1.677,-3.16026490234677
1.678,-3.17287486330972
1.679,-3.18555487356291
1.68,-3.1983046244888
1.681,-3.21112381563516
1.682,-3.22401215482934
1.683,-3.23696935829287
1.684,-3.24999515075625
1.685,-3.2630892655739
1.686,-3.27625144483933
1.687,-3.28948143950116
1.688,-3.30277900947863
1.689,-3.31614392377826
1.69,-3.32957596061045
1.691,-3.34307490750678
1.692,-3.35664056143734
1.693,-3.37027272892932
1.694,-3.38397122618519
1.695,-3.39773587920206
1.696,-3.41156652389142
1.697,-3.42546300619944
1.698,-3.43942518222775
1.699,-3.45345291835521
1.7,-3.46754609136008
1.701,-3.48170458854281
1.702,-3.49592830784992
1.703,-3.51021715799816
1.704,-3.52457105859974
1.705,-3.53898994028828
1.706,-3.55347374484555
1.707,-3.56802242532896
1.708,-3.58263594620008
1.709,-3.59731428345392
1.71,-3.61205742474912
1.711,-3.62686536953907
1.712,-3.64173812920405
1.713,-3.6566757271842
1.714,-3.67167819911355
1.715,-3.68674559295507
1.716,-3.70187796913679
1.717,-3.71707540068861
1.718,-3.73233797338091
1.719,-3.74766578586336
1.72,-3.76305894980558
1.721,-3.77851759003837
1.722,-3.79404184469647
1.723,-3.80963186536217
1.724,-3.82528781721033
1.725,-3.84100987915438
1.726,-3.85679824399381
1.727,-3.87265311856238
1.728,-3.88857472387815
1.729,-3.90456329529438
1.73,-3.92061908265166
1.731,-3.93674235043164
1.732,-3.95293337791177
1.733,-3.96919245932132
1.734,-3.98551990399892
1.735,-4.0019160365513
1.736,-4.01838119701332
1.737,-4.03491574100949
1.738,-4.05152003991668
1.739,-4.06819448102836
1.74,-4.08493946772014
1.741,-4.10175541961652
1.742,-4.1186427727596
1.743,-4.1356019797784
1.744,-4.15263351006029
1.745,-4.16973784992349
1.746,-4.18691550279098
1.747,-4.20416698936609
1.748,-4.22149284780928
1.749,-4.23889363391656
1.75,-4.25636992129919
1.751,-4.27392230156498
1.752,-4.29155138450103
1.753,-4.30925779825787
1.754,-4.32704218953516
1.755,-4.34490522376892
1.756,-4.36284758531993
1.757,-4.3808699776641
1.758,-4.39897312358395
1.759,-4.41715776536168
1.76,-4.43542466497383
1.761,-4.45377460428741
1.762,-4.4722083852573
1.763,-4.49072683012554
1.764,-4.50933078162178
1.765,-4.5280211031654
1.766,-4.54679867906912
1.767,-4.56566441474406
1.768,-4.58461923690624
1.769,-4.60366409378476
1.77,-4.62279995533144
1.771,-4.64202781343163
1.772,-4.66134868211703
1.773,-4.68076359777966
1.774,-4.70027361938737
1.775,-4.71987982870096
1.776,-4.73958333049266
1.777,-4.75938525276609
1.778,-4.77928674697796
1.779,-4.79928898826078
1.78,-4.81939317564751
1.781,-4.83960053229739
1.782,-4.85991230572343
1.783,-4.88032976802123
1.784,-4.90085421609927
1.785,-4.92148697191079
1.786,-4.94222938268718
1.787,-4.9630828211724
1.788,-4.98404868585946
1.789,-5.00512840122789
1.79,-5.0263234179829
1.791,-5.04763521329596
1.792,-5.06906529104673
1.793,-5.09061518206651
1.794,-5.11228644438323
1.795,-5.13408066346769
1.796,-5.15599945248136
1.797,-5.17804445252566
1.798,-5.20021733289265
1.799,-5.2225197913171
1.8,-5.24495355423017
1.801,-5.26752037701433
1.802,-5.29022204425996
1.803,-5.3130603700233
1.804,-5.33603719808579
1.805,-5.35915440221507
1.806,-5.38241388642731
1.807,-5.405817585251
1.808,-5.42936746399245
1.809,-5.45306551900249
1.81,-5.47691377794496
1.811,-5.5009143000665
1.812,-5.52506917646804
1.813,-5.54938053037778
1.814,-5.57385051742572
1.815,-5.59848132591976
1.816,-5.62327517712352
1.817,-5.64823432553563
1.818,-5.67336105917073
1.819,-5.69865769984218
1.82,-5.72412660344642
1.821,-5.74977016024899
1.822,-5.77559079517247
1.823,-5.80159096808596
1.824,-5.8277731740967
1.825,-5.8541399438431
1.826,-5.88069384379012
1.827,-5.90743747652621
1.828,-5.93437348106242
1.829,-5.96150453313352
1.83,-5.98883334550104
1.831,-6.01636266825851
1.832,-6.04409528913893
1.833,-6.0720340338243
1.834,-6.10018176625755
1.835,-6.1285413889567
1.836,-6.15711584333159
1.837,-6.18590811000279
1.838,-6.21492120912335
1.839,-6.24415820070289
1.84,-6.27362218493457
1.841,-6.30331630252467
1.842,-6.33324373502506
1.843,-6.36340770516865
1.844,-6.39381147720767
1.845,-6.42445835725526
1.846,-6.45535169363003
1.847,-6.4864948772041
1.848,-6.51789134175436
1.849,-6.54954456431722
1.85,-6.58145806554706
1.851,-6.61363541007822
1.852,-6.64608020689084
1.853,-6.67879610968055
1.854,-6.71178681723226
1.855,-6.74505607379789
1.856,-6.77860766947854
1.857,-6.81244544061074
1.858,-6.84657327015742
