"Freq [GHz]","im(Z(1,1)) []"
1,-4094.52096187408
1.001,-4089.42144011492
1.002,-4084.33252571333
1.003,-4079.25419423572
1.004,-4074.18642128067
1.005,-4069.1291824799
1.006,-4064.08245349797
1.007,-4059.04621003387
1.008,-4054.02042781956
1.009,-4049.00508262211
1.01,-4044.00015024275
1.011,-4039.00560651787
1.012,-4034.02142731836
1.013,-4029.04758855116
1.014,-4024.08406615972
1.015,-4019.13083612259
1.016,-4014.1878744541
1.017,-4009.25515720698
1.018,-4004.33266046997
1.019,-3999.42036036871
1.02,-3994.51823306683
1.021,-3989.62625476506
1.022,-3984.74440170296
1.023,-3979.87265015801
1.024,-3975.01097644525
1.025,-3970.15935691906
1.026,-3965.31776797344
1.027,-3960.48618604025
1.028,-3955.66458759129
1.029,-3950.85294913757
1.03,-3946.05124723051
1.031,-3941.25945846147
1.032,-3936.47755946042
1.033,-3931.70552689959
1.034,-3926.94333749103
1.035,-3922.19096798715
1.036,-3917.44839518181
1.037,-3912.71559590965
1.038,-3907.99254704633
1.039,-3903.27922550929
1.04,-3898.57560825759
1.041,-3893.88167229218
1.042,-3889.19739465453
1.043,-3884.52275242993
1.044,-3879.85772274476
1.045,-3875.20228276831
1.046,-3870.5564097116
1.047,-3865.92008082907
1.048,-3861.29327341722
1.049,-3856.67596481506
1.05,-3852.06813240657
1.051,-3847.46975361608
1.052,-3842.88080591282
1.053,-3838.30126680842
1.054,-3833.73111385953
1.055,-3829.17032466395
1.056,-3824.6188768649
1.057,-3820.0767481486
1.058,-3815.54391624529
1.059,-3811.02035892867
1.06,-3806.50605401761
1.061,-3802.00097937336
1.062,-3797.50511290267
1.063,-3793.01843255582
1.064,-3788.5409163281
1.065,-3784.07254225815
1.066,-3779.61328842998
1.067,-3775.16313297185
1.068,-3770.72205405623
1.069,-3766.29002990069
1.07,-3761.86703876751
1.071,-3757.45305896323
1.072,-3753.04806884033
1.073,-3748.65204679503
1.074,-3744.26497126836
1.075,-3739.88682074726
1.076,-3735.51757376379
1.077,-3731.15720889361
1.078,-3726.80570475894
1.079,-3722.46304002587
1.08,-3718.12919340715
1.081,-3713.80414365992
1.082,-3709.48786958583
1.083,-3705.18035003344
1.084,-3700.8815638952
1.085,-3696.59149010928
1.086,-3692.31010765923
1.087,-3688.03739557432
1.088,-3683.77333292837
1.089,-3679.51789884126
1.09,-3675.27107247772
1.091,-3671.03283304893
1.092,-3666.80315981037
1.093,-3662.58203206307
1.094,-3658.3694291538
1.095,-3654.16533047493
1.096,-3649.96971546437
1.097,-3645.78256360443
1.098,-3641.60385442343
1.099,-3637.4335674967
1.1,-3633.27168244213
1.101,-3629.11817892477
1.102,-3624.97303665471
1.103,-3620.83623538831
1.104,-3616.7077549255
1.105,-3612.58757511338
1.106,-3608.47567584304
1.107,-3604.37203705198
1.108,-3600.27663872225
1.109,-3596.18946088219
1.11,-3592.11048360386
1.111,-3588.03968700599
1.112,-3583.97705125276
1.113,-3579.92255655156
1.114,-3575.87618315776
1.115,-3571.83791136977
1.116,-3567.80772153178
1.117,-3563.7855940337
1.118,-3559.77150930989
1.119,-3555.76544783955
1.12,-3551.76739014775
1.121,-3547.77731680379
1.122,-3543.79520842262
1.123,-3539.82104566334
1.124,-3535.85480923037
1.125,-3531.8964798732
1.126,-3527.94603838564
1.127,-3524.00346560645
1.128,-3520.06874241907
1.129,-3516.14184975191
1.13,-3512.22276857814
1.131,-3508.31147991431
1.132,-3504.40796482307
1.133,-3500.512204411
1.134,-3496.6241798287
1.135,-3492.74387227183
1.136,-3488.87126297992
1.137,-3485.00633323681
1.138,-3481.1490643715
1.139,-3477.29943775584
1.14,-3473.45743480686
1.141,-3469.62303698506
1.142,-3465.79622579568
1.143,-3461.97698278717
1.144,-3458.16528955218
1.145,-3454.36112772771
1.146,-3450.5644789941
1.147,-3446.77532507575
1.148,-3442.99364774024
1.149,-3439.21942879936
1.15,-3435.45265010815
1.151,-3431.69329356583
1.152,-3427.94134111395
1.153,-3424.19677473812
1.154,-3420.45957646762
1.155,-3416.72972837476
1.156,-3413.00721257461
1.157,-3409.2920112259
1.158,-3405.58410653017
1.159,-3401.88348073265
1.16,-3398.19011612061
1.161,-3394.50399502423
1.162,-3390.82509981734
1.163,-3387.1534129158
1.164,-3383.48891677906
1.165,-3379.83159390763
1.166,-3376.18142684606
1.167,-3372.53839818067
1.168,-3368.90249054023
1.169,-3365.2736865964
1.17,-3361.65196906178
1.171,-3358.03732069303
1.172,-3354.4297242877
1.173,-3350.82916268508
1.174,-3347.23561876739
1.175,-3343.64907545846
1.176,-3340.069515724
1.177,-3336.49692257102
1.178,-3332.93127904873
1.179,-3329.37256824779
1.18,-3325.8207733
1.181,-3322.27587737975
1.182,-3318.73786370149
1.183,-3315.20671552179
1.184,-3311.682416138
1.185,-3308.16494888927
1.186,-3304.65429715488
1.187,-3301.15044435618
1.188,-3297.65337395462
1.189,-3294.16306945273
1.19,-3290.6795143943
1.191,-3287.20269236292
1.192,-3283.73258698319
1.193,-3280.26918192115
1.194,-3276.81246088165
1.195,-3273.36240761116
1.196,-3269.9190058956
1.197,-3266.48223956213
1.198,-3263.05209247692
1.199,-3259.62854854702
1.2,-3256.21159171935
1.201,-3252.80120598003
1.202,-3249.39737535607
1.203,-3246.00008391334
1.204,-3242.60931575773
1.205,-3239.22505503485
1.206,-3235.84728592959
1.207,-3232.47599266635
1.208,-3229.11115950852
1.209,-3225.75277075938
1.21,-3222.40081076033
1.211,-3219.05526389364
1.212,-3215.71611457889
1.213,-3212.38334727508
1.214,-3209.05694648004
1.215,-3205.73689673138
1.216,-3202.42318260329
1.217,-3199.11578871039
1.218,-3195.81469970511
1.219,-3192.51990027826
1.22,-3189.23137515909
1.221,-3185.94910911533
1.222,-3182.67308695219
1.223,-3179.4032935138
1.224,-3176.13971368196
1.225,-3172.88233237618
1.226,-3169.63113455424
1.227,-3166.38610521131
1.228,-3163.14722938042
1.229,-3159.91449213219
1.23,-3156.6878785748
1.231,-3153.4673738534
1.232,-3150.25296315144
1.233,-3147.04463168871
1.234,-3143.84236472252
1.235,-3140.64614754709
1.236,-3137.4559654944
1.237,-3134.27180393227
1.238,-3131.09364826575
1.239,-3127.92148393725
1.24,-3124.75529642534
1.241,-3121.59507124481
1.242,-3118.44079394772
1.243,-3115.29245012188
1.244,-3112.15002539209
1.245,-3109.01350541886
1.246,-3105.88287589919
1.247,-3102.75812256591
1.248,-3099.63923118794
1.249,-3096.52618757032
1.25,-3093.41897755394
1.251,-3090.31758701504
1.252,-3087.22200186571
1.253,-3084.1322080539
1.254,-3081.04819156276
1.255,-3077.96993841095
1.256,-3074.89743465269
1.257,-3071.83066637683
1.258,-3068.76961970808
1.259,-3065.71428080587
1.26,-3062.66463586475
1.261,-3059.62067111406
1.262,-3056.58237281819
1.263,-3053.549727276
1.264,-3050.52272082137
1.265,-3047.50133982252
1.266,-3044.48557068222
1.267,-3041.47539983769
1.268,-3038.47081376058
1.269,-3035.47179895644
1.27,-3032.4783419656
1.271,-3029.49042936192
1.272,-3026.50804775352
1.273,-3023.53118378262
1.274,-3020.5598241249
1.275,-3017.59395549006
1.276,-3014.63356462118
1.277,-3011.67863829565
1.278,-3008.72916332348
1.279,-3005.78512654901
1.28,-3002.84651484891
1.281,-2999.91331513414
1.282,-2996.98551434819
1.283,-2994.06309946786
1.284,-2991.14605750332
1.285,-2988.23437549681
1.286,-2985.32804052465
1.287,-2982.42703969482
1.288,-2979.53136014875
1.289,-2976.64098906015
1.29,-2973.75591363525
1.291,-2970.87612111296
1.292,-2968.00159876448
1.293,-2965.13233389355
1.294,-2962.2683138356
1.295,-2959.40952595839
1.296,-2956.5559576624
1.297,-2953.70759637914
1.298,-2950.86442957263
1.299,-2948.02644473852
1.3,-2945.1936294041
1.301,-2942.36597112879
1.302,-2939.54345750284
1.303,-2936.72607614897
1.304,-2933.91381472052
1.305,-2931.10666090254
1.306,-2928.30460241131
1.307,-2925.50762699427
1.308,-2922.71572243023
1.309,-2919.92887652845
1.31,-2917.14707713008
1.311,-2914.37031210601
1.312,-2911.59856935903
1.313,-2908.83183682215
1.314,-2906.07010245859
1.315,-2903.31335426329
1.316,-2900.56158026066
1.317,-2897.81476850595
1.318,-2895.07290708497
1.319,-2892.33598411316
1.32,-2889.60398773691
1.321,-2886.87690613211
1.322,-2884.15472750521
1.323,-2881.43744009212
1.324,-2878.72503215917
1.325,-2876.01749200204
1.326,-2873.31480794631
1.327,-2870.61696834743
1.328,-2867.92396159027
1.329,-2865.23577608909
1.33,-2862.55240028789
1.331,-2859.87382265967
1.332,-2857.20003170718
1.333,-2854.53101596198
1.334,-2851.8667639849
1.335,-2849.20726436588
1.336,-2846.55250572385
1.337,-2843.90247670704
1.338,-2841.25716599152
1.339,-2838.61656228312
1.34,-2835.98065431605
1.341,-2833.34943085273
1.342,-2830.72288068493
1.343,-2828.10099263261
1.344,-2825.48375554354
1.345,-2822.87115829469
1.346,-2820.26318979075
1.347,-2817.65983896489
1.348,-2815.06109477831
1.349,-2812.46694622002
1.35,-2809.87738230752
1.351,-2807.29239208563
1.352,-2804.71196462758
1.353,-2802.13608903394
1.354,-2799.56475443332
1.355,-2796.99794998134
1.356,-2794.4356648621
1.357,-2791.87788828642
1.358,-2789.32460949264
1.359,-2786.77581774694
1.36,-2784.23150234226
1.361,-2781.69165259896
1.362,-2779.1562578644
1.363,-2776.62530751325
1.364,-2774.0987909467
1.365,-2771.57669759354
1.366,-2769.05901690869
1.367,-2766.54573837481
1.368,-2764.0368515001
1.369,-2761.53234582021
1.37,-2759.03221089722
1.371,-2756.5364363197
1.372,-2754.04501170263
1.373,-2751.55792668732
1.374,-2749.07517094144
1.375,-2746.59673415898
1.376,-2744.12260606001
1.377,-2741.65277639077
1.378,-2739.18723492374
1.379,-2736.72597145677
1.38,-2734.26897581426
1.381,-2731.81623784602
1.382,-2729.36774742816
1.383,-2726.92349446184
1.384,-2724.48346887427
1.385,-2722.0476606183
1.386,-2719.61605967192
1.387,-2717.18865603909
1.388,-2714.7654397486
1.389,-2712.34640085492
1.39,-2709.93152943777
1.391,-2707.52081560195
1.392,-2705.11424947735
1.393,-2702.71182121912
1.394,-2700.31352100701
1.395,-2697.91933904634
1.396,-2695.52926556657
1.397,-2693.14329082254
1.398,-2690.76140509342
1.399,-2688.38359868331
1.4,-2686.00986192104
1.401,-2683.64018515965
1.402,-2681.27455877679
1.403,-2678.91297317488
1.404,-2676.55541878017
1.405,-2674.20188604338
1.406,-2671.85236543962
1.407,-2669.50684746829
1.408,-2667.1653226525
1.409,-2664.82778153974
1.41,-2662.49421470135
1.411,-2660.16461273285
1.412,-2657.83896625293
1.413,-2655.51726590505
1.414,-2653.19950235586
1.415,-2650.88566629562
1.416,-2648.57574843857
1.417,-2646.26973952233
1.418,-2643.96763030773
1.419,-2641.66941157985
1.42,-2639.37507414648
1.421,-2637.08460883872
1.422,-2634.79800651156
1.423,-2632.51525804226
1.424,-2630.23635433208
1.425,-2627.96128630527
1.426,-2625.6900449083
1.427,-2623.42262111177
1.428,-2621.1590059083
1.429,-2618.89919031391
1.43,-2616.64316536711
1.431,-2614.39092212924
1.432,-2612.14245168435
1.433,-2609.8977451391
1.434,-2607.65679362279
1.435,-2605.41958828717
1.436,-2603.1861203064
1.437,-2600.95638087711
1.438,-2598.73036121816
1.439,-2596.50805257076
1.44,-2594.28944619846
1.441,-2592.07453338696
1.442,-2589.8633054438
1.443,-2587.65575369884
1.444,-2585.45186950396
1.445,-2583.25164423294
1.446,-2581.05506928128
1.447,-2578.86213606663
1.448,-2576.67283602802
1.449,-2574.48716062668
1.45,-2572.30510134496
1.451,-2570.12664968751
1.452,-2567.95179717989
1.453,-2565.78053536947
1.454,-2563.61285582512
1.455,-2561.44875013716
1.456,-2559.28820991684
1.457,-2557.13122679717
1.458,-2554.97779243224
1.459,-2552.8278984972
1.46,-2550.68153668844
1.461,-2548.53869872358
1.462,-2546.39937634085
1.463,-2544.26356129994
1.464,-2542.1312453811
1.465,-2540.0024203855
1.466,-2537.87707813546
1.467,-2535.75521047355
1.468,-2533.63680926333
1.469,-2531.52186638899
1.47,-2529.41037375549
1.471,-2527.30232328799
1.472,-2525.19770693241
1.473,-2523.09651665496
1.474,-2520.99874444239
1.475,-2518.90438230178
1.476,-2516.8134222604
1.477,-2514.7258563659
1.478,-2512.641676686
1.479,-2510.56087530878
1.48,-2508.48344434208
1.481,-2506.40937591399
1.482,-2504.33866217267
1.483,-2502.27129528623
1.484,-2500.20726744221
1.485,-2498.14657084872
1.486,-2496.0891977331
1.487,-2494.03514034287
1.488,-2491.98439094477
1.489,-2489.93694182554
1.49,-2487.89278529145
1.491,-2485.85191366834
1.492,-2483.81431930139
1.493,-2481.77999455545
1.494,-2479.74893181455
1.495,-2477.72112348238
1.496,-2475.69656198165
1.497,-2473.67523975455
1.498,-2471.65714926207
1.499,-2469.64228298517
1.5,-2467.63063342308
1.501,-2465.62219309446
1.502,-2463.61695453725
1.503,-2461.61491030782
1.504,-2459.61605298203
1.505,-2457.62037515422
1.506,-2455.62786943764
1.507,-2453.63852846436
1.508,-2451.65234488549
1.509,-2449.66931137029
1.51,-2447.68942060714
1.511,-2445.71266530278
1.512,-2443.73903818253
1.513,-2441.7685319903
1.514,-2439.80113948855
1.515,-2437.836853458
1.516,-2435.87566669783
1.517,-2433.91757202535
1.518,-2431.96256227641
1.519,-2430.01063030509
1.52,-2428.06176898363
1.521,-2426.11597120229
1.522,-2424.17322986972
1.523,-2422.23353791239
1.524,-2420.29688827477
1.525,-2418.36327391962
1.526,-2416.43268782706
1.527,-2414.50512299584
1.528,-2412.58057244192
1.529,-2410.65902919957
1.53,-2408.7404863203
1.531,-2406.82493687386
1.532,-2404.91237394717
1.533,-2403.00279064514
1.534,-2401.09618009019
1.535,-2399.19253542223
1.536,-2397.29184979855
1.537,-2395.39411639413
1.538,-2393.49932840138
1.539,-2391.60747902994
1.54,-2389.71856150673
1.541,-2387.83256907611
1.542,-2385.94949499953
1.543,-2384.06933255583
1.544,-2382.1920750409
1.545,-2380.31771576793
1.546,-2378.44624806678
1.547,-2376.5776652848
1.548,-2374.71196078612
1.549,-2372.84912795182
1.55,-2370.98916017997
1.551,-2369.13205088553
1.552,-2367.2777935001
1.553,-2365.42638147243
1.554,-2363.57780826768
1.555,-2361.73206736794
1.556,-2359.88915227195
