ITEM NO.,DESCRIPTION,Manufacturer,PART NUMBER,Supplier,QTY.
1,"Socket Head Screw 4-40x1/4""",McMaster-Carr,92196A106,McMaster-Carr,12
2,"Socket Head Screw 4-40x1-5/8""",McMaster-Carr,92196A215,McMaster-Carr,4
3,"Socket Head Screw 4-40x9/16""",McMaster-Carr,92196A111,McMaster-Carr,2
4,Socket Head Screw 2-56x3_16,McMaster-Carr,92196A076,McMaster-Carr,2
5,"Socket Head Screw 4-40x1-1/4""",McMaster-Carr,92196A302,McMaster-Carr,4
6,"Al Spacer #4-3/16""xOD1_4",McMaster-Carr,92510A421,McMaster-Carr,4
7,Socket Head Screw M2-0.45x10mm,McMaster-Carr,91292A014,McMaster-Carr,4
8,SMA-FEM to SMA-FEM Adapter ,MiniCircuit,SFFL-SF50+,MiniCircuit,6
9,Socket Head Screw M2x0.4_4mm,McMaster-Carr,91292A004,McMaster-Carr,24
10,"Low-Profile Socket Head Screws 6-32x1/4""",McMaster-Carr,93615A210,McMaster-Carr,3
11,Neutrik 8 Pole Cable Connector - 30 A,Neutrik,NL8MPR,Allied Electronics,1
12,"Flat Head Philliphs Machine Screw 4-40x1/4""",McMaster-Carr,91771A106,McMaster-Carr,4
13,Cat5e Coupler -Shielded RJ45,L-com,TDG1026KS-C5E,L-com,1
14,RJ45 ECF Keystone Panel Adapter,L-com,ECF-SK,L-com,1
15,"Pan Head Phillips Machine Screw 4-40x1/4""",McMaster-Carr,91772A106,McMaster-Carr,2
