ITEM NO.,DESCRIPTION,Manufacturer,PART NUMBER,Supplier,QTY.
1,TNC Female/ Female Bulkhead,L-com,BA2301,L-comm,2
2,EtherCon Adapter Chassis Mount D Series CAT6A,Neutrik,NE8FDX-P6,Allied Electronics,2
3,Cat5e Coupler -Shielded RJ45,L-com,TDG1026KS-C5E,L-com,2
4,RJ45 ECF Keystone Panel Adapter,L-com,ECF-SK,L-com,2
5,Neutrik 8 Pole Cable Connector - 30 A,Neutrik,NL8MPR,Allied Electronics,1
6,Flat Head Philliphs Machine Screw 4-40x1/4",McMaster-Carr,91771A106,McMaster-Carr,4
7,Pan Head Phillips Machine Screw 4-40x1/4",McMaster-Carr,91772A106,McMaster-Carr,8
8,Low-Profile Socket Head Screws 6-32x1/4",McMaster-Carr,93615A210,McMaster-Carr,3
9,Socket Head Screw 4-40x3/16",McMaster-Carr,92196A105,McMaster-Carr,8
10,Socket Head Screw 8-32x1/4" ,McMaster-Carr,92196A190,McMaster-Carr,2
11,Socket Head Screw M2-0.45x30mm,McMaster-Carr,91292A037,McMaster-Carr,4
12,Al Spacer #4-3/16"xOD1_4,McMaster-Carr,92510A421,McMaster-Carr,8
13,Socket Head Screw M2-0.45x10mm,McMaster-Carr,91292A014,McMaster-Carr,4
14,Al Spacer #4-3/4"xOD1_4,McMaster-Carr,92510A427,McMaster-Carr,4
15,6061 Al 1/4" Thick 1" x 1" Legs,McMaster-Carr,8982K19,McMaster-Carr,4
16,General Purpose Relays DPST-NO 12VDC 25A,Omron,G7L-2A-TUBJ-CB-DC12,Mouser,1
