ITEM NO.,DESCRIPTION,Manufacturer,PART NUMBER,Supplier,QTY.
1,Neutrik 8 Pole Cable Connector - 30 A,Neutrik,NL8MPR,Allied Electronics,1
2,Flat Head Philliphs Machine Screw 4-40x1/4",McMaster-Carr,91771A106,McMaster-Carr,4
3,Pan Head Phillips Machine Screw 4-40x1/4",McMaster-Carr,91772A106,McMaster-Carr,2
4,Cat5e Coupler -Shielded RJ45,L-com,TDG1026KS-C5E,L-com,1
5,RJ45 ECF Keystone Panel Adapter,L-com,ECF-SK,L-com,1
6,SMA-FEM to SMA-FEM Adapter ,MiniCircuit,SFFL-SF50+,MiniCircuit,10
7,Socket Head Screw M2x0.4_4mm,McMaster-Carr,91292A004,McMaster-Carr,40
8,Low-Profile Socket Head Screws 6-32x1/4",McMaster-Carr,93615A210,McMaster-Carr,3
9,Socket Head Screw 2-56x3_16,McMaster-Carr,92196A076,McMaster-Carr,8
10,Socket Head Screw 2-56x1",McMaster-Carr,92196A140,McMaster-Carr,4
11,Socket Head Screw 2-56x1/4",McMaster-Carr,92196A077,McMaster-Carr,24
12,Socket Head Screw 4-40x1-5/8",McMaster-Carr,92196A215,McMaster-Carr,4
13,Socket Head Screw 4-40x2",McMaster-Carr,92196A121,McMaster-Carr,4
14,Al Spacer #2-3/16"xOD1/4",McMaster-Carr,92510A401,McMaster-Carr,4
15,Socket Head Screw 2-56x7/16",McMaster-Carr,92196A082,McMaster-Carr,4
