!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:24:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,2.4534879,-82.970016,-83.380379,-33.70776,92.805084
1000727272.7273,2.4544914,-88.056961,-88.347282,-33.438309,92.348511
1001454545.4545,2.4601548,-85.4263,-65.367393,-33.157333,91.752892
1002181818.1818,2.4588914,-82.466888,-159.86674,-32.832962,91.259125
1002909090.9091,2.4555902,-88.0383,-98.585426,-32.467232,90.744133
1003636363.6364,2.4622941,-84.93441,-135.2491,-32.240658,90.203445
1004363636.3636,2.4590232,-82.046906,-169.62454,-31.894285,89.71067
1005090909.0909,2.4582264,-91.636253,-160.97696,-31.605185,89.247162
1005818181.8182,2.4547479,-84.228653,-167.10735,-31.269571,88.767502
1006545454.5455,2.4571233,-82.1008,-155.48677,-31.041931,88.322311
1007272727.2727,2.4607587,-91.115479,149.31631,-30.786821,87.797348
1008000000,2.4527421,-120.32686,-31.354315,-30.414057,87.351456
1008727272.7273,2.4564226,-97.375748,-131.44102,-30.176794,86.849396
1009454545.4545,2.4565351,-94.158501,178.12158,-29.890459,86.345886
1010181818.1818,2.4475684,-86.355049,-170.9268,-29.528185,85.923782
1010909090.9091,2.4480367,-82.634293,-135.2813,-29.273966,85.459457
1011636363.6364,2.4512937,-90.599319,174.89619,-29.041761,84.964493
1012363636.3636,2.4467757,-82.537544,-131.44438,-28.761232,84.566429
1013090909.0909,2.4393942,-82.923752,-120.28634,-28.365263,84.02092
1013818181.8182,2.4405723,-83.348259,-141.08875,-28.12063,83.541855
1014545454.5455,2.4361053,-81.909149,-174.05222,-27.852243,83.150185
1015272727.2727,2.4409304,-79.372002,-161.52815,-27.64572,82.649109
1016000000,2.4402311,-80.644333,-171.05684,-27.35523,82.118782
1016727272.7273,2.4395268,-81.549469,-177.17908,-27.102779,81.656273
1017454545.4545,2.4356961,-86.5625,162.89243,-26.843351,81.250229
1018181818.1818,2.4386785,-85.044426,-156.33936,-26.663586,80.833855
1018909090.9091,2.4394197,-84.018143,-150.43144,-26.398996,80.303589
1019636363.6364,2.446593,-86.13813,-175.7186,-26.28187,79.908165
1020363636.3636,2.4403863,-90.234123,-105.72213,-25.979441,79.459282
1021090909.0909,2.4413605,-90.90937,-144.98093,-25.765127,79.012833
1021818181.8182,2.4467833,-82.031212,-156.36673,-25.612549,78.584274
1022545454.5455,2.44082,-89.788818,-144.97495,-25.344055,78.184143
1023272727.2727,2.4421709,-89.412041,-156.69679,-25.16979,77.801659
1024000000,2.4413648,-80.041389,-166.43071,-24.941809,77.357384
1024727272.7273,2.4473972,-83.538231,-155.26074,-24.792831,76.915573
1025454545.4545,2.4436779,-82.806061,-159.19603,-24.55961,76.521156
1026181818.1818,2.4485695,-81.49675,177.13474,-24.413078,76.107346
1026909090.9091,2.4509077,-83.227455,-163.85565,-24.253651,75.723511
1027636363.6364,2.4591634,-82.253952,-173.4276,-24.154823,75.331932
1028363636.3636,2.4510982,-94.965027,147.34941,-23.930536,75.042938
1029090909.0909,2.4484618,-84.709061,175.12221,-23.743299,74.706688
1029818181.8182,2.4535961,-89.173492,-179.55881,-23.57922,74.243301
1030545454.5455,2.4522738,-97.095551,-61.768879,-23.405439,73.90152
1031272727.2727,2.4415257,-102.52951,-23.922277,-23.156069,73.604027
1032000000,2.4420702,-87.745438,-178.42921,-22.987783,73.226395
1032727272.7273,2.4337437,-82.221512,-137.39877,-22.738323,72.865715
1033454545.4545,2.4339557,-81.854332,-131.097,-22.606739,72.570724
1034181818.1818,2.4258399,-82.800873,164.08415,-22.345703,72.171036
