!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 10:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB)
1500000000,0.066222355
1501000000,0.042008027
1502000000,0.029527357
1503000000,0.015955925
1504000000,0.018311501
1505000000,-0.0031664933
1506000000,-0.028056158
1507000000,0.0007702529
1508000000,0.0072109429
1509000000,0.0013448321
1510000000,0.024483953
1511000000,0.029213497
1512000000,-0.0084553249
1513000000,0.0021847726
1514000000,0.00085236796
1515000000,0.0024858129
1516000000,-0.01040409
1517000000,-0.03947578
1518000000,-0.026882643
1519000000,-0.063511565
1520000000,-0.049009994
1521000000,-0.077920571
1522000000,-0.067470402
1523000000,-0.098792113
1524000000,-0.056238275
1525000000,-0.10253738
1526000000,-0.047313504
1527000000,-0.076130614
1528000000,-0.11728656
1529000000,-0.12492389
1530000000,-0.13586201
1531000000,-0.070566148
1532000000,-0.12327164
1533000000,-0.098094307
1534000000,-0.12411334
1535000000,-0.10109317
1536000000,-0.11727429
1537000000,-0.09170422
1538000000,-0.092565499
1539000000,-0.0895463
1540000000,-0.097255431
1541000000,-0.094448276
1542000000,-0.081932053
1543000000,-0.074661329
1544000000,-0.089629248
1545000000,-0.10066172
1546000000,-0.060929015
1547000000,-0.080080368
1548000000,-0.091543093
1549000000,-0.054615371
1550000000,-0.056973994
1551000000,-0.062471014
1552000000,-0.063780949
1553000000,-0.047029547
1554000000,-0.063934974
1555000000,-0.060988501
1556000000,-0.037288856
1557000000,-0.075689405
1558000000,-0.041066069
1559000000,-0.065695465
1560000000,-0.072342418
1561000000,-0.059026081
1562000000,-0.093499929
1563000000,-0.0066941041
1564000000,-0.081286244
1565000000,-0.042870998
1566000000,-0.037155617
1567000000,-0.047366932
1568000000,-0.058078974
1569000000,-0.062839523
1570000000,-0.032803278
1571000000,-0.080748782
1572000000,-0.033976704
1573000000,-0.042886987
1574000000,-0.019236047
1575000000,-0.030345114
1576000000,-0.050155766
1577000000,-0.031070493
1578000000,-0.023331409
1579000000,-0.033309899
1580000000,-0.047552533
1581000000,-0.012539514
1582000000,-0.0032160298
1583000000,-0.033868026
1584000000,0.041931875
1585000000,-0.056974478
1586000000,0.0054710461
1587000000,-0.051305965
1588000000,-0.035888229
1589000000,-0.0042163879
1590000000,-0.058565952
1591000000,-0.02721522
1592000000,-0.070616685
1593000000,0.0039010413
1594000000,-0.044481553
1595000000,-0.044497181
1596000000,-0.017679119
1597000000,-0.043046158
1598000000,-0.0081794737
1599000000,-0.060878195
1600000000,-0.028750343
1601000000,-0.050596524
1602000000,-0.02461417
1603000000,-0.042776965
1604000000,-0.05360416
1605000000,-0.019638486
1606000000,-0.03237107
1607000000,-0.00094719185
1608000000,-0.013010624
1609000000,-0.054591328
1610000000,-0.0061032712
1611000000,-0.0060869139
1612000000,-0.0014752535
1613000000,-0.0053051836
1614000000,-0.029014176
1615000000,0.010685625
1616000000,0.0027384982
1617000000,0.010587699
1618000000,0.028370274
1619000000,0.044886898
