!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 17:07:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SWR(U)
1500000000,46.68079
1501000000,43.798195
1502000000,42.180027
1503000000,39.768547
1504000000,42.82468
1505000000,45.306656
1506000000,41.94873
1507000000,44.755421
1508000000,48.547501
1509000000,43.719971
1510000000,48.995613
1511000000,50.112652
1512000000,49.384911
1513000000,50.377689
1514000000,51.574165
1515000000,54.066589
1516000000,55.302692
1517000000,51.39357
1518000000,60.862041
1519000000,50.432419
1520000000,54.798782
1521000000,53.667114
1522000000,57.045452
1523000000,55.879246
1524000000,65.931786
1525000000,61.186825
1526000000,74.941223
1527000000,70.609337
1528000000,59.265903
1529000000,62.755085
1530000000,60.711292
1531000000,69.373909
1532000000,74.362129
1533000000,79.460869
1534000000,75.778542
1535000000,86.491859
1536000000,91.71434
1537000000,83.646515
1538000000,113.90845
1539000000,111.65102
1540000000,94.36837
1541000000,102.32037
1542000000,124.17042
1543000000,127.82686
1544000000,129.67598
1545000000,137.86211
1546000000,156.05521
1547000000,156.61287
1548000000,150.19379
1549000000,170.38625
1550000000,181.63947
1551000000,176.81873
1552000000,202.82658
1553000000,172.09135
1554000000,284.27789
1555000000,193.85429
1556000000,492.16425
1557000000,226.61812
1558000000,368.75714
1559000000,359.63446
1560000000,219.65079
1561000000,458.41339
1562000000,363.82327
1563000000,12666.826
1564000000,314.68524
1565000000,21014.563
1566000000,385.54291
1567000000,1035.5288
1568000000,549.62067
1569000000,1193.4689
1570000000,1943.9128
1571000000,528.17291
1572000000,16374.594
1573000000,1719.3506
1574000000,376.62192
1575000000,575.6441
1576000000,1682.7406
1577000000,374.64587
1578000000,357.44998
1579000000,947.63708
1580000000,538.39587
1581000000,420.66534
1582000000,318.89844
1583000000,329.69592
1584000000,167.86757
1585000000,659.1123
1586000000,213.72842
1587000000,501.20383
1588000000,342.78787
1589000000,194.60353
1590000000,506.76428
1591000000,208.58089
1592000000,1553.3579
1593000000,232.57419
1594000000,347.54984
1595000000,377.05106
1596000000,228.5255
1597000000,360.57367
1598000000,172.65115
1599000000,455.54913
1600000000,231.94182
1601000000,338.1145
1602000000,484.88565
1603000000,318.69189
1604000000,448.95602
1605000000,238.92046
1606000000,393.80948
1607000000,148.75983
1608000000,249.26347
1609000000,1090.6716
1610000000,243.76668
1611000000,219.35023
1612000000,225.7085
1613000000,256.34961
1614000000,472.73239
1615000000,194.57193
1616000000,244.48442
1617000000,353.56296
1618000000,173.42026
1619000000,164.94595
1620000000,197.12909
1621000000,231.35815
1622000000,136.55318
1623000000,174.28845
1624000000,137.5692
1625000000,146.3546
1626000000,128.93245
1627000000,127.34874
1628000000,120.75414
1629000000,106.01037
1630000000,109.31596
1631000000,103.20124
1632000000,92.215828
1633000000,125.74261
1634000000,108.36795
1635000000,105.96786
1636000000,80.958038
1637000000,86.312645
1638000000,86.908005
1639000000,70.661842
1640000000,77.79464
1641000000,73.25808
1642000000,91.023262
1643000000,81.402061
1644000000,62.496685
1645000000,67.379967
1646000000,68.900658
1647000000,67.536613
1648000000,66.502686
1649000000,59.524563
1650000000,61.199303
1651000000,64.421303
1652000000,53.923237
1653000000,54.803703
1654000000,52.345604
1655000000,55.612942
1656000000,50.004768
1657000000,59.267879
1658000000,49.941715
1659000000,49.870895
1660000000,46.260166
1661000000,50.598297
1662000000,49.420113
1663000000,48.780842
1664000000,47.880554
1665000000,50.29599
1666000000,44.881062
1667000000,46.405323
1668000000,49.250607
1669000000,48.841785
1670000000,54.024483
1671000000,50.201035
1672000000,46.226147
1673000000,48.837029
1674000000,46.169174
1675000000,51.619839
1676000000,51.350918
1677000000,50.302128
1678000000,50.964973
1679000000,50.461334
1680000000,52.676735
1681000000,49.984165
1682000000,50.701073
1683000000,53.504181
1684000000,49.774982
1685000000,46.90868
1686000000,51.941803
1687000000,52.544357
1688000000,54.833233
1689000000,56.311028
1690000000,56.289478
1691000000,55.464802
1692000000,60.816139
1693000000,54.512493
1694000000,55.764294
1695000000,53.689556
1696000000,62.229687
1697000000,64.079529
1698000000,61.385078
1699000000,69.754128
1700000000,66.163704
1701000000,73.432213
1702000000,60.180225
1703000000,68.828636
1704000000,70.370453
