Freq(GHz),S11 Log Mag(dB)
1.5,-0.37219672900065587
1.501,-0.39670125345992524
1.502,-0.4119256505458442
1.503,-0.4369141783240335
1.504,-0.40572253539925196
1.505,-0.38348893095616
1.506,-0.41419778564926757
1.507,-0.38821377713406646
1.508,-0.3578811772829127
1.509,-0.3974112808569858
1.51,-0.3546070962179093
1.511,-0.3467005829676673
1.512,-0.35181098442043746
1.513,-0.3448761107873233
1.514,-0.3368732536605833
1.515,-0.32134005336396076
1.516,-0.31415600882342665
1.517,-0.3380573114884682
1.518,-0.28545448853912303
1.519,-0.34450174799249084
1.52,-0.31704551373014545
1.521,-0.3237325227994275
1.522,-0.3045564269462267
1.523,-0.3109138965795234
1.524,-0.2635013034442531
1.525,-0.28393900530169025
1.526,-0.2318191476604947
1.527,-0.24604310986912184
1.528,-0.29314373477080485
1.529,-0.2768421055496357
1.53,-0.286163413563011
1.531,-0.25042530912391775
1.532,-0.2336246527467582
1.533,-0.21863209755139695
1.534,-0.2292573506654993
1.535,-0.20085767140906652
1.536,-0.18941931804163123
1.537,-0.20769074432075169
1.538,-0.15251042025952033
1.539,-0.15559413439536074
1.54,-0.1840916565014415
1.541,-0.16978371366032421
1.542,-0.13990574290688584
1.543,-0.13590362523948044
1.544,-0.1339656244857078
1.545,-0.1260105764971479
1.546,-0.11131968652094087
1.547,-0.11092329363974582
1.548,-0.11566414283143277
1.549,-0.10195645915911647
1.55,-0.09563975709473724
1.551,-0.09824730949358412
1.552,-0.08564912959759043
1.553,-0.1009462405071125
1.554,-0.061108695192844814
1.555,-0.08961335530823453
1.556,-0.03529675953092743
1.557,-0.07665711829187115
1.558,-0.04710911322258893
1.559,-0.04830411426011428
1.56,-0.07908871758984637
1.561,-0.03789550482310078
1.562,-0.04774797121334921
1.563,-0.0013714390102316349
1.564,-0.05520385306757286
1.565,-0.0008266543201130276
1.566,-0.04505806690253646
1.567,-0.01677576198382353
1.568,-0.03160688706459489
1.569,-0.014555706764967489
1.57,-0.008936502094395055
1.571,-0.0328903654552672
1.572,-0.0010608983219812546
1.573,-0.01010368754048735
1.574,-0.04612535590056886
1.575,-0.03017801581058656
1.576,-0.010323505192130105
1.577,-0.046368642824594415
1.578,-0.04859931618016444
1.579,-0.01833168635015965
1.58,-0.032265847902363906
1.581,-0.041296038316290425
1.582,-0.054474509867688085
1.583,-0.052690468684125184
1.584,-0.10348624674744042
1.585,-0.02635634717384636
1.586,-0.08128028103395477
1.587,-0.034660154786575685
1.588,-0.050678072583336134
1.589,-0.0892683302483216
1.59,-0.03427984668599758
1.591,-0.08328621273371489
1.592,-0.011183373565073389
1.593,-0.07469395606884091
1.594,-0.04998370079916109
1.595,-0.04607285816165309
1.596,-0.07601729416424191
1.597,-0.04817829270445115
1.598,-0.10061892747519496
1.599,-0.03813377314389829
1.6,-0.0748976054217342
1.601,-0.05137854167231114
1.602,-0.035826599333383544
1.603,-0.05450981601823315
1.604,-0.03869378565161188
1.605,-0.07270989147961633
1.606,-0.044112235729433305
1.607,-0.11677911269379247
1.608,-0.06969281329051004
1.609,-0.015927602904447877
1.61,-0.0712643611728864
1.611,-0.07919708872811689
1.612,-0.07696605552112461
1.613,-0.06776631099042259
1.614,-0.036747651642161226
1.615,-0.08928282837714885
1.616,-0.07105514598476367
1.617,-0.04913361286088817
1.618,-0.10017267775427086
1.619,-0.10531930074185002
1.62,-0.08812463087288559
1.621,-0.07508655934080173
1.622,-0.12721849339176652
1.623,-0.09967367262442553
1.624,-0.12627888551422456
1.625,-0.11869835060663073
1.626,-0.1347382107830662
1.627,-0.13641388476406852
1.628,-0.14386402329508655
1.629,-0.16387353957489376
1.63,-0.15891790978890924
1.631,-0.16833444054649344
1.632,-0.18838913715867833
1.633,-0.13815639363268725
1.634,-0.1603082127677319
1.635,-0.16393928288326168
1.636,-0.2145884865686694
1.637,-0.20127475658794772
1.638,-0.19989580934738804
1.639,-0.24586026409399744
1.64,-0.2233153360768102
1.641,-0.23714596906265403
1.642,-0.19085756596950695
1.643,-0.2134178548153099
1.644,-0.27798693727533924
1.645,-0.25783709405654553
1.646,-0.25214562095639154
1.647,-0.25723897314214594
1.648,-0.2612389034992015
1.649,-0.2918696580528597
1.65,-0.28388110232582264
1.651,-0.26968058634989683
1.652,-0.3221945141220257
1.653,-0.3170170388769467
1.654,-0.33190739467124786
1.655,-0.31240303599886393
1.656,-0.34744877983477535
1.657,-0.2931339594592184
1.658,-0.3478875621623311
1.659,-0.34838171809840257
1.66,-0.3755820053893095
1.661,-0.3433720623240091
1.662,-0.351560320623766
1.663,-0.35616878756030396
1.664,-0.3628676846735025
1.665,-0.34543646272251677
1.666,-0.38712664288078746
1.667,-0.3744068111501048
1.668,-0.35277061920575953
1.669,-0.3557242488019712
1.67,-0.3215905589459353
1.671,-0.34609002675963624
1.672,-0.375858491997573
1.673,-0.35575890073733196
1.674,-0.376322448353617
1.675,-0.33657510857133877
1.676,-0.338338172397479
1.677,-0.34539430053262904
1.678,-0.3409009781557094
1.679,-0.3443042922995967
1.68,-0.32982048999823754
1.681,-0.34759203315549386
1.682,-0.3426758330393847
1.683,-0.3247185948950562
1.684,-0.34905320646692817
1.685,-0.370387987344987
1.686,-0.3344883127480031
1.687,-0.3306516260522002
1.688,-0.3168462740047009
1.689,-0.30852936604959036
1.69,-0.3086475090334365
1.691,-0.31323760860402666
1.692,-0.2856699789268947
1.693,-0.31871094772247965
1.694,-0.3115549489109843
1.695,-0.323597172706468
1.696,-0.27917985199033263
1.697,-0.27111918525950723
1.698,-0.2830218159917385
1.699,-0.24906009178786884
1.7,-0.26257753381960297
1.701,-0.2365835448939645
1.702,-0.28868915693588165
1.703,-0.25240950220793085
1.704,-0.24687845567799724
1.705,-0.2613028885112675
1.706,-0.24196082817217804
1.707,-0.2949390693683484
1.708,-0.2216542535399615
1.709,-0.2854121910676165
1.71,-0.28124429370769394
1.711,-0.24728774357911343
1.712,-0.2384094235852227
1.713,-0.2503602649682175
1.714,-0.2476490327491694
1.715,-0.25313403141480184
1.716,-0.27372592941337165
1.717,-0.21696897436795443
1.718,-0.2697525444258588
1.719,-0.24152348586544325
1.72,-0.21404738833122655
1.721,-0.22867944201592105
1.722,-0.20467679391406146
1.723,-0.18489905629941847
1.724,-0.16622974075489455
1.725,-0.1497489766507159
1.726,-0.21972456082035766
1.727,-0.15863932190705646
1.728,-0.18463398301196646
1.729,-0.20714099145009363
1.73,-0.16273037225654904
1.731,-0.16195045266136454
1.732,-0.16259957522799057
1.733,-0.14613098638270214
1.734,-0.12856433563438457
1.735,-0.13816281074808323
1.736,-0.10976420271611158
1.737,-0.09565885349555928
1.738,-0.14260325464057644
1.739,-0.14749211643505244
1.74,-0.11161148390086892
1.741,-0.11031318823808693
1.742,-0.1020428751975353
1.743,-0.08867795234632365
1.744,-0.08232059474852525
1.745,-0.09866030297939105
1.746,-0.07700402436167161
1.747,-0.11419126783286804
1.748,-0.06014863579025192
1.749,-0.08274318329384031
1.75,-0.08738602495279622
1.751,-0.08873511732043579
1.752,-0.083502112402924
1.753,-0.05302848206198715
1.754,-0.0925320776273947
1.755,-0.0756674339269916
1.756,-0.07392965932836891
1.757,-0.09029784588923938
1.758,-0.04497823934723703
1.759,-0.04265302959410632
1.76,-0.05242407251085285
1.761,-0.028262165699317256
1.762,-0.0511754201695978
1.763,-0.02728373146852219
1.764,-0.008293594566703385
1.765,-0.001485566240657804
1.766,-0.05593513174769547
1.767,-0.021962117782363608
1.768,-0.003824441710566983
1.769,-0.01930933384064521
1.77,-0.011518693593217685
1.771,-0.008866282897470285
1.772,-0.0107662993859045
1.773,-0.04590771184521991
1.774,-0.013289539218550927
1.775,-0.06565861075163737
1.776,-0.042511006993257494
1.777,-0.06070145652687159
1.778,-0.07343210386040039
1.779,-0.030654292390396312
1.78,-0.04086648648181466
1.781,-0.06779123285634116
1.782,-0.04612935250237836
1.783,-0.007142714220130988
1.784,-0.041039933702167006
1.785,-0.02886288937705202
1.786,-0.0463609309367312
1.787,-0.07198131910161305
1.788,-0.040733902709468035
1.789,-0.05738474376160128
1.79,-0.04793754658421769
1.791,-0.06351888491679387
1.792,-0.06707015213979468
1.793,-0.020570474839809727
1.794,-0.04250509682022492
1.795,-0.06558817764850675
1.796,-0.03317853163675394
1.797,-0.07958632108820356
1.798,-0.07323853715242189
1.799,-0.07457464757381257
1.8,-0.09119584706803793
1.801,-0.06034014862127123
1.802,-0.06343558489218605
1.803,-0.07452812816430458
1.804,-0.12876908903820689
1.805,-0.12084530971230113
1.806,-0.11405475594140325
1.807,-0.11476465132282357
1.808,-0.13736721996130208
1.809,-0.1558609455577865
1.81,-0.1443225859502071
1.811,-0.16347176922361562
1.812,-0.14365179690786353
1.813,-0.1378328620610654
1.814,-0.15544939922972129
1.815,-0.1658872874969171
1.816,-0.15943188176895054
1.817,-0.15017737199305614
1.818,-0.2082514245486129
1.819,-0.21062363831374792
1.82,-0.17138305597881692
1.821,-0.16346881565255575
1.822,-0.19899903720535123
1.823,-0.11571814589379409
1.824,-0.20755760636052373
1.825,-0.17910446092109478
1.826,-0.17899557867473134
1.827,-0.20057746090740722
1.828,-0.19613964214917518
1.829,-0.2278884787436031
1.83,-0.22467618799545286
1.831,-0.20922473607331596
1.832,-0.21965509462935393
1.833,-0.2084565990127752
1.834,-0.21000808853915573
1.835,-0.21098874187815986
1.836,-0.21244831564445865
1.837,-0.18902267725317165
1.838,-0.24749174205561802
1.839,-0.23015590967073438
1.84,-0.2457330507104497
1.841,-0.25304740699143546
1.842,-0.24502866912590565
1.843,-0.2584131319601291
1.844,-0.24346805724343487
1.845,-0.23040362888721935
1.846,-0.2825810714375834
1.847,-0.2742711275216001
1.848,-0.30555565636835025
1.849,-0.29582422326724617
1.85,-0.27077730050942317
1.851,-0.2985406018508063
1.852,-0.29887768592935404
1.853,-0.31082817687737263
1.854,-0.3008885451952747
1.855,-0.335937401501057
1.856,-0.3146995751808734
1.857,-0.3327134289795515
1.858,-0.340391285440093
1.859,-0.35900366320926747
1.86,-0.33492627972373185
1.861,-0.37637520887234854
1.862,-0.3884139720852406
1.863,-0.40012877136037467
1.864,-0.3970285667392477
1.865,-0.4376849871622578
1.866,-0.40022419017534033
1.867,-0.46195026122330995
1.868,-0.43619680688294166
1.869,-0.46517121409919304
1.87,-0.4572687711388102
1.871,-0.42529947674846635
1.872,-0.47627523124289084
1.873,-0.41869842369533405
1.874,-0.43677381266220494
1.875,-0.47405223245553885
1.876,-0.4424539243972825
1.877,-0.5031849945427068
1.878,-0.49323987638879396
1.879,-0.4979679590846068
1.88,-0.4617459929835164
1.881,-0.5175520334859459
1.882,-0.5085592608832789
1.883,-0.5147171734039414
1.884,-0.5560107032285334
1.885,-0.5066967926254308
1.886,-0.5389113325173057
1.887,-0.5119150948250858
1.888,-0.5471133675439411
1.889,-0.5683590411446587
1.89,-0.5726704020292288
1.891,-0.6019863843712685
1.892,-0.5872407123426036
1.893,-0.6136800365836858
