"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []"
1,0.999736000171242,-0.035329021381368
1.001,0.999718289392217,-0.0354160457042814
1.002,0.999700621873146,-0.0355030035241103
1.003,0.999682997409304,-0.0355898949252448
1.004,0.999665415796761,-0.0356767199921463
1.005,0.999647876832369,-0.035763478809361
1.006,0.99963038031377,-0.0358501714614958
1.007,0.999612926039386,-0.0359367980332325
1.008,0.999595513808417,-0.0360233586093109
1.009,0.99957814342084,-0.0361098532745507
1.01,0.999560814677402,-0.0361962821138376
1.011,0.999543527379622,-0.0362826452121152
1.012,0.999526281329781,-0.0363689426543838
1.013,0.999509076330929,-0.0364551745257215
1.014,0.999491912186869,-0.0365413409112647
1.015,0.999474788702165,-0.0366274418962
1.016,0.999457705682135,-0.0367134775657911
1.017,0.999440662932845,-0.0367994480053373
1.018,0.999423660261111,-0.0368853533002098
1.019,0.999406697474493,-0.0369711935358363
1.02,0.999389774381293,-0.0370569687976879
1.021,0.999372890790549,-0.037142679171299
1.022,0.999356046512039,-0.0372283247422608
1.023,0.999339241356271,-0.037313905596201
1.024,0.999322475134484,-0.037399421818811
1.025,0.999305747658644,-0.0374848734958229
1.026,0.999289058741437,-0.0375702607130236
1.027,0.999272408196278,-0.037655583556249
1.028,0.999255795837294,-0.0377408421113702
1.029,0.999239221479328,-0.0378260364643191
1.03,0.999222684937939,-0.0379111667010599
1.031,0.999206186029391,-0.0379962329076004
1.032,0.999189724570659,-0.0380812351700084
1.033,0.999173300379418,-0.0381661735743629
1.034,0.999156913274048,-0.0382510482068166
1.035,0.999140563073626,-0.0383358591535378
1.036,0.999124249597923,-0.0384206065007423
1.037,0.999107972667405,-0.0385052903346873
1.038,0.999091732103228,-0.0385899107416559
1.039,0.999075527727234,-0.0386744678079798
1.04,0.999059359361952,-0.0387589616200195
1.041,0.99904322683059,-0.0388433922641676
1.042,0.999027129957037,-0.0389277598268543
1.043,0.999011068565859,-0.0390120643945416
1.044,0.998995042482295,-0.0390963060537221
1.045,0.998979051532256,-0.0391804848909185
1.046,0.998963095542319,-0.0392646009926871
1.047,0.998947174339733,-0.0393486544456003
1.048,0.998931287752404,-0.039432645336281
1.049,0.998915435608902,-0.0395165737513604
1.05,0.998899617738454,-0.0396004397775058
1.051,0.998883833970944,-0.039684243501402
1.052,0.998868084136907,-0.0397679850097737
1.053,0.99885236806753,-0.0398516643893517
1.054,0.998836685594649,-0.0399352817268993
1.055,0.998821036550741,-0.040018837109207
1.056,0.998805420768931,-0.0401023306230768
1.057,0.998789838082981,-0.0401857623553378
1.058,0.998774288327291,-0.0402691323928345
1.059,0.998758771336899,-0.0403524408224407
1.06,0.998743286947473,-0.0404356877310378
1.061,0.998727834995313,-0.0405188732055344
1.062,0.998712415317345,-0.0406019973328468
1.063,0.998697027751123,-0.0406850601999143
1.064,0.998681672134824,-0.040768061893692
1.065,0.998666348307243,-0.0408510025011493
1.066,0.998651056107796,-0.0409338821092637
1.067,0.998635795376514,-0.0410167008050377
1.068,0.99862056595404,-0.0410994586754796
1.069,0.998605367681631,-0.0411821558076111
1.07,0.99859020040115,-0.0412647922884661
1.071,0.998575063955068,-0.0413473682050833
1.072,0.99855995818646,-0.0414298836445208
1.073,0.998544882939003,-0.041512338693847
1.074,0.99852983805697,-0.0415947334401303
1.075,0.998514823385237,-0.0416770679704535
1.076,0.99849983876927,-0.0417593423719017
1.077,0.99848488405513,-0.0418415567315764
1.078,0.998469959089467,-0.041923711136569
1.079,0.99845506371952,-0.0420058056739958
1.08,0.998440197793113,-0.0420878404309699
1.081,0.998425361158653,-0.0421698154946052
1.082,0.99841055366513,-0.042251730952021
1.083,0.998395775162112,-0.0423335868903473
1.084,0.998381025499743,-0.0424153833967015
1.085,0.998366304528743,-0.0424971205582206
1.086,0.998351612100403,-0.0425787984620279
1.087,0.998336948066586,-0.0426604171952606
1.088,0.998322312279723,-0.0427419768450391
1.089,0.998307704592809,-0.0428234774985073
1.09,0.998293124859405,-0.0429049192427836
1.091,0.998278572933631,-0.0429863021649975
1.092,0.998264048670169,-0.0430676263522791
1.093,0.998249551924258,-0.0431488918917547
1.094,0.99823508255169,-0.0432300988705359
1.095,0.998220640408813,-0.0433112473757429
1.096,0.998206225352526,-0.043392337494486
1.097,0.998191837240274,-0.0434733693138752
1.098,0.998177475930052,-0.0435543429210114
1.099,0.998163141280399,-0.0436352584029904
1.1,0.998148833150396,-0.0437161158468979
1.101,0.998134551399664,-0.0437969153398274
1.102,0.998120295888367,-0.0438776569688437
1.103,0.998106066477201,-0.0439583408210148
1.104,0.998091863027399,-0.0440389669834044
1.105,0.998077685400725,-0.0441195355430591
1.106,0.998063533459476,-0.0442000465870211
1.107,0.998049407066476,-0.0442805002023186
1.108,0.998035306085078,-0.0443608964759741
1.109,0.998021230379155,-0.0444412354949948
1.11,0.998007179813108,-0.0445215173463773
1.111,0.997993154251857,-0.0446017421171143
1.112,0.997979153560838,-0.0446819098941708
1.113,0.997965177606009,-0.0447620207645115
1.114,0.99795122625384,-0.0448420748150827
1.115,0.997937299371314,-0.0449220721328161
1.116,0.997923396825927,-0.0450020128046368
1.117,0.997909518485682,-0.0450818969174446
1.118,0.997895664219092,-0.0451617245581366
1.119,0.997881833895173,-0.0452414958135773
1.12,0.997868027383448,-0.0453212107706286
1.121,0.997854244553936,-0.0454008695161304
1.122,0.997840485277164,-0.0454804721369161
1.123,0.997826749424151,-0.0455600187197823
1.124,0.997813036866413,-0.0456395093515293
1.125,0.997799347475963,-0.0457189441189198
1.126,0.997785681125303,-0.0457983231087174
1.127,0.997772037687432,-0.0458776464076483
1.128,0.99775841703583,-0.0459569141024278
1.129,0.997744819044471,-0.0460361262797568
1.13,0.997731243587811,-0.0461152830263068
1.131,0.997717690540788,-0.0461943844287346
1.132,0.997704159778827,-0.046273430573672
1.133,0.99769065117783,-0.0463524215477314
1.134,0.997677164614176,-0.0464313574375063
1.135,0.997663699964723,-0.046510238329566
1.136,0.997650257106804,-0.0465890643104497
1.137,0.997636835918222,-0.0466678354666916
1.138,0.997623436277255,-0.0467465518847797
1.139,0.997610058062649,-0.0468252136512004
1.14,0.997596701153619,-0.0469038208523986
1.141,0.997583365429845,-0.0469823735748101
1.142,0.997570050771471,-0.0470608719048325
1.143,0.997556757059107,-0.0471393159288483
1.144,0.99754348417382,-0.0472177057332073
1.145,0.997530231997141,-0.0472960414042373
1.146,0.997517000411054,-0.0473743230282401
1.147,0.997503789298004,-0.0474525506914909
1.148,0.997490598540888,-0.0475307244802369
1.149,0.997477428023055,-0.0476088444806994
1.15,0.997464277628308,-0.0476869107790727
1.151,0.997451147240899,-0.0477649234615177
1.152,0.997438036745524,-0.0478428826141775
1.153,0.997424946027333,-0.0479207883231566
1.154,0.997411874971914,-0.047998640674536
1.155,0.9973988234653,-0.0480764397543708
1.156,0.997385791393969,-0.048154185648676
1.157,0.997372778644836,-0.0482318784434437
1.158,0.997359785105253,-0.048309518224645
1.159,0.997346810663013,-0.0483871050781978
1.16,0.997333855206341,-0.048464639090012
1.161,0.997320918623898,-0.0485421203459513
1.162,0.997308000804775,-0.0486195489318586
1.163,0.997295101638497,-0.0486969249335358
1.164,0.997282221015014,-0.0487742484367645
1.165,0.997269358824707,-0.0488515195272807
1.166,0.997256514958382,-0.048928738290793
1.167,0.997243689307268,-0.0490059048129883
1.168,0.99723088176302,-0.0490830191794984
1.169,0.997218092217713,-0.0491600814759459
1.17,0.997205320563841,-0.0492370917878971
1.171,0.99719256669432,-0.0493140502009023
1.172,0.997179830502479,-0.0493909568004692
1.173,0.997167111882066,-0.0494678116720745
1.174,0.99715441072724,-0.0495446149011491
1.175,0.997141726932576,-0.0496213665731029
1.176,0.997129060393058,-0.0496980667733092
1.177,0.997116411004081,-0.0497747155870983
1.178,0.997103778661448,-0.0498513130997672
1.179,0.997091163261368,-0.0499278593965798
1.18,0.997078564700457,-0.0500043545627603
1.181,0.997065982875733,-0.0500807986834968
1.182,0.99705341768462,-0.0501571918439452
1.183,0.99704086902494,-0.0502335341292147
1.184,0.997028336794916,-0.0503098256243854
1.185,0.997015820893171,-0.0503860664144995
1.186,0.997003321218721,-0.0504622565845573
1.187,0.996990837670983,-0.0505383962195176
1.188,0.996978370149762,-0.0506144854043132
1.189,0.996965918555263,-0.0506905242238281
1.19,0.996953482788076,-0.0507665127629127
1.191,0.996941062749184,-0.0508424511063715
1.192,0.996928658339961,-0.0509183393389785
1.193,0.996916269462165,-0.05099417754546
1.194,0.996903896017941,-0.0510699658105089
1.195,0.996891537909818,-0.0511457042187747
1.196,0.996879195040712,-0.0512213928548651
1.197,0.996866867313916,-0.0512970318033549
1.198,0.996854554633108,-0.0513726211487689
1.199,0.996842256902343,-0.0514481609755955
1.2,0.996829974026056,-0.051523651368282
1.201,0.996817705909056,-0.0515990924112326
1.202,0.99680545245653,-0.0516744841888138
1.203,0.996793213574038,-0.0517498267853445
1.204,0.996780989167514,-0.051825120285106
1.205,0.996768779143263,-0.0519003647723418
1.206,0.996756583407959,-0.0519755603312366
1.207,0.996744401868649,-0.0520507070459503
1.208,0.996732234432743,-0.052125805000593
1.209,0.996720081008021,-0.0522008542792251
1.21,0.996707941502627,-0.0522758549658783
1.211,0.996695815825069,-0.0523508071445253
1.212,0.996683703884219,-0.0524257108991101
1.213,0.996671605589308,-0.0525005663135194
1.214,0.99665952084993,-0.0525753734716086
1.215,0.996647449576038,-0.052650132457175
1.216,0.996635391677939,-0.0527248433539793
1.217,0.996623347066303,-0.0527995062457408
1.218,0.996611315652149,-0.0528741212161253
1.219,0.996599297346855,-0.052948688348763
1.22,0.99658729206215,-0.0530232077272309
1.221,0.996575299710116,-0.0530976794350648
1.222,0.996563320203182,-0.0531721035557544
1.223,0.996551353454132,-0.053246480172743
1.224,0.996539399376092,-0.053320809369429
1.225,0.996527457882543,-0.0533950912291607
1.226,0.996515528887304,-0.0534693258352497
1.227,0.996503612304542,-0.053543513270944
1.228,0.99649170804877,-0.0536176536194676
1.229,0.996479816034839,-0.0536917469639787
1.23,0.996467936177943,-0.0537657933876004
1.231,0.996456068393618,-0.0538397929733999
1.232,0.996444212597736,-0.0539137458044014
1.233,0.996432368706508,-0.0539876519635806
1.234,0.996420536636482,-0.0540615115338663
1.235,0.996408716304542,-0.0541353245981444
1.236,0.996396907627905,-0.0542090912392382
1.237,0.996385110524121,-0.0542828115399395
1.238,0.996373324911074,-0.0543564855829863
1.239,0.996361550706978,-0.0544301134510584
1.24,0.996349787830377,-0.0545036952268041
1.241,0.996338036200144,-0.0545772309928038
1.242,0.99632629573548,-0.0546507208316053
1.243,0.996314566355911,-0.0547241648257021
1.244,0.996302847981291,-0.0547975630575315
1.245,0.996291140531796,-0.0548709156094904
1.246,0.996279443927928,-0.0549442225639212
1.247,0.996267758090508,-0.0550174840031216
1.248,0.996256082940682,-0.0550907000093327
1.249,0.996244418399914,-0.0551638706647475
1.25,0.996232764389986,-0.0552369960515125
1.251,0.996221120833001,-0.0553100762517214
1.252,0.996209487651376,-0.0553831113474157
1.253,0.996197864767846,-0.0554561014205889
1.254,0.99618625210546,-0.0555290465531822
1.255,0.996174649587581,-0.05560194682709
1.256,0.996163057137884,-0.0556748023241465
1.257,0.996151474680358,-0.0557476131261432
1.258,0.9961399021393,-0.0558203793148185
1.259,0.996128339439318,-0.0558931009718555
1.26,0.996116786505328,-0.0559657781788913
1.261,0.996105243262557,-0.0560384110175059
1.262,0.996093709636533,-0.056110999569229
1.263,0.996082185553093,-0.0561835439155471
1.264,0.996070670938379,-0.0562560441378728
1.265,0.996059165718835,-0.0563285003175912
1.266,0.996047669821209,-0.0564009125360219
1.267,0.996036183172549,-0.0564732808744304
1.268,0.996024705700206,-0.0565456054140348
1.269,0.996013237331828,-0.0566178862360003
1.27,0.996001777995363,-0.056690123421436
1.271,0.995990327619057,-0.0567623170513999
1.272,0.995978886131454,-0.0568344672068973
1.273,0.995967453461389,-0.056906573968876
1.274,0.995956029537997,-0.0569786374182374
1.275,0.995944614290703,-0.0570506576358238
1.276,0.995933207649229,-0.0571226347024255
1.277,0.995921809543585,-0.0571945686987821
1.278,0.995910419904073,-0.0572664597055713
1.279,0.995899038661286,-0.057338307803423
1.28,0.995887665746104,-0.0574101130729146
1.281,0.9958763010897,-0.0574818755945632
1.282,0.995864944623527,-0.0575535954488402
1.283,0.995853596279329,-0.0576252727161439
1.284,0.995842255989135,-0.0576969074768477
1.285,0.995830923685259,-0.0577684998112403
1.286,0.995819599300294,-0.0578400497995721
1.287,0.995808282767121,-0.0579115575220368
1.288,0.995796974018899,-0.0579830230587721
1.289,0.99578567298907,-0.0580544464898567
1.29,0.995774379611354,-0.0581258278953214
1.291,0.995763093819751,-0.0581971673551343
1.292,0.99575181554854,-0.058268464949206
1.293,0.995740544732274,-0.0583397207574038
1.294,0.995729281305785,-0.0584109348595282
1.295,0.99571802520418,-0.0584821073353277
1.296,0.995706776362838,-0.0585532382644959
1.297,0.995695534717416,-0.0586243277266664
1.298,0.995684300203838,-0.058695375801418
1.299,0.995673072758305,-0.0587663825682789
1.3,0.995661852317287,-0.0588373481067139
1.301,0.995650638817522,-0.0589082724961339
1.302,0.99563943219602,-0.0589791558158927
1.303,0.99562823239006,-0.0590499981452866
1.304,0.995617039337184,-0.0591207995635582
1.305,0.995605852975205,-0.0591915601498904
1.306,0.9955946732422,-0.0592622799834124
1.307,0.995583500076509,-0.0593329591431873
1.308,0.995572333416742,-0.0594035977082328
1.309,0.995561173201766,-0.0594741957575038
1.31,0.995550019370712,-0.0595447533698972
1.311,0.995538871862974,-0.0596152706242538
1.312,0.995527730618206,-0.059685747599354
1.313,0.995516595576322,-0.0597561843739263
1.314,0.995505466677494,-0.0598265810266373
1.315,0.995494343862153,-0.0598969376360944
1.316,0.995483227070989,-0.0599672542808473
1.317,0.995472116244944,-0.060037531039393
1.318,0.995461011325222,-0.0601077679901668
1.319,0.995449912253276,-0.0601779652115448
1.32,0.995438818970816,-0.060248122781846
1.321,0.995427731419806,-0.0603182407793286
1.322,0.995416649542462,-0.0603883192821946
1.323,0.99540557328125,-0.0604583583685885
1.324,0.995394502578888,-0.0605283581165948
1.325,0.995383437378346,-0.0605983186042421
1.326,0.99537237762284,-0.0606682399094908
1.327,0.995361323255837,-0.0607381221102511
1.328,0.995350274221051,-0.0608079652843731
1.329,0.995339230462443,-0.0608777695096443
1.33,0.995328191924219,-0.0609475348637996
1.331,0.995317158550832,-0.0610172614245036
1.332,0.99530613028698,-0.0610869492693772
1.333,0.995295107077603,-0.0611565984759628
1.334,0.995284088867886,-0.0612262091217569
1.335,0.995273075603254,-0.0612957812841991
1.336,0.995262067229375,-0.0613653150406517
1.337,0.995251063692161,-0.0614348104684341
1.338,0.995240064937757,-0.0615042676447998
1.339,0.995229070912553,-0.0615736866469424
1.34,0.995218081563174,-0.0616430675519984
1.341,0.995207096836487,-0.0617124104370371
1.342,0.995196116679592,-0.0617817153790709
1.343,0.995185141039826,-0.0618509824550583
1.344,0.995174169864764,-0.0619202117418886
1.345,0.995163203102214,-0.0619894033163962
1.346,0.995152240700217,-0.0620585572553484
1.347,0.995141282607049,-0.0621276736354613
1.348,0.995130328771219,-0.0621967525333851
1.349,0.995119379141466,-0.062265794025709
1.35,0.995108433666762,-0.0623347981889579
1.351,0.99509749229631,-0.0624037650996037
1.352,0.995086554979538,-0.0624726948340557
1.353,0.995075621666109,-0.0625415874686556
1.354,0.995064692305911,-0.06261044307969
1.355,0.99505376684906,-0.0626792617433858
1.356,0.9950428452459,-0.062748043535898
1.357,0.995031927447,-0.0628167885333364
1.358,0.995021013403154,-0.0628854968117334
1.359,0.995010103065381,-0.0629541684470729
1.36,0.994999196384926,-0.0630228035152698
1.361,0.994988293313256,-0.063091402092177
1.362,0.994977393802059,-0.0631599642535865
1.363,0.994966497803247,-0.0632284900752372
1.364,0.994955605268954,-0.063296979632795
1.365,0.994944716151531,-0.0633654330018661
1.366,0.994933830403553,-0.0634338502579961
1.367,0.994922947977811,-0.0635022314766693
1.368,0.994912068827318,-0.0635705767333092
1.369,0.994901192905301,-0.0636388861032749
1.37,0.994890320165207,-0.0637071596618622
1.371,0.994879450560698,-0.0637753974843076
1.372,0.994868584045653,-0.0638435996457808
1.373,0.994857720574164,-0.0639117662213944
1.374,0.994846860100539,-0.0639798972861969
1.375,0.994836002579302,-0.0640479929151703
1.376,0.994825147965185,-0.0641160531832368
1.377,0.994814296213138,-0.0641840781652581
1.378,0.994803447278319,-0.0642520679360286
1.379,0.994792601116098,-0.0643200225702852
1.38,0.994781757682058,-0.0643879421426975
1.381,0.994770916931987,-0.0644558267278717
1.382,0.994760078821888,-0.0645236764003543
1.383,0.994749243307967,-0.0645914912346279
1.384,0.994738410346643,-0.0646592713051081
1.385,0.99472757989454,-0.064727016686154
1.386,0.994716751908486,-0.0647947274520563
1.387,0.99470592634552,-0.0648624036770412
1.388,0.994695103162884,-0.0649300454352759
1.389,0.994684282318025,-0.0649976528008613
1.39,0.994673463768592,-0.0650652258478402
1.391,0.994662647472441,-0.0651327646501814
1.392,0.994651833387629,-0.0652002692818004
1.393,0.994641021472417,-0.0652677398165379
1.394,0.994630211685263,-0.0653351763281824
1.395,0.994619403984832,-0.0654025788904538
1.396,0.994608598329985,-0.0654699475770054
1.397,0.994597794679785,-0.0655372824614296
1.398,0.994586992993494,-0.065604583617255
1.399,0.99457619323057,-0.0656718511179447
1.4,0.994565395350673,-0.0657390850368974
1.401,0.994554599313658,-0.0658062854474464
1.402,0.994543805079577,-0.065873452422866
1.403,0.994533012608677,-0.0659405860363622
1.404,0.994522221861402,-0.0660076863610768
1.405,0.994511432798391,-0.0660747534700875
1.406,0.994500645380477,-0.0661417874364031
1.407,0.994489859568686,-0.0662087883329811
1.408,0.994479075324237,-0.0662757562326978
