"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []"
1,0.997792501335748,-0.0244961685762566
1.001,0.997788702019047,-0.0245236804647453
1.002,0.997784899532218,-0.0245512034234642
1.003,0.997781093870006,-0.0245787374872188
1.004,0.997777285027967,-0.024606282647563
1.005,0.997773473000897,-0.0246338389309939
1.006,0.997769657783927,-0.0246614063483431
1.007,0.997765839372183,-0.0246889849094251
1.008,0.997762017760431,-0.0247165746326689
1.009,0.99775819294398,-0.0247441755230535
1.01,0.997754364917552,-0.0247717876021801
1.011,0.997750533676108,-0.0247994108798973
1.012,0.997746699214581,-0.0248270453694182
1.013,0.997742861527791,-0.0248546910845466
1.014,0.99773902061058,-0.0248823480389199
1.015,0.997735176457822,-0.0249100162412636
1.016,0.997731329064349,-0.0249376957057642
1.017,0.997727478424808,-0.0249653864505096
1.018,0.997723624533829,-0.0249930884900993
1.019,0.997719767386386,-0.0250208018247919
1.02,0.997715906977041,-0.0250485264769159
1.021,0.997712043300427,-0.0250762624569484
1.022,0.997708176351156,-0.0251040097795162
1.023,0.997704306123833,-0.0251317684575713
1.024,0.997700432613085,-0.0251595385017907
1.025,0.997696555813455,-0.0251873199245046
1.026,0.997692675719294,-0.0252151127434375
1.027,0.997688792325331,-0.0252429169612409
1.028,0.997684905625981,-0.0252707325957783
1.029,0.997681015615501,-0.0252985596670764
1.03,0.997677122288474,-0.025326398177945
1.031,0.997673225639159,-0.0253542481483331
1.032,0.997669325662058,-0.025382109582744
1.033,0.997665422351386,-0.02540998250027
1.034,0.997661515701477,-0.0254378669110354
1.035,0.997657605706678,-0.0254657628234538
1.036,0.99765369236108,-0.0254936702563287
1.037,0.997649775659023,-0.0255215892216769
1.038,0.997645855594675,-0.0255495197302237
1.039,0.997641932162194,-0.0255774617941837
1.04,0.997638005355735,-0.0256054154233626
1.041,0.997634075169498,-0.0256333806291256
1.042,0.997630141597335,-0.0256613574322542
1.043,0.997626204633529,-0.0256893458373522
1.044,0.997622264271893,-0.0257173458662357
1.045,0.997618320506771,-0.0257453575127548
1.046,0.997614373331797,-0.0257733808063072
1.047,0.997610422741116,-0.0258014157539743
1.048,0.997606468728616,-0.0258294623634001
1.049,0.997602511288206,-0.0258575206502755
1.05,0.997598550413659,-0.0258855906324999
1.051,0.997594586099009,-0.0259136723089898
1.052,0.997590618337867,-0.0259417657014418
1.053,0.997586647124213,-0.0259698708171128
1.054,0.99758267245164,-0.0259979876742295
1.055,0.997578694314045,-0.0260261162777592
1.056,0.997574712705046,-0.0260542566421613
1.057,0.997570727618412,-0.0260824087756203
1.058,0.99756673904767,-0.0261105726985467
1.059,0.997562746986572,-0.0261387484141998
1.06,0.997558751428559,-0.0261669359442742
1.061,0.99755475236746,-0.0261951352876518
1.062,0.99755074979666,-0.026223346464146
1.063,0.997546743709693,-0.0262515694846187
1.064,0.997542734100174,-0.0262798043569275
1.065,0.997538720961357,-0.0263080511009658
1.066,0.997534704286846,-0.026336309719953
1.067,0.99753068407013,-0.0263645802256939
1.068,0.997526660304402,-0.0263928626375051
1.069,0.99752263298318,-0.0264211569579529
1.07,0.997518602099692,-0.0264494632070869
1.071,0.997514567647408,-0.0264777813860167
1.072,0.997510529619508,-0.0265061115122561
1.073,0.997506488009287,-0.0265344535947315
1.074,0.997502442809899,-0.0265628076501903
1.075,0.99749839401474,-0.0265911736816098
1.076,0.997494341616703,-0.0266195517120099
1.077,0.997490285609191,-0.0266479417419957
1.078,0.99748622598519,-0.0266763437867023
1.079,0.99748216273795,-0.0267047578538285
1.08,0.99747809586052,-0.0267331839549677
1.081,0.997474025345727,-0.0267616221117552
1.082,0.997469951186828,-0.026790072323222
1.083,0.997465873376816,-0.0268185346031641
1.084,0.997461791908529,-0.0268470089637412
1.085,0.99745770677503,-0.0268754954161055
