"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []"
1,0.997836008950885,-0.0237461714976371
1.001,0.997832350951344,-0.0237723476644813
1.002,0.997828690041872,-0.0237985333990646
1.003,0.99782502621788,-0.0238247287011076
1.004,0.997821359474528,-0.0238509335944109
1.005,0.997817689807215,-0.023877148074459
1.006,0.997814017210951,-0.0239033721787267
1.007,0.997810341681123,-0.023929605901064
1.008,0.997806663212732,-0.0239558492576256
1.009,0.997802981801061,-0.023982102263824
1.01,0.997799297441037,-0.0240083649383125
1.011,0.997795610127872,-0.0240346372834965
1.012,0.997791919856516,-0.0240609193151139
1.013,0.99778822662213,-0.0240872110435029
1.014,0.997784530419597,-0.0241135124903302
1.015,0.997780831243891,-0.0241398236623628
1.016,0.997777129089998,-0.0241661445667816
1.017,0.997773423952822,-0.0241924752224482
1.018,0.997769715827284,-0.0242188156377722
1.019,0.997766004708034,-0.0242451658364505
1.02,0.997762290590222,-0.0242715258155292
1.021,0.997758573468451,-0.0242978955937934
1.022,0.997754853337487,-0.0243242751900498
1.023,0.997751130192195,-0.0243506646056426
1.024,0.997747404027219,-0.0243770638584192
1.025,0.997743674837257,-0.0244034729586635
1.026,0.997739942617048,-0.0244298919228583
1.027,0.997736207361179,-0.0244563207598383
1.028,0.997732469064192,-0.0244827594837276
1.029,0.997728727720801,-0.0245092081059974
1.03,0.997724983325571,-0.0245356666337436
1.031,0.997721235872889,-0.0245621350871778
1.032,0.997717485357298,-0.0245886134766625
1.033,0.997713731773438,-0.0246151018052064
1.034,0.997709975115608,-0.0246416001002444
1.035,0.997706215378253,-0.0246681083641031
1.036,0.997702452555775,-0.0246946266111736
1.037,0.997698686642625,-0.0247211548469155
1.038,0.997694917633093,-0.0247476930942673
1.039,0.99769114552135,-0.0247742413623994
1.04,0.997687370301911,-0.0248007996565749
1.041,0.997683591969008,-0.0248273679905797
1.042,0.997679810516764,-0.024853946381821
1.043,0.997676025939406,-0.0248805348383027
1.044,0.997672238231055,-0.0249071333766364
1.045,0.997668447386037,-0.0249337420006516
1.046,0.997664653398428,-0.0249603607271985
1.047,0.997660856262256,-0.0249869895683771
1.048,0.997657055971674,-0.0250136285299847
1.049,0.997653252520613,-0.0250402776297824
1.05,0.997649445903203,-0.0250669368809782
1.051,0.997645636113449,-0.0250936062857599
1.052,0.997641823145223,-0.0251202858658854
1.053,0.997638006992535,-0.0251469756261875
1.054,0.99763418764926,-0.0251736755818439
1.055,0.997630365109188,-0.0252003857495742
1.056,0.997626539366421,-0.0252271061278084
1.057,0.997622710414541,-0.0252538367392111
1.058,0.997618878247497,-0.0252805775893575
1.059,0.997615042859134,-0.025307328684889
1.06,0.997611204242919,-0.0253340900522908
1.061,0.997607362392811,-0.0253608616908317
1.062,0.997603517302485,-0.0253876436182416
1.063,0.997599668965659,-0.025414435836922
1.064,0.997595817375772,-0.0254412383659914
1.065,0.997591962526542,-0.0254680512203517
1.066,0.997588104411652,-0.0254948743996261
1.067,0.997584243024591,-0.0255217079203008
1.068,0.997580378358968,-0.0255485517923987
1.069,0.997576510408126,-0.0255754060300556
1.07,0.997572639165575,-0.0256022706505196
1.071,0.997568764625023,-0.0256291456499164
1.072,0.99756488677956,-0.0256560310510978
1.073,0.997561005622879,-0.0256829268568521
1.074,0.997557121148078,-0.0257098330870352
1.075,0.997553233348773,-0.0257367497446659
1.076,0.997549342218178,-0.0257636768437494
1.077,0.997545447749552,-0.0257906143960335
1.078,0.997541549936219,-0.0258175624085018
1.079,0.99753764877136,-0.0258445208966637
1.08,0.997533744248262,-0.0258714898698061
1.081,0.997529836360055,-0.0258984693396823
1.082,0.997525925099987,-0.0259254593129259
1.083,0.997522010461071,-0.0259524598096246
1.084,0.997518092436597,-0.0259794708272912
1.085,0.997514171019529,-0.026006492384118
1.086,0.997510246202915,-0.0260335244931882
1.087,0.99750631797982,-0.0260605671629319
1.088,0.997502386343242,-0.0260876203975616
1.089,0.997498451286194,-0.0261146842183694
1.09,0.997494512801508,-0.0261417586309514
1.091,0.997490570882301,-0.0261688436439017
1.092,0.997486625521351,-0.0261959392689891
1.093,0.997482676711563,-0.0262230455164425
1.094,0.997478724445799,-0.0262501623944373
1.095,0.997474768716848,-0.0262772899204339
1.096,0.997470809517516,-0.0263044281005214
1.097,0.99746684684062,-0.0263315769408127
1.098,0.997462880678829,-0.026358736459807
1.099,0.9974589110249,-0.0263859066620927
1.1,0.997454937871494,-0.0264130875623153
1.101,0.997450961211368,-0.0264402791596502
1.102,0.997446981037017,-0.0264674814806966
1.103,0.997442997341176,-0.0264946945230731
1.104,0.997439010116369,-0.0265219183025292
1.105,0.997435019355219,-0.0265491528263656
1.106,0.997431025050148,-0.0265763981067391
1.107,0.997427027193738,-0.0266036541542039
1.108,0.997423025778506,-0.0266309209755408
1.109,0.99741902079683,-0.0266581985811845
1.11,0.997415012241202,-0.0266854869882477
1.111,0.997411000104011,-0.0267127861955372
1.112,0.997406984377576,-0.0267400962208832
1.113,0.997402965054375,-0.0267674170689878
1.114,0.997398942126553,-0.0267947487558302
1.115,0.997394915586626,-0.0268220912842789
1.116,0.997390885426721,-0.0268494446674403
1.117,0.997386851639088,-0.0268768089193085
1.118,0.997382814216032,-0.0269041840410724
1.119,0.997378773149658,-0.0269315700477707
1.12,0.997374728432287,-0.0269589669422993
1.121,0.99737068005589,-0.0269863747470965
