"Freq [GHz]","dB(S(1,1)) []"
1.5,-2.01787184497227
1.501,-2.01756841492621
1.502,-2.01726581612187
1.503,-2.01696410944974
1.504,-2.01666335593231
1.505,-2.01636361671788
1.506,-2.0160649530745
1.507,-2.01576742638384
1.508,-2.01547109813504
1.509,-2.01517602991863
1.51,-2.01488228342035
1.511,-2.01458992041504
1.512,-2.01429900276047
1.513,-2.01400959239121
1.514,-2.01372175131246
1.515,-2.01343554159394
1.516,-2.01315102536365
1.517,-2.01286826480179
1.518,-2.01258732213457
1.519,-2.01230825962801
1.52,-2.01203113958188
1.521,-2.01175602432342
1.522,-2.01148297620125
1.523,-2.0112120575792
1.524,-2.01094333083014
1.525,-2.01067685832984
1.526,-2.0104127024508
1.527,-2.01015092555612
1.528,-2.00989158999335
1.529,-2.00963475808832
1.53,-2.00938049213905
1.531,-2.00912885440961
1.532,-2.00887990712394
1.533,-2.00863371245984
1.534,-2.00839033254274
1.535,-2.00814982943968
1.536,-2.00791226515319
1.537,-2.00767770161516
1.538,-2.00744620068085
1.539,-2.00721782412274
1.54,-2.00699263362451
1.541,-2.006770690775
1.542,-2.00655205706212
1.543,-2.00633679386689
1.544,-2.00612496245739
1.545,-2.00591662398276
1.546,-2.0057118394672
1.547,-2.00551066980402
1.548,-2.00531317574969
1.549,-2.00511941791782
1.55,-2.00492945677333
1.551,-2.00474335262644
1.552,-2.00456116562683
1.553,-2.0043829557577
1.554,-2.00420878283
1.555,-2.00403870647642
1.556,-2.00387278614575
1.557,-2.00371108109689
1.558,-2.00355365039316
1.559,-2.0034005528965
1.56,-2.00325184726167
1.561,-2.00310759193057
1.562,-2.0029678451265
1.563,-2.00283266484845
1.564,-2.00270210886543
1.565,-2.00257623471086
1.566,-2.00245509967688
1.567,-2.00233876080875
1.568,-2.00222727489932
1.569,-2.0021206984834
1.57,-2.00201908783228
1.571,-2.00192249894819
1.572,-2.00183098755882
1.573,-2.00174460911184
1.574,-2.00166341876951
1.575,-2.00158747140322
1.576,-2.00151682158814
1.577,-2.00145152359788
1.578,-2.00139163139911
1.579,-2.00133719864632
1.58,-2.0012882786765
1.581,-2.00124492450395
1.582,-2.00120718881504
1.583,-2.00117512396301
1.584,-2.00114878196284
1.585,-2.00112821448615
1.586,-2.00111347285609
1.587,-2.00110460804226
1.588,-2.00110167065572
1.589,-2.00110471094399
1.59,-2.00111377878607
1.591,-2.00112892368754
1.592,-2.00115019477562
1.593,-2.00117764079439
1.594,-2.00121131009986
1.595,-2.00125125065527
1.596,-2.00129751002629
1.597,-2.00135013537628
1.598,-2.00140917346168
1.599,-2.00147467062727
1.6,-2.00154667280163
1.601,-2.00162522549251
1.602,-2.00171037378234
1.603,-2.0018021623237
1.604,-2.00190063533485
1.605,-2.00200583659536
1.606,-2.00211780944164
1.607,-2.00223659676269
1.608,-2.0023622409957
1.609,-2.00249478412186
1.61,-2.00263426766208
1.611,-2.00278073267284
1.612,-2.00293421974202
1.613,-2.00309476898482
1.614,-2.00326242003965
1.615,-2.00343721206417
1.616,-2.00361918373128
1.617,-2.00380837322518
1.618,-2.00400481823748
1.619,-2.00420855596332
1.62,-2.00441962309766
1.621,-2.00463805583137
1.622,-2.00486388984764
1.623,-2.00509716031823
1.624,-2.00533790189983
1.625,-2.00558614873057
1.626,-2.00584193442632
1.627,-2.00610529207735
1.628,-2.00637625424477
1.629,-2.00665485295715
1.63,-2.0069411197072
1.631,-2.00723508544842
1.632,-2.00753678059182
1.633,-2.00784623500273
1.634,-2.00816347799763
1.635,-2.00848853834096
1.636,-2.00882144424214
1.637,-2.00916222335244
1.638,-2.00951090276208
1.639,-2.00986750899723
1.64,-2.01023206801715
1.641,-2.01060460521135
1.642,-2.01098514539681
1.643,-2.01137371281521
1.644,-2.01177033113026
1.645,-2.01217502342506
1.646,-2.01258781219946
1.647,-2.01300871936759
1.648,-2.01343776625532
1.649,-2.01387497359782
1.65,-2.01432036153714
1.651,-2.01477394961994
1.652,-2.01523575679512
1.653,-2.01570580141161
1.654,-2.01618410121617
1.655,-2.01667067335125
1.656,-2.01716553435293
1.657,-2.01766870014882
1.658,-2.01818018605609
1.659,-2.01870000677958
1.66,-2.01922817640987
1.661,-2.01976470842142
1.662,-2.02030961567087
1.663,-2.02086291039521
1.664,-2.02142460421021
1.665,-2.02199470810867
1.666,-2.02257323245898
1.667,-2.02316018700345
1.668,-2.02375558085696
1.669,-2.0243594225055
1.67,-2.02497171980476
1.671,-2.02559247997891
1.672,-2.02622170961923
1.673,-2.02685941468298
1.674,-2.02750560049223
1.675,-2.0281602717327
1.676,-2.02882343245281
1.677,-2.02949508606256
1.678,-2.0301752353327
1.679,-2.03086388239373
1.68,-2.03156102873515
1.681,-2.03226667520462
1.682,-2.03298082200722
1.683,-2.03370346870481
1.684,-2.03443461421535
1.685,-2.03517425681234
1.686,-2.03592239412431
1.687,-2.03667902313434
1.688,-2.03744414017962
1.689,-2.03821774095112
1.69,-2.03899982049321
1.691,-2.03979037320348
1.692,-2.04058939283249
1.693,-2.04139687248358
1.694,-2.04221280461283
1.695,-2.04303718102894
1.696,-2.0438699928933
1.697,-2.04471123071997
1.698,-2.04556088437584
1.699,-2.04641894308075
1.7,-2.0472853954077
1.701,-2.04816022928317
1.702,-2.04904343198732
1.703,-2.04993499015444
1.704,-2.05083488977335
1.705,-2.05174311618781
1.706,-2.05265965409714
1.707,-2.05358448755668
1.708,-2.0545175999785
1.709,-2.05545897413199
1.71,-2.05640859214465
1.711,-2.05736643550283
1.712,-2.05833248505255
1.713,-2.05930672100038
1.714,-2.0602891229144
1.715,-2.06127966972508
1.716,-2.06227833972644
1.717,-2.06328511057698
1.718,-2.06429995930094
1.719,-2.06532286228935
1.72,-2.06635379530137
1.721,-2.06739273346547
1.722,-2.06843965128082
1.723,-2.0694945226186
1.724,-2.07055732072349
1.725,-2.07162801821509
1.726,-2.07270658708944
1.727,-2.07379299872062
1.728,-2.07488722386233
1.729,-2.07598923264958
1.73,-2.07709899460037
1.731,-2.07821647861748
1.732,-2.07934165299025
1.733,-2.08047448539648
1.734,-2.08161494290424
1.735,-2.08276299197392
1.736,-2.08391859846017
1.737,-2.08508172761393
1.738,-2.08625234408454
1.739,-2.0874304119219
1.74,-2.08861589457855
1.741,-2.08980875491204
1.742,-2.09100895518705
1.743,-2.09221645707784
1.744,-2.09343122167048
1.745,-2.09465320946538
1.746,-2.09588238037964
1.747,-2.09711869374961
1.748,-2.09836210833338
1.749,-2.0996125823134
1.75,-2.10087007329908
1.751,-2.10213453832946
1.752,-2.10340593387597
1.753,-2.10468421584508
1.754,-2.10596933958122
1.755,-2.10726125986953
1.756,-2.10855993093876
1.757,-2.10986530646426
1.758,-2.11117733957085
1.759,-2.11249598283588
1.76,-2.11382118829228
1.761,-2.11515290743163
1.762,-2.11649109120731
1.763,-2.11783569003764
1.764,-2.11918665380914
1.765,-2.12054393187973
1.766,-2.12190747308205
1.767,-2.12327722572679
1.768,-2.12465313760604
1.769,-2.12603515599673
1.77,-2.12742322766403
1.771,-2.1288172988649
1.772,-2.13021731535155
1.773,-2.13162322237502
1.774,-2.13303496468883
1.775,-2.13445248655254
1.776,-2.13587573173548
1.777,-2.13730464352041
1.778,-2.13873916470733
1.779,-2.14017923761722
1.78,-2.14162480409585
1.781,-2.1430758055177
1.782,-2.14453218278976
1.783,-2.14599387635554
1.784,-2.14746082619898
1.785,-2.14893297184845
1.786,-2.15041025238082
1.787,-2.15189260642549
1.788,-2.15337997216848
1.789,-2.15487228735661
1.79,-2.1563694893016
1.791,-2.15787151488435
1.792,-2.15937830055909
1.793,-2.16088978235771
1.794,-2.16240589589401
1.795,-2.16392657636807
1.796,-2.1654517585706
1.797,-2.16698137688729
1.798,-2.16851536530332
1.799,-2.17005365740773
1.8,-2.17159618639796
1.801,-2.17314288508436
1.802,-2.1746936858947
1.803,-2.1762485208788
1.804,-2.17780732171312
1.805,-2.17937001970537
1.806,-2.18093654579921
1.807,-2.18250683057893
1.808,-2.18408080427418
1.809,-2.18565839676471
1.81,-2.18723953758517
1.811,-2.1888241559299
1.812,-2.19041218065779
1.813,-2.19200354029712
1.814,-2.19359816305046
1.815,-2.1951959767996
1.816,-2.19679690911046
1.817,-2.19840088723812
1.818,-2.20000783813176
1.819,-2.20161768843971
1.82,-2.2032303645145
1.821,-2.20484579241795
1.822,-2.20646389792619
1.823,-2.20808460653493
1.824,-2.20970784346449
1.825,-2.21133353366497
1.826,-2.21296160182154
1.827,-2.2145919723596
1.828,-2.21622456945003
1.829,-2.21785931701446
1.83,-2.21949613873059
1.831,-2.22113495803745
1.832,-2.22277569814081
1.833,-2.22441828201848
1.834,-2.22606263242572
1.835,-2.22770867190064
1.836,-2.22935632276963
1.837,-2.23100550715282
1.838,-2.2326561469695
1.839,-2.23430816394369
1.84,-2.23596147960955
1.841,-2.23761601531704
1.842,-2.23927169223732
1.843,-2.24092843136846
1.844,-2.24258615354096
1.845,-2.24424477942336
1.846,-2.2459042295279
1.847,-2.24756442421613
1.848,-2.24922528370464
1.849,-2.25088672807066
1.85,-2.25254867725785
1.851,-2.25421105108198
1.852,-2.25587376923667
1.853,-2.25753675129916
1.854,-2.25919991673606
1.855,-2.26086318490919
1.856,-2.26252647508136
1.857,-2.26418970642219
1.858,-2.26585279801396
1.859,-2.26751566885747
1.86,-2.26917823787792
1.861,-2.27084042393078
1.862,-2.27250214580773
1.863,-2.27416332224253
1.864,-2.27582387191702
1.865,-2.27748371346698
1.866,-2.27914276548819
1.867,-2.28080094654236
1.868,-2.28245817516312
1.869,-2.28411436986201
1.87,-2.28576944913454
1.871,-2.28742333146621
1.872,-2.28907593533851
1.873,-2.29072717923505
1.874,-2.29237698164757
1.875,-2.29402526108202
1.876,-2.29567193606472
1.877,-2.29731692514838
1.878,-2.29896014691826
1.879,-2.30060151999831
1.88,-2.30224096305725
1.881,-2.30387839481477
1.882,-2.30551373404766
1.883,-2.307146899596
1.884,-2.3087778103693
1.885,-2.31040638535273
1.886,-2.31203254361327
1.887,-2.31365620430593
1.888,-2.31527728668
1.889,-2.31689571008518
1.89,-2.31851139397792
1.891,-2.32012425792756
1.892,-2.3217342216226
1.893,-2.32334120487698
1.894,-2.32494512763631
1.895,-2.32654590998413
1.896,-2.32814347214816
1.897,-2.32973773450662
1.898,-2.33132861759447
1.899,-2.33291604210972
1.9,-2.33449992891968
1.901,-2.33608019906729
1.902,-2.33765677377739
1.903,-2.33922957446308
1.904,-2.34079852273188
1.905,-2.34236354039223
1.906,-2.34392454945968
1.907,-2.34548147216316
1.908,-2.34703423095143
1.909,-2.34858274849929
1.91,-2.35012694771394
1.911,-2.35166675174128
1.912,-2.35320208397222
1.913,-2.35473286804905
1.914,-2.35625902787167
1.915,-2.35778048760402
1.916,-2.35929717168026
1.917,-2.36080900481123
1.918,-2.36231591199065
1.919,-2.36381781850148
1.92,-2.36531464992223
1.921,-2.36680633213327
1.922,-2.36829279132309
1.923,-2.36977395399467
1.924,-2.37124974697171
1.925,-2.37272009740498
1.926,-2.3741849327785
1.927,-2.37564418091596
1.928,-2.37709776998692
1.929,-2.37854562851305
1.93,-2.37998768537445
1.931,-2.38142386981587
1.932,-2.38285411145299
1.933,-2.38427834027859
1.934,-2.38569648666887
1.935,-2.3871084813896
1.936,-2.38851425560237
1.937,-2.38991374087078
1.938,-2.39130686916661
1.939,-2.39269357287607
1.94,-2.39407378480586
1.941,-2.39544743818943
1.942,-2.39681446669307
1.943,-2.39817480442206
1.944,-2.39952838592677
1.945,-2.4008751462088
1.946,-2.40221502072704
1.947,-2.40354794540373
1.948,-2.40487385663058
1.949,-2.40619269127477
1.95,-2.40750438668497
1.951,-2.40880888069738
1.952,-2.41010611164171
1.953,-2.41139601834714
1.954,-2.41267854014828
1.955,-2.41395361689116
1.956,-2.41522118893905
1.957,-2.41648119717843
1.958,-2.41773358302485
1.959,-2.41897828842875
1.96,-2.42021525588135
1.961,-2.42144442842038
1.962,-2.42266574963596
1.963,-2.42387916367626
1.964,-2.42508461525331
1.965,-2.42628204964867
1.966,-2.42747141271915
1.967,-2.42865265090244
1.968,-2.42982571122274
1.969,-2.43099054129637
1.97,-2.43214708933735
1.971,-2.43329530416294
1.972,-2.43443513519914
1.973,-2.43556653248624
1.974,-2.43668944668416
1.975,-2.43780382907797
1.976,-2.43890963158326
1.977,-2.44000680675144
1.978,-2.44109530777515
1.979,-2.44217508849346
1.98,-2.44324610339721
1.981,-2.44430830763415
1.982,-2.44536165701416
1.983,-2.44640610801441
1.984,-2.44744161778441
1.985,-2.44846814415113
1.986,-2.44948564562399
1.987,-2.45049408139987
1.988,-2.45149341136805
1.989,-2.45248359611511
1.99,-2.45346459692979
1.991,-2.45443637580783
1.992,-2.45539889545671
1.993,-2.4563521193004
1.994,-2.45729601148407
1.995,-2.45823053687869
1.996,-2.4591556610856
1.997,-2.46007135044116
1.998,-2.46097757202114
1.999,-2.46187429364521
2,-2.46276148388135
2.001,-2.46363911205016
2.002,-2.46450714822921
2.003,-2.46536556325723
2.004,-2.46621432873833
2.005,-2.46705341704614
2.006,-2.4678828013279
2.007,-2.46870245550843
2.008,-2.46951235429421
2.009,-2.4703124731772
2.01,-2.47110278843872
2.011,-2.4718832771533
2.012,-2.47265391719237
2.013,-2.47341468722795
2.014,-2.4741655667363
2.015,-2.47490653600143
2.016,-2.47563757611863
2.017,-2.47635866899794
2.018,-2.47706979736743
2.019,-2.47777094477662
2.02,-2.47846209559961
2.021,-2.47914323503838
2.022,-2.47981434912572
2.023,-2.4804754247285
2.024,-2.48112644955045
2.025,-2.4817674121352
2.026,-2.48239830186899
2.027,-2.48301910898359
2.028,-2.48362982455885
2.029,-2.48423044052537
2.03,-2.48482094966713
2.031,-2.48540134562384
2.032,-2.4859716228934
2.033,-2.48653177683428
2.034,-2.48708180366768
2.035,-2.48762170047975
2.036,-2.48815146522369
2.037,-2.48867109672178
2.038,-2.48918059466729
2.039,-2.48967995962637
2.04,-2.49016919303983
2.041,-2.49064829722486
2.042,-2.4911172753766
2.043,-2.49157613156973
2.044,-2.49202487075991
2.045,-2.49246349878517
2.046,-2.49289202236716
2.047,-2.4933104491124
2.048,-2.49371878751339
2.049,-2.49411704694964
2.05,-2.49450523768861
2.051,-2.49488337088658
2.052,-2.49525145858944
2.053,-2.49560951373338
2.054,-2.49595755014542
2.055,-2.49629558254402
2.056,-2.4966236265394
2.057,-2.49694169863396
2.058,-2.49724981622246
2.059,-2.49754799759213
2.06,-2.49783626192284
2.061,-2.49811462928696
2.062,-2.49838312064924
2.063,-2.49864175786663
2.064,-2.49889056368789
2.065,-2.49912956175327
2.066,-2.49935877659387
2.067,-2.49957823363121
2.068,-2.49978795917629
2.069,-2.49998798042906
2.07,-2.50017832547731
2.071,-2.50035902329577
